,0,1,2
media_consumo,0.1377501245001817,0.21758196524744436,0.31847468507890353
std_consumo,0.15432553725431716,0.2706265939189756,0.3378021527369155
min_consumo,0.0172,0.030166666666666665,0.03866666666666667
max_consumo,1.6847999999999999,2.515833333333333,3.4825
percentil_25_consumo,0.0688,0.06983333333333334,0.11816666666666666
percentil_50_consumo,0.0974,0.1075,0.19199999999999998
percentil_75_consumo,0.14020000000000002,0.23720833333333333,0.38483333333333336
promedio_por_dia,0.1377501245001817,0.21758196524744433,0.31847468507890353
consumo_medio_diario,3.306002988004362,5.221967165938665,7.643392441893685
Mañana,0.10668541439476549,0.1768198046794045,0.21611926145737134
Mediodia,0.1679243002544529,0.2863158651311208,0.4525205364016796
Tarde,0.15855912213740458,0.27225025437843764,0.3897184236579079
Noche,0.16405687022900758,0.2789048487253186,0.38756732686754153
Madrugada,0.09694853649353066,0.09878334798198023,0.15925728968688077
sum_consumo,396.1976,672.9436666666667,951.2766399999982
Domingo,0.1377501245001817,0.21758196524744433,0.31847468507890353
Fin de semana,0.1377501245001817,0.21758196524744433,0.31847468507890353
s_Mañana,50.604,91.38616666666667,107.90371999999968
s_Mediodia,120.4656,221.53983333333335,336.77877999999885
s_Tarde,76.8886,139.78233333333333,192.42280666666647
s_Noche,78.658,143.97216666666665,194.72666666666666
s_Madrugada,69.5814,76.26316666666666,119.44466666666666
s_Domingo,396.1976,672.9436666666667,951.2766399999982
s_Fin de semana,396.1976,672.9436666666667,951.2766399999982
s_invierno,98.2308,214.65066666666667,267.23864666666594
s_otoño,69.061,134.22266666666667,182.5955
s_primavera,114.33779999999999,194.90183333333334,254.08850666666615
s_verano,114.56800000000001,129.1685,247.35398666666617
std_Mañana,0.03408194599936264,0.08194734911121941,0.10513087037465951
std_Mediodia,0.07223243071788962,0.06172517556003151,0.08383723497970356
std_Tarde,0.032840706271324,0.06776579375724633,0.0514177759080759
std_Noche,0.0256194861382875,0.1081285139601227,0.05592684061298967
std_Madrugada,0.02131313475760964,0.03500581919430259,0.04176569278445172
std_Domingo,0.15432553725431716,0.27062659391897553,0.33780215273691555
std_Fin de semana,0.15432553725431716,0.27062659391897553,0.33780215273691555
std_invierno,0.1277808447578566,0.3404117531546318,0.3414026476607852
std_otoño,0.11268396385116683,0.2521666151340258,0.280113010207379
std_primavera,0.14131749253595638,0.2584835091577809,0.2830878554932455
std_verano,0.18915150068859748,0.18887286057230587,0.4047864471727008
Enero,37.4728,76.34233333333333,95.49269999999972
Febrero,33.111200000000004,76.95616666666668,87.90515999999975
Marzo,43.9496,80.00216666666667,99.19599999999998
Abril,37.6322,57.410833333333336,81.43533333333333
Mayo,32.756,57.48883333333333,73.45717333333282
Junio,57.312599999999996,67.78416666666666,101.74184666666639
Julio,28.343200000000003,33.77283333333333,76.51347333333312
Agosto,28.912200000000002,27.611500000000003,69.09866666666666
Septiembre,24.952800000000003,41.33016666666666,61.613166666666665
Octubre,21.653200000000002,47.79266666666666,61.51316666666667
Noviembre,22.455000000000002,45.09983333333333,59.469166666666666
Diciembre,27.646800000000002,61.35216666666667,83.84078666666649
total_mean_consumption,2384.9651758469954,4050.03429798585,5725.059355520341
