hogar,cluster
ABLD,1
AJVG,3
ATF,0
FJAG,4
FMB,1
GPC,1
JACL,0
JALG,2
JLG,0
JMM,2
LFZA,0
MANA,2
MBGV,2
MTTA,4
PAA,3
RFM,0
RTF,2
