hogar,cluster
ABLD,1
AJVG,2
ATF,0
FJAG,3
FMB,1
GPC,1
JACL,0
JALG,1
JLG,0
JMM,1
LFZA,0
MANA,1
MBGV,1
MTTA,1
PAA,3
RFM,0
RTF,3
