hour,0,1,2,3,4
0,0.12161413043478261,0.18485093167701863,0.2929927536231884,0.2871473429951691,0.23803623188405798
1,0.107875,0.13950569358178053,0.48682246376811594,0.20407971014492754,0.16767210144927536
2,0.08549139492753623,0.11895445134575569,0.44172101449275364,0.14303260869565218,0.1637336956521739
3,0.07885760073260073,0.09908006279434851,0.3311868131868132,0.12453601953601952,0.17842582417582417
4,0.07854076086956521,0.08724948240165631,0.26283695652173916,0.11466062801932368,0.15386141304347825
5,0.07650951086956523,0.08104710144927536,0.1443840579710145,0.11457971014492753,0.12200271739130436
6,0.07690625000000001,0.07979503105590062,0.15092391304347827,0.11335990338164252,0.1279782608695652
7,0.07658876811594204,0.1038100414078675,0.2014057971014493,0.11485628019323672,0.2598704710144928
8,0.09320788043478262,0.2646583850931677,0.23595289855072465,0.1725157004830918,0.3748668478260869
9,0.11791394927536232,0.22962577639751552,0.21672826086956523,0.22245652173913044,0.2851965579710145
10,0.14070697463768114,0.20034575569358176,0.2386702898550725,0.2699722222222222,0.2688197463768116
11,0.13615534420289854,0.21008229813664597,0.2331702898550725,0.276762077294686,0.3517010869565218
12,0.1294832427536232,0.2113110766045549,0.23823550724637682,0.2787004830917874,0.5082391304347826
13,0.13345561594202898,0.20556935817805383,0.23663405797101447,0.32513526570048307,0.6522653985507246
14,0.1746933876811594,0.24701190476190477,0.30734420289855074,0.4658140096618357,0.6510516304347826
15,0.21696376811594204,0.30748757763975154,0.3143623188405797,0.4756280193236715,0.5281403985507247
16,0.14758967391304348,0.25338250517598343,0.2733224637681159,0.34509178743961355,0.40598822463768114
17,0.12087590579710145,0.23072463768115942,0.19910507246376813,0.2618719806763285,0.37999547101449277
18,0.11321467391304348,0.224694099378882,0.1986521739130435,0.2700954106280193,0.34497373188405794
19,0.11599773550724637,0.21951915113871637,0.19747826086956521,0.24490942028985507,0.3723722826086957
20,0.11905661231884057,0.2569891304347826,0.19907246376811596,0.25569444444444445,0.42838496376811597
21,0.15293976449275362,0.3191237060041408,0.1841304347826087,0.3783442028985507,0.45156612318840583
22,0.16387364130434784,0.30679399585921324,0.24197826086956523,0.47998792270531393,0.5192971014492753
23,0.14042164855072464,0.2408695652173913,0.4292644927536232,0.3824492753623188,0.3987798913043479
total_mean_consumption,2.918933234790572,4.8224817191090485,6.256375218983914,6.32168094707225,8.333219302436694
