date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;año;mes;cluster_k2_2023_01;cluster_k2_2023_02;cluster_k2_2023_03;cluster_k2_2023_04;cluster_k2_2023_05;cluster_k2_2023_06;cluster_k2_2023_07;cluster_k2_2023_08;cluster_k2_2023_09;cluster_k2_2023_10;cluster_k2_2023_11;cluster_k2_2023_12;cluster_k2_2024_01;cluster_k2_2024_02;cluster_k2_2024_03;cluster_k2_2024_04;cluster_k2_2024_05;cluster_k2_2024_06;cluster_k2_2024_07;cluster_k2_2024_08;cluster_k2_2024_09;cluster_k2_2024_10;cluster_k2_2024_11;cluster_k2_2024_12
2023-01-01;1:00;0.086;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;2:00;0.174;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;3:00;0.074;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;4:00;0.208;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;5:00;0.363;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;6:00;0.127;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;7:00;0.145;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;8:00;0.073;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;9:00;0.095;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;10:00;0.161;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;11:00;0.158;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;12:00;0.217;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;13:00;0.183;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;14:00;0.084;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;15:00;0.35;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;16:00;1.29;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;17:00;0.359;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;18:00;0.22;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;19:00;0.309;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;20:00;0.326;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;21:00;0.313;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;22:00;0.329;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;23:00;0.323;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-01;24:00:00;0.293;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;1:00;0.249;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;2:00;0.138;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;3:00;0.082;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;4:00;0.099;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;5:00;0.141;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;6:00;0.09;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;7:00;0.142;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;8:00;0.095;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;9:00;0.074;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;10:00;0.173;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;11:00;0.296;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;12:00;0.123;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;13:00;0.193;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;14:00;1.24;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;15:00;0.825;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;16:00;0.222;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;17:00;0.315;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;18:00;0.312;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;19:00;0.179;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;20:00;0.107;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;21:00;0.154;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;22:00;0.299;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;23:00;0.275;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-02;24:00:00;0.332;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;1:00;0.331;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;2:00;0.335;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;3:00;0.092;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;4:00;0.083;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;5:00;0.17;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;6:00;0.091;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;7:00;0.145;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;8:00;0.093;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
2023-01-03;9:00;0.143;Real;;;;2023;1;1.0;;;;;;;;;;;;;;;;;;;;;;;
