,0,1
media_consumo,0.1949835849443472,0.285233399235421
std_consumo,0.20524354697064162,0.32678970618064435
min_consumo,0.0,0.008
max_consumo,1.9607272727272729,3.3496666666666663
percentil_25_consumo,0.07713636363636364,0.11491666666666667
percentil_50_consumo,0.12672727272727274,0.17516666666666666
percentil_75_consumo,0.2250909090909091,0.31354166666666666
promedio_por_dia,0.19505153710264322,0.28529815800657493
consumo_medio_diario,4.678008127776505,6.84384050715823
Mañana,0.18108239531919293,0.26222694936883834
Mediodia,0.252254021181477,0.33144568680671344
Tarde,0.22759806003796115,0.3462755191993119
Noche,0.23689407959424083,0.38149327853158294
Madrugada,0.09724370950568542,0.14949565231912557
sum_consumo,585.88,853.3197933333327
Lunes,0.1949835849443472,0.285233399235421
Entre semana,0.1949835849443472,0.285233399235421
s_Mañana,90.92109090909092,131.94093333333316
s_Mediodia,187.76681818181817,246.79794666666623
s_Tarde,114.69454545454545,170.9560799999999
s_Noche,119.62181818181817,191.9235
s_Madrugada,72.87572727272727,111.70133333333332
s_Lunes,585.88,853.3197933333327
s_Entre semana,585.88,853.3197933333327
s_invierno,161.26545454545456,249.6641999999997
s_otoño,110.2099090909091,151.07003999999995
s_primavera,173.2489090909091,224.5675
s_verano,141.15572727272726,228.018053333333
std_Mañana,0.052416052228757386,0.0692636276772189
std_Mediodia,0.05390721237769794,0.10312564537008286
std_Tarde,0.03471360615572167,0.07046668121621245
std_Noche,0.06333575865106836,0.100930016072406
std_Madrugada,0.02014256582772099,0.04316386169693645
std_Lunes,0.20524354697064168,0.3267897061806444
std_Entre semana,0.20524354697064168,0.3267897061806444
std_invierno,0.2183391417526859,0.33351997656509785
std_otoño,0.18321011754985186,0.20791795754287312
std_primavera,0.18814431304034163,0.2377006261024639
std_verano,0.20242113312213686,0.4109199466303585
Enero,63.869,95.84457999999988
Febrero,53.668727272727274,81.1835
Marzo,61.06372727272728,84.18683333333333
Abril,56.63772727272727,71.29516666666667
Mayo,55.54745454545454,69.0855
Junio,61.146181818181816,80.47321999999967
Julio,44.288636363636364,73.067
Agosto,35.72090909090909,74.47783333333334
Septiembre,36.00927272727273,51.236706666666606
Octubre,37.46036363636364,51.494499999999995
Noviembre,36.740272727272725,48.33883333333333
Diciembre,43.72772727272727,72.63611999999982
total_mean_consumption,3525.7551250451506,5135.893205073175
