archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-10,Octubre,2023-09-25/2023-10-01,2023-10-02/2023-10-08,2023-10-09/2023-10-15,2023-10-16/2023-10-22,2023-10-23/2023-10-29,2023-10-30/2023-11-05
ABLD,0.2048763440860215,0.24078293845372792,0.045,1.874,0.074,0.099,0.221,152.428,0.20487634408602154,4.917032258064516,0.0999,0.09338709677419355,0.0818125,0.09203225806451613,0.07990322580645161,0.08380645161290322,0.213,0.1935483870967742,0.11545161290322581,0.17825806451612902,0.23658064516129032,0.19696774193548386,0.20270967741935483,0.4326129032258064,0.3630645161290323,0.26441935483870965,0.24996774193548388,0.28141935483870967,0.18661290322580645,0.35632258064516126,0.37258064516129036,0.26283870967741935,0.1748064516129032,0.10561290322580645,2.997,2.895,2.618,2.853,2.477,2.598,6.603,6.0,3.579,5.526,7.334,6.106,6.284,13.411,11.255,8.197,7.7490000000000006,8.724,5.785,11.046,11.55,8.148,5.419,3.274,2.997,2.895,2.618,2.853,2.477,2.598,6.603,6.0,3.579,5.526,7.334,6.106,6.284,13.411,11.255,8.197,7.7490000000000006,8.724,5.785,11.046,11.55,8.148,5.419,3.274,0.17506451612903226,0.2827258064516129,0.2685806451612903,0.22895967741935483,0.08847358870967742,21.708,52.587,33.304,28.391000000000002,16.438,0.06713529313867087,0.0717574964161887,0.09455025179393736,0.12104111332636235,0.00627422753608705,0.1958,0.20088333333333336,0.18902083333333333,0.19833333333333333,0.17726041666666667,0.1935416666666667,0.267025,23.496,24.106,18.146,19.04,17.017,18.580000000000002,32.043,0.21171927663970594,0.2290165743271142,0.20280620665093152,0.2460278831723055,0.1843911885548403,0.2366084892665148,0.32675739368487305,0.19281250000000003,0.23436574074074074,101.805,50.623,0.2156130417028895,0.2918434281284647,0.2048763440860215,152.428,0.24078293845372778,152.428,152.428,4.782,33.272,32.195,35.32,38.35,8.509
AJVG,0.1520712365591398,0.1903359897564951,0.02,1.573,0.052,0.072,0.183,113.141,0.1520712365591398,3.649709677419355,0.06456666666666667,0.055870967741935486,0.058374999999999996,0.06738709677419355,0.10970967741935485,0.16074193548387097,0.44851612903225807,0.24938709677419355,0.24703225806451615,0.15693548387096776,0.13725806451612904,0.19096774193548388,0.146,0.1280967741935484,0.14700000000000002,0.07048387096774193,0.0762258064516129,0.1297741935483871,0.1723225806451613,0.2246774193548387,0.1937741935483871,0.18035483870967742,0.1521290322580645,0.08232258064516129,1.937,1.732,1.8679999999999999,2.089,3.4010000000000002,4.9830000000000005,13.904,7.731,7.658,4.865,4.255,5.92,4.526,3.971,4.557,2.185,2.363,4.023,5.342,6.965,6.007,5.591,4.716,2.552,1.937,1.732,1.8679999999999999,2.089,3.4010000000000002,4.9830000000000005,13.904,7.731,7.658,4.865,4.255,5.92,4.526,3.971,4.557,2.185,2.363,4.023,5.342,6.965,6.007,5.591,4.716,2.552,0.27546774193548385,0.13663440860215054,0.15075,0.15214516129032257,0.08610855734767026,34.158,25.413999999999998,18.692999999999998,18.866,16.009999999999998,0.06939510067372777,0.09686543878736692,0.08836030992324476,0.028695599407147266,0.04505602257535537,0.15900833333333333,0.14090833333333333,0.13478125,0.14776041666666667,0.12515625,0.16196875,0.18719166666666667,19.081,16.909,12.939,14.185,12.015,15.549,22.463,0.17396539286066431,0.16334723523127986,0.16020455365924494,0.1830909894469596,0.17287448005782446,0.18476605140014224,0.2618187613512794,0.14228977272727272,0.1759814814814815,75.129,38.012,0.17043763662611577,0.2306152128539128,0.1520712365591398,113.141,0.19033598975649504,113.141,113.141,2.1470000000000002,27.039,15.993,27.995,32.692,7.275
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.3570095161290301,0.25067963173901125,0.109,1.832,0.19475,0.276,0.40475,265.6150799999984,0.3570095161290301,8.568228387096724,0.18153333333333332,0.17058064516129032,0.16990625,0.16806451612903225,0.16890322580645162,0.2299677419354839,0.3075806451612903,0.36951612903225806,0.3059393548387039,0.3350361290322523,0.46084258064515554,0.6574232258064459,0.5356490322580588,0.4043587096774136,0.38339096774192966,0.39597161290321997,0.38926193548386523,0.47703225806451616,0.6095483870967742,0.4741935483870968,0.4485483870967742,0.4315483870967742,0.2768709677419355,0.21693548387096773,5.446,5.288,5.437,5.21,5.236,7.1290000000000004,9.535,11.455,9.48411999999982,10.38611999999982,14.286119999999821,20.38011999999982,16.605119999999822,12.535119999999822,11.88511999999982,12.27511999999982,12.067119999999822,14.788,18.896,14.700000000000001,13.905,13.378,8.583,6.725,5.446,5.288,5.437,5.21,5.236,7.1290000000000004,9.535,11.455,9.48411999999982,10.38611999999982,14.286119999999821,20.38011999999982,16.605119999999822,12.535119999999822,11.88511999999982,12.27511999999982,12.067119999999822,14.788,18.896,14.700000000000001,13.905,13.378,8.583,6.725,0.32951806451612614,0.4729393548387039,0.4875090322580631,0.3434758064516129,0.1814926187275986,40.86023999999964,87.96671999999892,60.451119999999825,42.591,33.746,0.08466015268385792,0.06412355318307704,0.07126697201765651,0.07220273081048365,0.017720657080714342,0.325625,0.33576666666666666,0.3719895833333333,0.32392708333333337,0.46083416666664984,0.35852083333333334,0.33985000000000004,39.075,40.292,35.711,31.097,44.240079999998386,34.418,40.782000000000004,0.1862822049309853,0.21143983125441704,0.21993652169333183,0.2124352654236439,0.3615930566626545,0.315491495561972,0.20725990057547222,0.3606346212121182,0.34814814814814815,190.4150799999984,75.2,0.24672495161028957,0.26046692651948766,0.3570095161290301,265.6150799999984,0.25067963173901125,265.6150799999984,265.6150799999984,8.763,60.702,65.673,61.783079999998385,51.264,17.43
FMB,0.1746706989247312,0.1774529237185282,0.024,1.742,0.056,0.1285,0.2205,129.955,0.17467069892473117,4.192096774193548,0.07980000000000001,0.098,0.07790625,0.10696774193548386,0.06180645161290323,0.0902258064516129,0.08712903225806452,0.09906451612903226,0.24435483870967742,0.21464516129032257,0.20503225806451614,0.25961290322580644,0.3109677419354839,0.27383870967741936,0.18854838709677418,0.26009677419354843,0.22974193548387095,0.21177419354838709,0.2215806451612903,0.15606451612903227,0.15170967741935484,0.23996774193548387,0.19183870967741937,0.13148387096774194,2.394,3.0380000000000003,2.493,3.316,1.916,2.797,2.701,3.071,7.575,6.654,6.356,8.048,9.64,8.489,5.845,8.063,7.122,6.5649999999999995,6.869,4.838,4.703,7.439,5.947,4.0760000000000005,2.394,3.0380000000000003,2.493,3.316,1.916,2.797,2.701,3.071,7.575,6.654,6.356,8.048,9.64,8.489,5.845,8.063,7.122,6.5649999999999995,6.869,4.838,4.703,7.439,5.947,4.0760000000000005,0.1612983870967742,0.24968279569892474,0.20479032258064514,0.17875,0.08578437500000001,20.001,46.441,25.394,22.165,15.954,0.08399608724365429,0.06869704980001329,0.03031681095664155,0.0969542331238252,0.01703033883498247,0.19018333333333332,0.17678333333333332,0.172875,0.15552083333333333,0.19259375,0.17910416666666665,0.15591666666666668,22.822,21.214,16.596,14.93,18.489,17.194,18.71,0.17313393966644947,0.17601724434873775,0.12458725540971803,0.17853685918520945,0.1819061399458523,0.17899341235550167,0.2112980523970316,0.17812689393939393,0.16622222222222222,94.051,35.903999999999996,0.16865176104904772,0.19748798413060215,0.1746706989247312,129.955,0.1774529237185282,129.955,129.955,5.129,30.282,24.535,28.830000000000002,31.88,9.299
GPC,0.16743413978494623,0.17201338320358472,0.027,1.265,0.077,0.111,0.18125,124.571,0.16743413978494628,4.018419354838709,0.10410000000000001,0.0904516129032258,0.08340625,0.07412903225806451,0.08335483870967743,0.10812903225806451,0.2815161290322581,0.24164516129032257,0.19293548387096773,0.12661290322580646,0.13593548387096774,0.1615483870967742,0.2179032258064516,0.27012903225806456,0.22135483870967743,0.16429032258064516,0.20038709677419353,0.21274193548387096,0.23106451612903225,0.32064516129032256,0.2090322580645161,0.09906451612903226,0.08951612903225806,0.09919354838709678,3.123,2.804,2.669,2.298,2.584,3.352,8.727,7.491,5.981,3.925,4.2139999999999995,5.008,6.755,8.374,6.862,5.093,6.212,6.595,7.163,9.94,6.4799999999999995,3.071,2.775,3.075,3.123,2.804,2.669,2.298,2.584,3.352,8.727,7.491,5.981,3.925,4.2139999999999995,5.008,6.755,8.374,6.862,5.093,6.212,6.595,7.163,9.94,6.4799999999999995,3.071,2.775,3.075,0.2106774193548387,0.1951935483870968,0.24120967741935484,0.1242016129032258,0.09059512768817203,26.124,36.306,29.909999999999997,15.401,16.83,0.08276990881648397,0.05793304522335242,0.03416323085432727,0.06794391161341057,0.0412417948421311,0.1792,0.15399166666666667,0.14247916666666668,0.1625625,0.17640625,0.17897916666666666,0.17655833333333334,21.504,18.479,13.678,15.606,16.935,17.182,21.187,0.17918543983465704,0.15209492258517535,0.1391038974948064,0.1582270728382073,0.1845124772916883,0.20150392338699236,0.18268767469261254,0.16326136363636362,0.17763425925925927,86.202,38.369,0.16370583797974125,0.1908277697416312,0.16743413978494623,124.571,0.1720133832035847,124.571,124.571,3.554,29.971,26.249,28.276,29.286,7.235
JACL,0.10466532258064515,0.0713586817474248,0.028,0.926,0.059,0.099,0.136,77.871,0.10466532258064516,2.511967741935484,0.09286666666666667,0.077,0.07059375,0.08954838709677419,0.0747741935483871,0.06048387096774194,0.07329032258064515,0.08596774193548387,0.07458064516129032,0.0792258064516129,0.11735483870967742,0.10209677419354839,0.10306451612903225,0.239741935483871,0.1376774193548387,0.13103225806451613,0.12441935483870968,0.10712903225806453,0.09974193548387097,0.09158064516129032,0.10938709677419355,0.12074193548387098,0.12632258064516128,0.12406451612903226,2.786,2.387,2.259,2.776,2.318,1.875,2.272,2.665,2.312,2.456,3.638,3.165,3.195,7.432,4.268,4.062,3.857,3.321,3.092,2.839,3.391,3.7430000000000003,3.916,3.846,2.786,2.387,2.259,2.776,2.318,1.875,2.272,2.665,2.312,2.456,3.638,3.165,3.195,7.432,4.268,4.062,3.857,3.321,3.092,2.839,3.391,3.7430000000000003,3.916,3.846,0.07826612903225805,0.13849462365591397,0.10571774193548387,0.12012903225806451,0.07754447804659499,9.704999999999998,25.76,13.109000000000002,14.896,14.401,0.0062635328428236724,0.04604548442874011,0.024901943916943288,0.0029873318192984205,0.0031695362467227743,0.10258333333333333,0.10373333333333333,0.10284375,0.10240624999999999,0.09736458333333332,0.10158333333333334,0.11925000000000001,12.31,12.448,9.873,9.831,9.347,9.752,14.31,0.06037704824833749,0.07188795358854264,0.05702194002957847,0.05851254082853116,0.04825286897206307,0.07822971123108051,0.10309938502860873,0.10191098484848485,0.11139814814814815,53.809,24.062,0.060149415733404904,0.09308520126330026,0.10466532258064515,77.871,0.07135868174742478,77.871,77.871,3.507,19.176,17.759,17.293,15.233,4.903
JALG,0.2647862903225806,0.2563445250145353,0.061,1.829,0.103,0.1585,0.333,197.00099999999998,0.26478629032258066,6.354870967741934,0.11316666666666667,0.10709677419354838,0.0998125,0.08700000000000001,0.09596774193548388,0.10958064516129033,0.1568064516129032,0.22206451612903227,0.2870645161290323,0.2855161290322581,0.20887096774193548,0.29870967741935484,0.41135483870967743,0.4450967741935484,0.45283870967741935,0.35758064516129034,0.2991935483870968,0.24503225806451615,0.25996774193548383,0.5237741935483871,0.527225806451613,0.3731935483870968,0.24235483870967742,0.14603225806451614,3.395,3.32,3.194,2.697,2.975,3.3970000000000002,4.861,6.884,8.899000000000001,8.851,6.475,9.26,12.752,13.798,14.038,11.085,9.275,7.596,8.059,16.237,16.344,11.569,7.513,4.527,3.395,3.32,3.194,2.697,2.975,3.3970000000000002,4.861,6.884,8.899000000000001,8.851,6.475,9.26,12.752,13.798,14.038,11.085,9.275,7.596,8.059,16.237,16.344,11.569,7.513,4.527,0.23786290322580647,0.36240860215053766,0.33199193548387096,0.32220161290322585,0.10210405465949822,29.495000000000005,67.40800000000002,41.167,39.953,18.977999999999998,0.10055134616944011,0.0982774994162009,0.15027847104981884,0.10175292659156111,0.008810614467011462,0.27877500000000005,0.2662333333333333,0.25745833333333334,0.2638125,0.24326041666666667,0.26094791666666667,0.2762833333333334,33.453,31.948,24.716,25.326,23.353,25.051000000000002,33.154,0.2681848873884011,0.25168623701895554,0.2853122358571826,0.27576654170931564,0.2203907173893753,0.2349685026950887,0.25634057516552167,0.2628712121212121,0.26946759259259256,138.796,58.205,0.2604210182029623,0.24662427664079634,0.26478629032258066,197.001,0.2563445250145353,197.001,197.001,6.307,40.993,44.934,43.673,48.549,12.545
JLG,0.13525537634408602,0.12688931537360423,0.048,1.221,0.065,0.1045,0.158,100.63,0.13525537634408605,3.2461290322580645,0.10850000000000001,0.06535483870967741,0.063,0.06338709677419355,0.061064516129032256,0.05935483870967742,0.06312903225806452,0.07803225806451614,0.14574193548387096,0.19561290322580646,0.15103225806451614,0.11880645161290322,0.18551612903225806,0.20580645161290323,0.23993548387096778,0.17525806451612902,0.1302258064516129,0.13548387096774195,0.14219354838709677,0.17793548387096775,0.19445161290322582,0.1928709677419355,0.16612903225806452,0.1287741935483871,3.2550000000000003,2.026,2.016,1.965,1.893,1.84,1.957,2.419,4.518,6.064,4.682,3.683,5.7509999999999994,6.38,7.438000000000001,5.433,4.037,4.2,4.408,5.516,6.0280000000000005,5.979,5.15,3.992,3.2550000000000003,2.026,2.016,1.965,1.893,1.84,1.957,2.419,4.518,6.064,4.682,3.683,5.7509999999999994,6.38,7.438000000000001,5.433,4.037,4.2,4.408,5.516,6.0280000000000005,5.979,5.15,3.992,0.12062903225806451,0.17939247311827958,0.14645967741935484,0.17055645161290323,0.07011021505376346,14.958,33.367,18.161,21.149000000000004,12.995000000000001,0.07291870339451752,0.0768795057187174,0.030290967860174114,0.044840844296108975,0.07380457819595776,0.13353333333333334,0.14344166666666666,0.13809375,0.13066666666666668,0.13032291666666665,0.13996875,0.13036666666666666,16.024,17.213,13.257,12.544,12.511,13.437,15.644,0.11977457350950471,0.1360637391314915,0.13176566744953355,0.11709714066055239,0.12090966569622102,0.13591122901016173,0.1276324116084829,0.1355094696969697,0.13463425925925926,71.549,29.081,0.12522914066248914,0.13115334725146247,0.13525537634408602,100.63,0.12688931537360437,100.63,100.63,2.918,25.254,20.817,20.861,24.797,5.983
JMM,0.24259139784946238,0.2064260441151404,0.081,1.824,0.13,0.187,0.269,180.488,0.2425913978494624,5.822193548387097,0.1537,0.1227741935483871,0.123625,0.13006451612903225,0.12583870967741934,0.12664516129032258,0.1348709677419355,0.22593548387096773,0.17719354838709678,0.16774193548387098,0.25316129032258067,0.32064516129032256,0.5877419354838709,0.44261290322580643,0.34600000000000003,0.2356774193548387,0.27125806451612905,0.26693548387096777,0.27283870967741936,0.2915483870967742,0.3540967741935484,0.26883870967741935,0.2320967741935484,0.1913225806451613,4.611,3.806,3.956,4.032,3.901,3.926,4.181,7.004,5.493,5.2,7.848,9.94,18.22,13.721,10.726,7.306,8.409,8.275,8.458,9.038,10.977,8.334,7.195,5.931,4.611,3.806,3.956,4.032,3.901,3.926,4.181,7.004,5.493,5.2,7.848,9.94,18.22,13.721,10.726,7.306,8.409,8.275,8.458,9.038,10.977,8.334,7.195,5.931,0.17643548387096775,0.36430645161290315,0.27564516129032257,0.2615887096774194,0.13044126344086018,21.877999999999997,67.761,34.18000000000001,32.437,24.232,0.023108891621860434,0.13394575193346142,0.024765395037634537,0.06650892920174427,0.008711868966199333,0.20890833333333333,0.212125,0.24088541666666666,0.21161458333333336,0.23813541666666668,0.33597916666666666,0.26174166666666665,25.069,25.455000000000002,23.125,20.315,22.861,32.254,31.409,0.1402691887341024,0.18118241713066668,0.21033251217970217,0.15898648534366006,0.1961350565724207,0.28468804641559825,0.22883539626865895,0.2212594696969697,0.29473611111111114,116.825,63.663000000000004,0.1775223825460935,0.25722069031695677,0.24259139784946238,180.488,0.20642604411514037,180.488,180.488,6.138,41.121,46.801,41.263,35.808,9.357
