archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2025-02,Febrero,2025-01-27/2025-02-02,2025-02-03/2025-02-09,2025-02-10/2025-02-16,2025-02-17/2025-02-23,2025-02-24/2025-03-02
ABLD,0.21338095238095237,0.2678614831999966,0.042,2.005,0.058,0.085,0.228,143.392,0.21338095238095237,5.121142857142858,0.08821428571428572,0.07717857142857143,0.07225000000000001,0.06392857142857143,0.064,0.06917857142857144,0.11282142857142856,0.15789285714285714,0.16199999999999998,0.14410714285714285,0.197,0.15928571428571428,0.20542857142857143,0.3380357142857143,0.5166785714285714,0.32053571428571426,0.21632142857142855,0.2027142857142857,0.2412857142857143,0.4334285714285714,0.5961428571428572,0.3380714285714285,0.2109285714285714,0.1337142857142857,2.47,2.161,2.023,1.79,1.792,1.937,3.159,4.421,4.536,4.035,5.516,4.46,5.752,9.465,14.467,8.975,6.0569999999999995,5.676,6.756,12.136,16.692,9.466,5.906,3.7439999999999998,2.47,2.161,2.023,1.79,1.792,1.937,3.159,4.421,4.536,4.035,5.516,4.46,5.752,9.465,14.467,8.975,6.0569999999999995,5.676,6.756,12.136,16.692,9.466,5.906,3.7439999999999998,0.14420535714285712,0.28949404761904757,0.2734375,0.3197142857142857,0.07245833333333333,16.151,48.635,30.625,35.808,12.172999999999998,0.05753961487195792,0.10337599324648464,0.09541810284256287,0.1268898014673896,0.013087072201299555,0.18958333333333333,0.23120833333333335,0.18721875,0.17228125000000002,0.22370833333333331,0.20379166666666668,0.285875,18.2,22.196,17.973,16.539,21.476,19.564,27.444,0.24716249360615783,0.24881982137436703,0.24605554371341698,0.20548206238143105,0.28410887152145214,0.2699096502503118,0.34444247094322394,0.2008,0.24483333333333335,96.384,47.008,0.24758986390765694,0.3113484661352083,0.21338095238095237,143.392,0.26786148319999664,143.392,143.392,2.827,21.217,42.488,45.814,31.046
AJVG,0.4497544642857143,0.550088025047317,0.029,3.138,0.046,0.2085,0.7264999999999999,302.235,0.44975446428571436,10.794107142857143,0.2759285714285714,0.18289285714285716,0.09221428571428571,0.092,0.07971428571428571,0.08507142857142858,0.21607142857142855,0.9959999999999999,0.6273571428571428,0.34917857142857145,0.3447142857142857,0.5549642857142857,0.5824999999999999,0.3635357142857143,0.6200357142857144,0.4161428571428572,0.3691071428571429,0.317,0.467,0.84,0.8056071428571429,0.85275,0.7168571428571429,0.5474642857142857,7.726,5.121,2.582,2.576,2.2319999999999998,2.382,6.05,27.887999999999998,17.566,9.777000000000001,9.652,15.539,16.31,10.179,17.361,11.652000000000001,10.335,8.876,13.076,23.52,22.557,23.877,20.072,15.329,7.726,5.121,2.582,2.576,2.2319999999999998,2.382,6.05,27.887999999999998,17.566,9.777000000000001,9.652,15.539,16.31,10.179,17.361,11.652000000000001,10.335,8.876,13.076,23.52,22.557,23.877,20.072,15.329,0.5471517857142857,0.4803154761904762,0.4982767857142857,0.7306696428571429,0.13463690476190476,61.28099999999999,80.693,55.807,81.83500000000001,22.619000000000003,0.1656118369102502,0.16896403891026546,0.161718786151016,0.1136853598123505,0.14950028091494036,0.3794895833333333,0.4813958333333333,0.39840625,0.4290729166666667,0.25428125,0.6772812500000001,0.5283541666666667,36.431,46.214,38.247,41.191,24.411,65.019,50.722,0.5117971842293466,0.5644548274157838,0.507143508769305,0.5514580338051532,0.425378857840124,0.6456431261785252,0.5397917528116827,0.38852916666666665,0.6028177083333334,186.494,115.741,0.5177405174471107,0.5981930584536693,0.4497544642857143,302.235,0.5500880250473171,302.235,302.235,29.437,92.415,81.52,57.835,41.028
ATF,0.1087232142857143,0.09342621049543177,0.049,1.243,0.058,0.0885,0.121,73.06200000000001,0.10872321428571428,2.6093571428571427,0.086,0.08328571428571428,0.08157142857142859,0.07646428571428572,0.07557142857142858,0.08228571428571428,0.08053571428571428,0.10217857142857144,0.09785714285714286,0.11707142857142858,0.11800000000000001,0.16232142857142856,0.18875,0.14500000000000002,0.13125,0.12521428571428572,0.12164285714285715,0.11164285714285714,0.12017857142857144,0.10285714285714286,0.10792857142857144,0.11007142857142857,0.0965,0.08517857142857142,2.408,2.332,2.2840000000000003,2.141,2.116,2.304,2.255,2.861,2.74,3.278,3.3040000000000003,4.545,5.285,4.0600000000000005,3.675,3.5060000000000002,3.406,3.126,3.365,2.88,3.0220000000000002,3.082,2.702,2.385,2.408,2.332,2.2840000000000003,2.141,2.116,2.304,2.255,2.861,2.74,3.278,3.3040000000000003,4.545,5.285,4.0600000000000005,3.675,3.5060000000000002,3.406,3.126,3.365,2.88,3.0220000000000002,3.082,2.702,2.385,0.0994107142857143,0.14508928571428573,0.11408035714285715,0.09991964285714286,0.08086309523809523,11.134,24.375000000000004,12.777000000000001,11.191,13.585,0.03593236608676188,0.08504729041334835,0.010733011879954658,0.024712833639762847,0.0016147496812863392,0.12625,0.10271875000000001,0.11212499999999999,0.09754166666666668,0.10811458333333333,0.1190625,0.09525,12.120000000000001,9.861,10.764,9.364,10.379,11.43,9.144,0.13572921959781384,0.06698997617475869,0.08345931880105924,0.05609257698646459,0.05404323216631715,0.15336868633253797,0.0375393127267935,0.10935,0.10715625000000001,52.488,20.574,0.08499609717185111,0.11199470145703434,0.10872321428571428,73.062,0.09342621049543183,73.062,73.062,7.156,17.923000000000002,21.29,14.844,11.849
FJAG,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMB,0.1998735119047619,0.25234636100868335,0.025,1.852,0.05,0.126,0.242,134.315,0.1998735119047619,4.796964285714286,0.09989285714285714,0.1145,0.08353571428571428,0.0642857142857143,0.06671428571428571,0.08617857142857142,0.14185714285714285,0.09171428571428572,0.23900000000000002,0.26225,0.2397857142857143,0.22264285714285714,0.30407142857142855,0.36264285714285716,0.17778571428571427,0.30525,0.20182142857142857,0.26553571428571426,0.3394285714285714,0.4065714285714286,0.26732142857142854,0.2254642857142857,0.12092857142857143,0.10778571428571429,2.797,3.206,2.339,1.8,1.868,2.413,3.972,2.568,6.692,7.343,6.714,6.234,8.514,10.154,4.978,8.547,5.651,7.435,9.504,11.384,7.484999999999999,6.313,3.386,3.0180000000000002,2.797,3.206,2.339,1.8,1.868,2.413,3.972,2.568,6.692,7.343,6.714,6.234,8.514,10.154,4.978,8.547,5.651,7.435,9.504,11.384,7.484999999999999,6.313,3.386,3.0180000000000002,0.18370535714285713,0.26869642857142856,0.3033392857142857,0.18037499999999998,0.08585119047619048,20.575,45.141000000000005,33.974,20.201999999999998,14.423000000000002,0.14213105485428243,0.13781871377999294,0.09542865322114855,0.17242252275670902,0.011180701449086073,0.2733229166666667,0.22908333333333333,0.21103125,0.20713541666666668,0.14934375,0.16856249999999998,0.16063541666666667,26.239,21.992,20.259,19.885,14.337,16.182,15.421000000000001,0.32895341198834216,0.25419734011058864,0.21601025575677016,0.23475723719763503,0.13647061207646982,0.29937812079463366,0.23516704565911253,0.21398333333333333,0.16459895833333335,102.712,31.603,0.24444769610456163,0.26851776701569996,0.1998735119047619,134.315,0.25234636100868335,134.315,134.315,7.384,31.642,35.363,33.336,26.59
GPC,0.18517261904761906,0.23218703589272055,0.028,1.853,0.057,0.098,0.193,124.436,0.18517261904761903,4.4441428571428565,0.06860714285714285,0.12775,0.12164285714285715,0.06603571428571428,0.07085714285714285,0.06264285714285714,0.14514285714285716,0.3133571428571429,0.19539285714285715,0.15689285714285714,0.11292857142857142,0.15125000000000002,0.16721428571428573,0.21067857142857144,0.29314285714285715,0.22064285714285714,0.2760714285714286,0.1135357142857143,0.20135714285714285,0.32935714285714285,0.48864285714285716,0.36724999999999997,0.11539285714285714,0.06835714285714285,1.921,3.577,3.406,1.849,1.984,1.754,4.064,8.774000000000001,5.471,4.393,3.162,4.235,4.682,5.899,8.208,6.178,7.73,3.1790000000000003,5.638,9.222,13.682,10.283,3.231,1.914,1.921,3.577,3.406,1.849,1.984,1.754,4.064,8.774000000000001,5.471,4.393,3.162,4.235,4.682,5.899,8.208,6.178,7.73,3.1790000000000003,5.638,9.222,13.682,10.283,3.231,1.914,0.20269642857142858,0.19264285714285714,0.23008035714285713,0.2599107142857143,0.08625595238095236,22.702,32.364,25.769,29.11,14.491,0.04951553035506192,0.08073628800693525,0.128617581585504,0.17611332287699594,0.061175720248990643,0.14570833333333333,0.1560625,0.18378125,0.24111458333333333,0.14339583333333333,0.225375,0.20077083333333334,13.988,14.982,17.643,23.147,13.766,21.636,19.274,0.1722542745121853,0.17372293806669956,0.212077801172117,0.32022682322285795,0.18938701557040982,0.29079398567587866,0.20914424532096784,0.1740125,0.21307291666666664,83.526,40.91,0.22265773618794915,0.2529179551505228,0.18517261904761906,124.436,0.23218703589272052,124.436,124.436,11.62,35.7,28.604,30.053,18.459
JACL,0.11123958333333331,0.091174097125836,0.036,1.229,0.066,0.097,0.134,74.75299999999999,0.11123958333333332,2.66975,0.14064285714285715,0.09457142857142857,0.07971428571428572,0.07567857142857141,0.0732142857142857,0.07610714285714286,0.07446428571428572,0.07178571428571427,0.0960357142857143,0.09935714285714285,0.1425,0.13985714285714285,0.08425,0.09607142857142857,0.3049642857142857,0.11853571428571429,0.11075,0.10317857142857144,0.10567857142857143,0.11699999999999999,0.11053571428571429,0.11882142857142856,0.11864285714285715,0.11739285714285715,3.938,2.648,2.232,2.1189999999999998,2.05,2.1310000000000002,2.085,2.01,2.689,2.782,3.9899999999999998,3.916,2.359,2.69,8.539,3.319,3.101,2.8890000000000002,2.959,3.276,3.095,3.327,3.322,3.287,3.938,2.648,2.232,2.1189999999999998,2.05,2.1310000000000002,2.085,2.01,2.689,2.782,3.9899999999999998,3.916,2.359,2.69,8.539,3.319,3.101,2.8890000000000002,2.959,3.276,3.095,3.327,3.322,3.287,0.08541071428571428,0.14769642857142856,0.10915178571428572,0.11634821428571429,0.08998809523809524,9.565999999999999,24.813,12.225,13.030999999999999,15.118000000000002,0.00967499595257105,0.09149140299448084,0.006056911581287887,0.004577095212627086,0.0029742804811101788,0.11355208333333333,0.10389583333333334,0.10920833333333334,0.10077083333333332,0.10160416666666666,0.10179166666666667,0.14785416666666668,10.901,9.974,10.484,9.674,9.754,9.772,14.194,0.07835128317112239,0.04724326277039916,0.06847280161789429,0.04478850396830974,0.04993310876439794,0.06262350604023963,0.18846761437092227,0.10580625,0.12482291666666667,50.787,23.966,0.05921241937328333,0.14195364591041698,0.11123958333333334,74.753,0.091174097125836,74.753,74.753,6.47,18.905,18.464,18.729,12.185
JALG,0.3181636904761905,0.27382648675675875,0.032,2.34,0.138,0.219,0.39675000000000005,213.80599999999998,0.31816369047619053,7.635928571428572,0.16067857142857142,0.12967857142857145,0.1417142857142857,0.10303571428571427,0.11407142857142857,0.10024999999999999,0.13425,0.18767857142857142,0.3994285714285714,0.3633214285714286,0.37253571428571425,0.29503571428571423,0.36878571428571433,0.5537857142857143,0.5088214285714285,0.45635714285714285,0.4063928571428571,0.45817857142857144,0.3790714285714286,0.3750714285714286,0.4887142857142857,0.5098571428571429,0.3625,0.26671428571428574,4.499,3.6310000000000002,3.968,2.885,3.194,2.807,3.759,5.255,11.184,10.173,10.431,8.261,10.326,15.506,14.247,12.778,11.379,12.829,10.614,10.502,13.684,14.276,10.15,7.468,4.499,3.6310000000000002,3.968,2.885,3.194,2.807,3.759,5.255,11.184,10.173,10.431,8.261,10.326,15.506,14.247,12.778,11.379,12.829,10.614,10.502,13.684,14.276,10.15,7.468,0.27116964285714285,0.4258869047619047,0.40467857142857144,0.4069464285714286,0.1249047619047619,30.371000000000002,71.549,45.324000000000005,45.578,20.983999999999998,0.17449884030674606,0.10030019190137132,0.04587799937639455,0.06779942691854414,0.008260477302700815,0.28446875,0.3077708333333333,0.33076041666666667,0.2918125,0.341375,0.2801666666666667,0.39079166666666665,27.309,29.546,31.753,28.014,32.772,26.896,37.516,0.22588688147761965,0.26120641078481927,0.277909631082202,0.2149860858410682,0.2807521570428454,0.22218814534044012,0.3863343225393388,0.3112375,0.3354791666666667,149.394,64.412,0.25347329591737083,0.3191652062538641,0.3181636904761905,213.806,0.27382648675675875,213.806,213.806,15.698,54.797,54.935,51.364,37.012
JLG,0.12933035714285715,0.1322086407185522,0.038,1.186,0.052,0.094,0.155,86.91,0.12933035714285715,3.1039285714285714,0.10725,0.06046428571428571,0.052750000000000005,0.05025,0.04985714285714286,0.05064285714285714,0.06346428571428571,0.05025,0.08014285714285715,0.16003571428571428,0.17260714285714288,0.16196428571428573,0.14867857142857144,0.2149642857142857,0.23807142857142857,0.25575,0.124,0.10639285714285715,0.11421428571428571,0.14639285714285716,0.16392857142857142,0.21392857142857144,0.16982142857142857,0.14810714285714285,3.003,1.693,1.477,1.407,1.396,1.418,1.777,1.407,2.244,4.481,4.833,4.535,4.163,6.018999999999999,6.666,7.161,3.472,2.979,3.198,4.099,4.59,5.99,4.755,4.147,3.003,1.693,1.477,1.407,1.396,1.418,1.777,1.407,2.244,4.481,4.833,4.535,4.163,6.018999999999999,6.666,7.161,3.472,2.979,3.198,4.099,4.59,5.99,4.755,4.147,0.08847321428571428,0.19867261904761904,0.12275000000000001,0.17394642857142859,0.06186904761904763,9.909,33.377,13.748000000000001,19.482,10.393999999999998,0.06457310504489426,0.059503726713550274,0.01935109165334924,0.007850697893311782,0.007606171061499708,0.11814583333333334,0.12421875,0.13875,0.13530208333333332,0.14269791666666667,0.14328125,0.10291666666666667,11.342,11.925,13.32,12.988999999999999,13.699,13.754999999999999,9.88,0.13400950313251878,0.10928737617906861,0.15313083501234803,0.12122029704907782,0.14840613689904553,0.16927359996389527,0.05808100815905255,0.13182291666666665,0.12309895833333334,63.275,23.635,0.13397167266653898,0.1278244689721776,0.12933035714285715,86.91,0.13220864071855223,86.91,86.91,6.445,21.874,22.83,18.919,16.842
JMM,0.2484017857142857,0.24132223795236635,0.067,2.036,0.11675,0.191,0.274,166.926,0.2484017857142857,5.9616428571428575,0.19567857142857142,0.13260714285714287,0.10985714285714286,0.10696428571428572,0.10285714285714286,0.10896428571428572,0.11103571428571428,0.2115357142857143,0.29132142857142856,0.20375000000000001,0.25657142857142856,0.2928928571428572,0.43714285714285717,0.5831428571428571,0.34860714285714284,0.20710714285714288,0.23142857142857146,0.26871428571428574,0.30042857142857143,0.33075,0.29903571428571424,0.2908214285714286,0.2876071428571429,0.2528214285714286,5.479,3.713,3.076,2.995,2.88,3.051,3.109,5.923,8.157,5.705,7.184,8.201,12.24,16.328,9.761,5.799,6.48,7.524,8.412,9.261,8.373,8.143,8.053,7.079,5.479,3.713,3.076,2.995,2.88,3.051,3.109,5.923,8.157,5.705,7.184,8.201,12.24,16.328,9.761,5.799,6.48,7.524,8.412,9.261,8.373,8.143,8.053,7.079,0.20441071428571428,0.3542440476190476,0.2828303571428572,0.2825714285714286,0.1261547619047619,22.894,59.513,31.677000000000003,31.648,21.194000000000003,0.06087927114806683,0.16636685516296487,0.027468814629443703,0.022687627132547072,0.015991498722130418,0.21807291666666664,0.21433333333333335,0.24410416666666668,0.21246874999999998,0.23298958333333333,0.3138125,0.30303125000000003,20.935,20.576,23.434,20.397,22.367,30.126,29.091,0.13844932531372106,0.11369383325096508,0.22359693431504762,0.19599494908234108,0.18721333144116162,0.3200162269734393,0.3773121408658046,0.22439375,0.308421875,107.709,59.217,0.1760688953527896,0.34896397770955434,0.2484017857142857,166.926,0.24132223795236646,166.926,166.926,19.606,39.739,34.629,43.097,29.855
