archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2024-07,Julio,2024-07-01/2024-07-07,2024-07-08/2024-07-14,2024-07-15/2024-07-21,2024-07-22/2024-07-28,2024-07-29/2024-08-04
ABLD,0.17534408602150536,0.16266241252821745,0.056,2.123,0.084,0.12,0.207,130.456,0.17534408602150536,4.208258064516128,0.12538709677419355,0.10903225806451612,0.11038709677419355,0.10587096774193548,0.10029032258064516,0.1036774193548387,0.16458064516129034,0.19158064516129034,0.13770967741935483,0.158,0.13848387096774195,0.1696451612903226,0.16458064516129034,0.248,0.2673225806451613,0.24435483870967742,0.18803225806451612,0.15570967741935485,0.1985483870967742,0.2552258064516129,0.21303225806451614,0.3090322580645161,0.1994516129032258,0.1503225806451613,3.887,3.38,3.422,3.282,3.109,3.214,5.102,5.939,4.269,4.898,4.293,5.259,5.102,7.688,8.287,7.575,5.829,4.827,6.155,7.912000000000001,6.604,9.58,6.183,4.66,3.887,3.38,3.422,3.282,3.109,3.214,5.102,5.939,4.269,4.898,4.293,5.259,5.102,7.688,8.287,7.575,5.829,4.827,6.155,7.912000000000001,6.604,9.58,6.183,4.66,0.16296774193548388,0.2053978494623656,0.19937903225806453,0.21795967741935485,0.10910752688172043,20.208,38.204,24.723,27.027,20.293999999999997,0.04523908304488479,0.05720618847624558,0.129577636581595,0.04879243655948961,0.008380046755214733,0.17876666666666668,0.19236666666666666,0.20908333333333334,0.17892708333333332,0.17159375,0.13554166666666667,0.14758333333333332,21.452,23.084,25.09,17.177,16.473,13.012,14.168,0.14652367998217286,0.1667751434098731,0.23402569647507565,0.14542469527426913,0.15694106021554383,0.0977661998062797,0.13052692133419241,0.18709420289855072,0.1415625,103.276,27.18,0.17477092656428939,0.11517192361651686,0.17534408602150536,130.456,0.16266241252821742,130.456,130.456,27.014,27.517,26.686,30.868,18.371
AJVG,0.1516290322580645,0.1527113305829978,0.032,1.104,0.066,0.089,0.19,112.812,0.1516290322580645,3.639096774193548,0.10816129032258064,0.09735483870967743,0.08493548387096775,0.08835483870967742,0.10241935483870968,0.3352258064516129,0.41316129032258064,0.09809677419354838,0.1453225806451613,0.12212903225806451,0.1107741935483871,0.08329032258064516,0.15938709677419355,0.148,0.09212903225806451,0.09612903225806452,0.1584516129032258,0.18583870967741936,0.16880645161290322,0.1755483870967742,0.16293548387096773,0.1727741935483871,0.2065483870967742,0.12332258064516129,3.3529999999999998,3.0180000000000002,2.633,2.739,3.175,10.392,12.808,3.041,4.505,3.786,3.434,2.582,4.941,4.588,2.856,2.98,4.912,5.761,5.233,5.442,5.051,5.356,6.4030000000000005,3.823,3.3529999999999998,3.0180000000000002,2.633,2.739,3.175,10.392,12.808,3.041,4.505,3.786,3.434,2.582,4.941,4.588,2.856,2.98,4.912,5.761,5.233,5.442,5.051,5.356,6.4030000000000005,3.823,0.1946774193548387,0.11495161290322582,0.17216129032258065,0.16639516129032259,0.1360752688172043,24.14,21.381000000000004,21.348,20.633000000000003,25.310000000000002,0.09937526842506507,0.0384754737362564,0.052819271607666085,0.006391255154944865,0.0721202643136685,0.17245,0.17248333333333335,0.16940833333333333,0.14130208333333333,0.13849999999999998,0.13121875,0.12117708333333334,20.694,20.698,20.329,13.565,13.296,12.597,11.633000000000001,0.15911651298932597,0.18541237180686626,0.1756693081113628,0.1460885182124481,0.14026103484124464,0.1223287376939265,0.09921969189012798,0.1604746376811594,0.12619791666666666,88.582,24.23,0.16388140130336154,0.11119725596370125,0.1516290322580645,112.812,0.15271133058299796,112.812,112.812,24.330000000000002,27.659,24.541,23.135,13.147
ATF,0.18951344086021507,0.21805237824337695,0.053,1.794,0.08375,0.126,0.18825,140.99800000000002,0.18951344086021507,4.548322580645161,0.13941935483870968,0.11141935483870968,0.099,0.1022258064516129,0.1019032258064516,0.10161290322580645,0.10032258064516128,0.09941935483870967,0.1433225806451613,0.21080645161290323,0.32567741935483874,0.3261612903225807,0.39664516129032257,0.29387096774193544,0.2054516129032258,0.2651290322580645,0.24006451612903226,0.19716129032258065,0.22219354838709676,0.18393548387096775,0.1741290322580645,0.19580645161290325,0.17180645161290325,0.14083870967741935,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,5.3260000000000005,4.366,4.322,3.454,3.069,3.169,3.159,3.15,3.11,3.082,4.443,6.535,10.096,10.111,12.296,9.11,6.369,8.219,7.442,6.112,6.888,5.702,5.398,6.07,5.3260000000000005,4.366,0.13846774193548386,0.3021559139784946,0.21083870967741936,0.1706451612903226,0.10926344086021504,17.17,56.201,26.144,21.16,20.322999999999997,0.08626493025668917,0.08966547578949738,0.07164115083206059,0.02687281859774975,0.023629195139184506,0.16455833333333333,0.1908,0.21631666666666668,0.22580208333333332,0.2573958333333333,0.15872916666666667,0.11220833333333334,19.747,22.896,25.958000000000002,21.677,24.71,15.238,10.772,0.16163865686201695,0.19697078228922754,0.2719762713121546,0.2411317883731531,0.29473093810659406,0.18246888583603946,0.06996734827447301,0.20831159420289855,0.13546875,114.988,26.01,0.23657983617648864,0.1397822130356786,0.18951344086021504,140.998,0.21805237824337695,140.998,140.998,38.051,33.415,22.718,21.644000000000002,25.17
FJAG,0.5702872043010719,0.7138973133722265,0.114,3.738,0.184,0.2565,0.5467500000000001,424.2936799999975,0.5702872043010718,13.686892903225726,0.1880967741935484,0.18687096774193548,0.175741935483871,0.1846774193548387,0.17716129032258066,0.19680645161290322,0.26696774193548384,0.30000000000000004,0.3170683870967684,0.4212619354838652,0.4752012903225691,0.6558464516128917,0.9035238709677305,0.7593625806451497,0.783652903225795,0.9766167741935425,1.0405522580645103,1.3987096774193548,1.3818709677419354,1.180774193548387,0.8246129032258064,0.37912903225806455,0.2906451612903226,0.22174193548387097,5.831,5.793,5.448,5.725,5.492,6.101,8.276,9.3,9.82911999999982,13.05911999999982,14.73123999999964,20.331239999999642,28.009239999999643,23.540239999999642,24.293239999999642,30.27511999999982,32.25711999999982,43.36,42.838,36.604,25.563,11.753,9.01,6.8740000000000006,5.831,5.793,5.448,5.725,5.492,6.101,8.276,9.3,9.82911999999982,13.05911999999982,14.73123999999964,20.331239999999642,28.009239999999643,23.540239999999642,24.293239999999642,30.27511999999982,32.25711999999982,43.36,42.838,36.604,25.563,11.753,9.01,6.8740000000000006,0.32632451612902935,0.759033978494613,1.250476774193547,0.42903225806451617,0.18489247311827958,40.46423999999964,141.18031999999803,155.05911999999984,53.2,34.39000000000001,0.1473453677518431,0.2604612559622984,0.06724719009455143,0.2880057827458489,0.0274660723630198,0.45863333333333334,0.42465833333333336,0.47822366666665617,0.52825,0.7154375000000001,0.7909895833333334,0.6831545833333202,55.036,50.959,57.38683999999874,50.712,68.682,75.935,65.58283999999874,0.6055062460500323,0.5655120606019597,0.5191465997967676,0.6960760242810747,0.8379280186708666,0.8886623003711124,0.8208262387233068,0.5122750724637659,0.7370720833333269,282.77583999999877,141.51783999999876,0.6487212858134881,0.8548856217642773,0.5702872043010719,424.2936799999975,0.7138973133722265,424.2936799999975,424.2936799999975,61.412,67.13483999999875,106.886,122.349,66.51183999999874
FMB,0.20467876344086022,0.20038831154297626,0.024,1.449,0.059,0.135,0.258,152.281,0.20467876344086022,4.912290322580645,0.09648387096774194,0.10006451612903225,0.11900000000000001,0.0945483870967742,0.09616129032258064,0.08790322580645162,0.13874193548387098,0.1791935483870968,0.23070967741935483,0.26780645161290323,0.29961290322580647,0.3378387096774193,0.594483870967742,0.3003870967741935,0.19096774193548388,0.1673225806451613,0.2178064516129032,0.2148064516129032,0.25516129032258067,0.2253225806451613,0.21545161290322581,0.16399999999999998,0.18090322580645163,0.13761290322580647,2.991,3.102,3.689,2.931,2.981,2.725,4.301,5.555000000000001,7.152,8.302,9.288,10.472999999999999,18.429000000000002,9.312,5.92,5.187,6.752,6.659,7.91,6.985,6.679,5.084,5.6080000000000005,4.266,2.991,3.102,3.689,2.931,2.981,2.725,4.301,5.555000000000001,7.152,8.302,9.288,10.472999999999999,18.429000000000002,9.312,5.92,5.187,6.752,6.659,7.91,6.985,6.679,5.084,5.6080000000000005,4.266,0.2041129032258065,0.3151021505376344,0.2282741935483871,0.17449193548387099,0.0990268817204301,25.310000000000002,58.608999999999995,28.305999999999997,21.637,18.419,0.015860219624552783,0.08051778354476179,0.010569887833066914,0.03826321454282176,0.009816888925295982,0.19738333333333333,0.18138333333333334,0.1936,0.18052083333333335,0.2536979166666667,0.25343750000000004,0.18314583333333334,23.686,21.766000000000002,23.232,17.330000000000002,24.355,24.330000000000002,17.582,0.23370757362992922,0.17229568015641086,0.17781282766063947,0.16553377643354508,0.22480471617976938,0.22804020017255042,0.17919932913212455,0.19994384057971015,0.21829166666666666,110.369,41.912,0.1978078558565881,0.2075544925188249,0.20467876344086022,152.281,0.20038831154297637,152.281,152.281,24.585,33.31,40.233,35.24,18.913
GPC,0.1547741935483871,0.13509646652865412,0.025,1.1,0.085,0.1235,0.173,115.152,0.15477419354838712,3.71458064516129,0.12187096774193548,0.13706451612903225,0.10848387096774194,0.08896774193548387,0.09396774193548388,0.10951612903225806,0.23825806451612905,0.2477741935483871,0.1550967741935484,0.12125806451612903,0.11458064516129032,0.11551612903225807,0.16151612903225807,0.2884838709677419,0.17525806451612902,0.19170967741935482,0.14303225806451614,0.1424516129032258,0.13887096774193547,0.1509032258064516,0.2015483870967742,0.19648387096774195,0.15496774193548388,0.11699999999999999,3.778,4.249,3.363,2.758,2.9130000000000003,3.395,7.386,7.681,4.808,3.759,3.552,3.581,5.007,8.943,5.433,5.943,4.434,4.416,4.305,4.678,6.248,6.091,4.804,3.627,3.778,4.249,3.363,2.758,2.9130000000000003,3.395,7.386,7.681,4.808,3.759,3.552,3.581,5.007,8.943,5.433,5.943,4.434,4.416,4.305,4.678,6.248,6.091,4.804,3.627,0.19059677419354837,0.17451075268817204,0.14381451612903226,0.1675,0.1099784946236559,23.634,32.458999999999996,17.833000000000002,20.77,20.456,0.09815903616031847,0.067542255471226,0.039779051162741774,0.039848802753309744,0.04636399964308413,0.14255833333333331,0.18844166666666667,0.167075,0.16321875,0.14157291666666666,0.15321875,0.11889583333333333,17.107,22.613,20.049,15.669,13.591,14.709,11.414,0.10203252042407673,0.17647071296680933,0.13838505301931878,0.12603351293040652,0.1316149683370052,0.15843452595049443,0.07094170759992308,0.16128442028985507,0.13605729166666666,89.029,26.123,0.13837649755083578,0.12362962694514254,0.1547741935483871,115.152,0.13509646652865406,115.152,115.152,24.701,27.172,23.308,26.295,13.676
JACL,0.2684784946236559,0.3208953944515785,0.036,1.322,0.069,0.129,0.276,199.748,0.2684784946236559,6.443483870967742,0.18083870967741936,0.09303225806451612,0.0754516129032258,0.09564516129032258,0.08835483870967742,0.07558064516129032,0.08951612903225806,0.08964516129032257,0.1019032258064516,0.10506451612903227,0.12529032258064515,0.20516129032258065,0.32593548387096777,0.573,0.6822258064516129,0.5389677419354838,0.4156774193548387,0.41935483870967744,0.39325806451612905,0.23619354838709677,0.23325806451612902,0.38448387096774195,0.5423548387096774,0.37329032258064515,5.606,2.884,2.339,2.965,2.739,2.343,2.775,2.779,3.159,3.257,3.884,6.36,10.104000000000001,17.762999999999998,21.149,16.708,12.886,13.0,12.191,7.322,7.231,11.919,16.813,11.572,5.606,2.884,2.339,2.965,2.739,2.343,2.775,2.779,3.159,3.257,3.884,6.36,10.104000000000001,17.762999999999998,21.149,16.708,12.886,13.0,12.191,7.322,7.231,11.919,16.813,11.572,0.09653225806451612,0.4084301075268817,0.3661209677419355,0.38334677419354835,0.10148387096774196,11.97,75.96799999999999,45.399,47.535,18.876,0.011257308983630919,0.11054914695740842,0.03571885632520637,0.03719499047327881,0.05554436556017221,0.23933333333333331,0.29310833333333336,0.2813833333333333,0.27980208333333334,0.2653020833333333,0.28368750000000004,0.23463541666666665,28.72,35.173,33.766,26.861,25.469,27.234,22.525,0.28827774111507287,0.3311222271937308,0.33369321651046197,0.32475858628223375,0.31848358198753984,0.3525573432268258,0.2994413085377032,0.2717192028985507,0.2591614583333333,149.989,49.759,0.31892869526185996,0.3271474521834358,0.2684784946236559,199.748,0.32089539445157844,199.748,199.748,17.847,40.049,52.333,55.273,34.246
JALG,0.2852432795698925,0.26084802423023146,0.071,1.605,0.122,0.178,0.347,212.221,0.2852432795698924,6.84583870967742,0.13396774193548386,0.12361290322580645,0.12406451612903226,0.11583870967741935,0.12245161290322581,0.11841935483870969,0.20419354838709677,0.2438064516129032,0.2616451612903226,0.24729032258064518,0.20887096774193548,0.27738709677419354,0.32048387096774195,0.4909677419354838,0.41770967741935483,0.2769032258064516,0.229,0.293,0.4128709677419355,0.5513225806451614,0.5704516129032259,0.5223225806451613,0.37325806451612903,0.20600000000000002,4.153,3.832,3.846,3.591,3.7960000000000003,3.6710000000000003,6.33,7.558,8.111,7.666,6.475,8.599,9.935,15.219999999999999,12.949,8.584,7.099,9.083,12.799,17.091,17.684,16.192,11.571,6.386,4.153,3.832,3.846,3.591,3.7960000000000003,3.6710000000000003,6.33,7.558,8.111,7.666,6.475,8.599,9.935,15.219999999999999,12.949,8.584,7.099,9.083,12.799,17.091,17.684,16.192,11.571,6.386,0.23923387096774193,0.33205376344086024,0.37154838709677424,0.41800806451612904,0.12305913978494624,29.665000000000003,61.762,46.072,51.833000000000006,22.889,0.07572414060820223,0.06380601882342485,0.07653270053649597,0.10570521809144419,0.0021715410579755136,0.25780833333333336,0.278225,0.2863,0.2996979166666667,0.2787604166666667,0.31797916666666665,0.28628125,30.937,33.387,34.356,28.771,26.761,30.526,27.483,0.2252717610277121,0.2617666374444834,0.2618747086398571,0.26499434432064745,0.23062746195139106,0.3264949416603947,0.25395269775564194,0.27936956521739126,0.3021302083333333,154.212,58.009,0.24906108482102213,0.29214736424185694,0.2852432795698925,212.221,0.2608480242302314,212.221,212.221,44.284,42.742,49.672,48.061,27.462
JLG,0.21955779569892472,0.2711844105808928,0.042,1.648,0.055,0.0775,0.2525,163.351,0.21955779569892472,5.269387096774193,0.08151612903225806,0.06980645161290323,0.06680645161290323,0.0647741935483871,0.061870967741935484,0.060806451612903226,0.060774193548387104,0.06348387096774194,0.11383870967741935,0.1429677419354839,0.18683870967741936,0.2866451612903226,0.3881612903225806,0.2997741935483871,0.42893548387096775,0.37619354838709673,0.3270967741935484,0.38006451612903225,0.35093548387096773,0.3314193548387097,0.3288064516129032,0.3202258064516129,0.3093548387096774,0.16829032258064516,2.527,2.164,2.071,2.008,1.918,1.885,1.8840000000000001,1.968,3.529,4.432,5.792,8.886,12.033,9.293,13.297,11.661999999999999,10.14,11.782,10.879,10.274000000000001,10.193,9.927,9.59,5.217,2.527,2.164,2.071,2.008,1.918,1.885,1.8840000000000001,1.968,3.529,4.432,5.792,8.886,12.033,9.293,13.297,11.661999999999999,10.14,11.782,10.879,10.274000000000001,10.193,9.927,9.59,5.217,0.09526612903225808,0.32775806451612904,0.3473790322580645,0.2816693548387097,0.06759677419354838,11.813,60.963,43.075,34.927,12.572999999999999,0.08513606990465196,0.08068941260201203,0.014047511158514823,0.0788072089984945,0.010712358589653616,0.19430833333333333,0.20952500000000002,0.24239166666666667,0.24096874999999998,0.2598958333333333,0.21765625,0.17527083333333335,23.317,25.143,29.087,23.133,24.95,20.895,16.826,0.23665422763894112,0.25928408100742617,0.32735133378114,0.3018615386014623,0.2881407725827107,0.24579048965049802,0.21524054984655103,0.22759057971014493,0.19646354166666666,125.63,37.721,0.283471670167735,0.23139313733156572,0.21955779569892472,163.351,0.27118441058089277,163.351,163.351,10.624,21.722,45.109,50.149,35.747
JMM,0.38698655913978497,0.6612740037450888,0.08,5.298,0.14075,0.2315,0.395,287.918,0.38698655913978497,9.28767741935484,0.1597741935483871,0.13812903225806453,0.1474516129032258,0.13341935483870968,0.13499999999999998,0.13206451612903228,0.1441290322580645,0.17764516129032257,0.17070967741935483,0.22051612903225806,0.28996774193548386,0.34600000000000003,0.49954838709677424,0.8395806451612904,0.6724193548387096,0.7680967741935484,0.567741935483871,0.5532903225806451,0.5982903225806452,0.608,0.7403548387096774,0.4818064516129032,0.4374193548387097,0.3263225806451613,4.953,4.282,4.571,4.136,4.185,4.094,4.468,5.507,5.292,6.836,8.988999999999999,10.726,15.486,26.027,20.845,23.811,17.6,17.152,18.547,18.848,22.951,14.936,13.56,10.116,4.953,4.282,4.571,4.136,4.185,4.094,4.468,5.507,5.292,6.836,8.988999999999999,10.726,15.486,26.027,20.845,23.811,17.6,17.152,18.547,18.848,22.951,14.936,13.56,10.116,0.17825,0.5692688172043011,0.5818306451612903,0.49647580645161293,0.1409731182795699,22.103,105.88400000000001,72.147,61.563,26.221,0.07194887948442434,0.46389227391741783,0.08091208009377512,0.25999643608683254,0.009245114046309795,0.32545833333333335,0.28324166666666667,0.45315,0.3051979166666667,0.4497708333333333,0.6445,0.2723645833333333,39.055,33.989,54.378,29.299,43.178,61.872,26.147,0.497240670061878,0.21023995877593402,0.8396083385632099,0.23167470932966,0.7633103456471227,1.1650109464134482,0.25179440735362135,0.36213586956521737,0.4584322916666667,199.899,88.019,0.5746796421701682,0.8610510657330125,0.38698655913978497,287.918,0.6612740037450889,287.918,287.918,41.611,45.892,69.885,80.6,49.93
