archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-01,Enero,2022-12-26/2023-01-01,2023-01-02/2023-01-08,2023-01-09/2023-01-15,2023-01-16/2023-01-22,2023-01-23/2023-01-29,2023-01-30/2023-02-05
ABLD,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AJVG,0.3201491935483871,0.44822647136905813,0.018,2.488,0.03275,0.0885,0.42774999999999996,238.191,0.3201491935483871,7.68358064516129,0.32151612903225807,0.4923279569892473,0.3616451612903226,0.3782258064516129,0.0806774193548387,39.868,91.57300000000001,44.844,46.9,15.006,0.15460881952905206,0.11750353078430376,0.04379609895405082,0.11483631260795024,0.03465707510780113,0.11451612903225807,0.10854838709677418,0.06735483870967743,0.07816129032258065,0.045,0.07048387096774193,0.10948387096774194,0.346258064516129,0.33438709677419354,0.49593548387096775,0.4038064516129032,0.48187096774193544,0.3507741935483871,0.4261290322580645,0.6901612903225807,0.6012258064516128,0.39906451612903227,0.35612903225806447,0.3347096774193548,0.3566774193548387,0.4835161290322581,0.42135483870967744,0.39580645161290323,0.2122258064516129,3.55,3.3649999999999998,2.088,2.423,1.395,2.185,3.394,10.734,10.366,15.374,12.517999999999999,14.937999999999999,10.874,13.209999999999999,21.395,18.637999999999998,12.371,11.04,10.376,11.057,14.989,13.062000000000001,12.27,6.579,3.55,3.3649999999999998,2.088,2.423,1.395,2.185,3.394,10.734,10.366,15.374,12.517999999999999,14.937999999999999,10.874,13.209999999999999,21.395,18.637999999999998,12.371,11.04,10.376,11.057,14.989,13.062000000000001,12.27,6.579,0.48689166666666667,0.3278666666666667,0.3320208333333333,0.24954166666666666,0.26547916666666665,0.24508333333333332,0.29646666666666666,58.427,39.344,31.874,23.956,25.486,23.528,35.576,0.5705291189415523,0.39630681462287093,0.42310849620564644,0.3672436711981402,0.4360663150718601,0.3680766129251573,0.4706818928508968,0.3391799242424242,0.2736296296296296,179.087,59.104,0.45528799382276625,0.4279474123875091,0.3201491935483871,238.191,0.4482264713690581,238.191,238.191,6.362,13.277,53.761,95.214,44.675,24.902
ATF,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.3130275268817195,0.2749122362190255,0.075,3.662,0.15175,0.2225,0.37075,232.8924799999993,0.3130275268817195,7.512660645161269,0.24366129032258063,0.4150509677419317,0.43162096774193554,0.36725,0.14203763440860215,30.214,77.19947999999928,53.521,45.539,26.418999999999997,0.03861833983104141,0.20306654751832073,0.08362107007316479,0.08688388479496784,0.03874346282744646,0.15958064516129034,0.13819354838709677,0.13703225806451613,0.135258064516129,0.14490322580645162,0.13725806451612904,0.26906451612903226,0.2305483870967742,0.27006451612903226,0.20496774193548387,0.2431290322580645,0.46706451612903227,0.6781974193548329,0.44942322580644584,0.3373264516128974,0.3151651612903168,0.38748387096774195,0.3992903225806452,0.40303225806451615,0.5366774193548387,0.4462258064516129,0.4216451612903226,0.40241935483870966,0.19870967741935483,4.947,4.284,4.248,4.193,4.492,4.255,8.341,7.147,8.372,6.354,7.537,14.479000000000001,21.02411999999982,13.932119999999822,10.45711999999982,9.770119999999821,12.012,12.378,12.494,16.637,13.833,13.071,12.475,6.16,4.947,4.284,4.248,4.193,4.492,4.255,8.341,7.147,8.372,6.354,7.537,14.479000000000001,21.02411999999982,13.932119999999822,10.45711999999982,9.770119999999821,12.012,12.378,12.494,16.637,13.833,13.071,12.475,6.16,0.3781373333333274,0.25654166666666667,0.31616666666666665,0.3392604166666667,0.30314583333333334,0.26445833333333335,0.32766666666666666,45.37647999999928,30.785,30.352,32.569,29.102,25.388,39.32,0.43356770820662277,0.18284276644400338,0.22155506226226265,0.23787565282336132,0.19808748620996344,0.2235385715764869,0.2909231708140942,0.31853121212121077,0.29957407407407405,168.1844799999993,64.708,0.27915066638147296,0.2644160113261871,0.3130275268817195,232.8924799999993,0.27491223621902555,232.8924799999993,232.8924799999993,9.968,55.866479999999285,44.072,51.394,56.174,15.418
FMB,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GPC,0.19615053763440857,0.21925404901115494,0.027,1.26,0.062,0.105,0.21425,145.93599999999998,0.19615053763440862,4.707612903225805,0.2489758064516129,0.24364516129032254,0.2331209677419355,0.17265322580645162,0.10445698924731182,30.873000000000005,45.318000000000005,28.907000000000004,21.409,19.429,0.11669059185757394,0.056993381685719754,0.05902041841771723,0.09710058271255691,0.08300115003805289,0.09074193548387097,0.13670967741935486,0.15654838709677418,0.10412903225806452,0.07467741935483871,0.06393548387096774,0.07725806451612903,0.3121935483870968,0.3046451612903226,0.3018064516129032,0.2550967741935484,0.13996774193548386,0.12303225806451613,0.22264516129032258,0.34016129032258063,0.3809677419354839,0.23612903225806453,0.2067741935483871,0.17696774193548387,0.3126129032258065,0.3796451612903226,0.15774193548387097,0.08241935483870969,0.07080645161290322,2.813,4.238,4.853,3.228,2.315,1.982,2.395,9.678,9.444,9.356,7.908,4.3389999999999995,3.814,6.902,10.545,11.81,7.32,6.41,5.486,9.691,11.769,4.89,2.555,2.195,2.813,4.238,4.853,3.228,2.315,1.982,2.395,9.678,9.444,9.356,7.908,4.3389999999999995,3.814,6.902,10.545,11.81,7.32,6.41,5.486,9.691,11.769,4.89,2.555,2.195,0.180225,0.183775,0.20310416666666667,0.18375,0.19660416666666666,0.19909374999999999,0.22609166666666666,21.627,22.053,19.498,17.64,18.874,19.113,27.131,0.19770921107236544,0.2227864585032873,0.2187976464400824,0.20548617574195258,0.21311936261001313,0.22267134517159212,0.24934630488921375,0.18881060606060607,0.21409259259259258,99.69200000000001,46.244,0.21104194867329518,0.23770090790590964,0.19615053763440862,145.936,0.2192540490111549,145.936,145.936,5.678,34.064,33.695,30.406,32.383,9.709999999999999
JACL,0.09972446236559139,0.10042813139630563,0.028,1.381,0.055,0.083,0.116,74.195,0.09972446236559138,2.3933870967741937,0.06698387096774193,0.1501505376344086,0.0822983870967742,0.11302419354838708,0.0738763440860215,8.306000000000001,27.927999999999997,10.205,14.014999999999999,13.741000000000001,0.006368458094165313,0.08737613667577503,0.015187660839116175,0.002376689223639761,0.0076503292255769234,0.12235483870967742,0.07738709677419355,0.06848387096774194,0.05783870967741935,0.05919354838709677,0.058,0.060290322580645164,0.06019354838709677,0.06964516129032257,0.07780645161290323,0.10612903225806451,0.13780645161290322,0.10880645161290321,0.12729032258064515,0.3156129032258065,0.10525806451612903,0.07703225806451612,0.08883870967741936,0.08229032258064517,0.08103225806451612,0.08087096774193549,0.1064516129032258,0.13674193548387095,0.12803225806451612,3.793,2.399,2.123,1.793,1.835,1.798,1.869,1.8659999999999999,2.159,2.412,3.29,4.272,3.3729999999999998,3.946,9.784,3.263,2.388,2.754,2.551,2.512,2.507,3.3,4.239,3.969,3.793,2.399,2.123,1.793,1.835,1.798,1.869,1.8659999999999999,2.159,2.412,3.29,4.272,3.3729999999999998,3.946,9.784,3.263,2.388,2.754,2.551,2.512,2.507,3.3,4.239,3.969,0.10200000000000001,0.08734166666666666,0.09402083333333333,0.0874375,0.09653125,0.13843750000000002,0.09580833333333333,12.24,10.481,9.026,8.394,9.267,13.290000000000001,11.497,0.09376817470888132,0.060532302069535866,0.04907158662642861,0.04441142870928609,0.07398149884297177,0.2120769876347043,0.07213471242539665,0.09357575757575758,0.11475462962962962,49.408,24.787,0.06798943675205303,0.15232932493213777,0.09972446236559139,74.195,0.10042813139630564,74.195,74.195,2.327,15.732,15.158,16.807,19.456,4.715
JALG,0.32698118279569893,0.3239623080458588,0.028,1.749,0.079,0.197,0.47224999999999995,243.274,0.3269811827956989,7.847548387096774,0.3433467741935484,0.410741935483871,0.3814516129032258,0.46792741935483867,0.10203225806451614,42.575,76.398,47.3,58.022999999999996,18.978,0.18875707969250885,0.07084741538475244,0.04098756295627012,0.13532098486646735,0.03839146539491933,0.18670967741935485,0.09819354838709678,0.08403225806451613,0.08187096774193547,0.08235483870967741,0.07903225806451614,0.10016129032258064,0.2033225806451613,0.5396774193548387,0.530225806451613,0.40361290322580645,0.3053548387096774,0.33416129032258063,0.41358064516129034,0.47067741935483876,0.5370645161290323,0.4393870967741936,0.387741935483871,0.3424516129032258,0.3562258064516129,0.48251612903225805,0.6688709677419354,0.4752258064516129,0.2450967741935484,5.788,3.044,2.605,2.538,2.553,2.45,3.105,6.303,16.73,16.437,12.512,9.466,10.359,12.821,14.591000000000001,16.649,13.621,12.02,10.616,11.043,14.958,20.735,14.732,7.598,5.788,3.044,2.605,2.538,2.553,2.45,3.105,6.303,16.73,16.437,12.512,9.466,10.359,12.821,14.591000000000001,16.649,13.621,12.02,10.616,11.043,14.958,20.735,14.732,7.598,0.3359833333333333,0.31235,0.3061979166666667,0.3222291666666667,0.3330104166666667,0.31205208333333334,0.36015833333333336,40.318,37.482,29.395,30.934,31.969,29.957,43.219,0.3379282899250264,0.32138135806378737,0.32686693316335014,0.32074795742604884,0.3105488687635988,0.30900302740099894,0.33938221173811944,0.32215530303030304,0.3387777777777778,170.098,73.176,0.3231601410817382,0.3263665462032224,0.32698118279569893,243.274,0.3239623080458586,243.274,243.274,5.819,54.741,55.431,52.263,57.156,17.864
JLG,0.15322446236559142,0.1580763377386806,0.052,1.519,0.064,0.113,0.178,113.99900000000001,0.15322446236559137,3.6773870967741935,0.07900806451612903,0.2400483870967742,0.15598387096774194,0.20324193548387098,0.08069354838709679,9.796999999999999,44.64900000000001,19.342,25.201999999999998,15.009,0.04119846658246027,0.08356842887450977,0.04139710319318387,0.06152754194058494,0.045655042477150395,0.1474193548387097,0.08012903225806452,0.06741935483870967,0.06338709677419355,0.06193548387096774,0.06387096774193549,0.06225806451612903,0.06425806451612903,0.077,0.11251612903225806,0.29877419354838713,0.2143225806451613,0.23141935483870968,0.28935483870967743,0.23690322580645162,0.16951612903225807,0.1434516129032258,0.1444516129032258,0.15761290322580646,0.1784193548387097,0.1839032258064516,0.24296774193548387,0.21516129032258063,0.17093548387096774,4.57,2.484,2.09,1.965,1.92,1.98,1.93,1.992,2.387,3.488,9.262,6.644,7.174,8.97,7.344,5.255,4.447,4.478,4.886,5.531000000000001,5.701,7.532,6.67,5.299,4.57,2.484,2.09,1.965,1.92,1.98,1.93,1.992,2.387,3.488,9.262,6.644,7.174,8.97,7.344,5.255,4.447,4.478,4.886,5.531000000000001,5.701,7.532,6.67,5.299,0.14093333333333333,0.12915,0.15514583333333334,0.16272916666666667,0.16997916666666668,0.15389583333333332,0.16650833333333334,16.912,15.498,14.894,15.622,16.318,14.774,19.981,0.12568793777877504,0.10762225020643175,0.1295806173912934,0.1814122655382466,0.18943328108454474,0.1657781319568046,0.19275839346005072,0.15008333333333335,0.16090277777777778,79.244,34.755,0.1477688867666945,0.18096448268168006,0.1532244623655914,113.999,0.15807633773868057,113.999,113.999,4.58,29.711,21.481,24.979,26.194,7.054
JMM,0.2843306451612903,0.24069822911349367,0.071,2.011,0.159,0.2115,0.29425,211.54199999999997,0.2843306451612903,6.823935483870967,0.17989516129032257,0.43257526881720426,0.3020322580645161,0.32287096774193547,0.1682150537634408,22.307000000000002,80.459,37.452,40.036,31.287999999999997,0.026969159419807414,0.1671099825945702,0.0752236256747164,0.06459724003180121,0.01144786192138379,0.2241290322580645,0.16470967741935483,0.15841935483870967,0.1552258064516129,0.15170967741935484,0.1550967741935484,0.14470967741935484,0.16674193548387098,0.17764516129032257,0.23048387096774195,0.19890322580645162,0.27725806451612905,0.4927096774193548,0.6428387096774194,0.6821935483870968,0.30154838709677423,0.2603225806451613,0.25964516129032256,0.3033225806451613,0.38483870967741934,0.38925806451612904,0.30890322580645163,0.31506451612903225,0.278258064516129,6.9479999999999995,5.106,4.911,4.812,4.703,4.808,4.486,5.1690000000000005,5.507,7.1450000000000005,6.166,8.595,15.274,19.928,21.148,9.348,8.07,8.049,9.403,11.93,12.067,9.576,9.767,8.626,6.9479999999999995,5.106,4.911,4.812,4.703,4.808,4.486,5.1690000000000005,5.507,7.1450000000000005,6.166,8.595,15.274,19.928,21.148,9.348,8.07,8.049,9.403,11.93,12.067,9.576,9.767,8.626,0.27060833333333334,0.28970833333333335,0.25565625,0.32853125,0.274375,0.29860416666666667,0.2768,32.473,34.765,24.543,31.539,26.34,28.666,33.216,0.20313729661120772,0.2686295564256364,0.15642478119227987,0.34168215310431427,0.2211215550444216,0.24478813521155568,0.21433891328431048,0.2834469696969697,0.2864907407407407,149.66,61.882,0.24587637671881174,0.22808476577576073,0.2843306451612903,211.542,0.24069822911349367,211.542,211.542,9.701,52.396,41.498,40.028,53.113,14.806000000000001
