archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2023-08,Agosto,2023-07-31/2023-08-06,2023-08-07/2023-08-13,2023-08-14/2023-08-20,2023-08-21/2023-08-27,2023-08-28/2023-09-03
ABLD,0.16795698924731184,0.1575908062425861,0.053,1.339,0.086,0.108,0.187,124.96000000000001,0.16795698924731184,4.030967741935484,0.12038709677419354,0.11019354838709677,0.1023225806451613,0.0957741935483871,0.08990322580645162,0.09945161290322581,0.105,0.13429032258064516,0.12232258064516129,0.19751612903225807,0.1956774193548387,0.19470967741935483,0.14183870967741935,0.22812903225806452,0.2627741935483871,0.22364516129032258,0.17635483870967741,0.17009677419354838,0.18270967741935482,0.20364516129032256,0.21758064516129033,0.25051612903225806,0.24135483870967742,0.1647741935483871,3.7319999999999998,3.416,3.172,2.969,2.787,3.083,3.255,4.163,3.792,6.123,6.066,6.036,4.397,7.072,8.146,6.933,5.467,5.273,5.664,6.313,6.745,7.766,7.482,5.108,3.7319999999999998,3.416,3.172,2.969,2.787,3.083,3.255,4.163,3.792,6.123,6.066,6.036,4.397,7.072,8.146,6.933,5.467,5.273,5.664,6.313,6.745,7.766,7.482,5.108,0.1397822580645161,0.20779569892473118,0.18320161290322579,0.2185564516129032,0.10300537634408602,17.333000000000002,38.650000000000006,22.716999999999995,27.101,19.159,0.07955970347656655,0.07289739884308463,0.039473861472703604,0.05524299355938741,0.006720313805003609,0.15676041666666665,0.13929166666666667,0.17365,0.18765,0.16878125,0.20096875,0.14941666666666667,15.049,16.715,20.838,22.518,16.203,19.293,14.344,0.15529732059854645,0.10728501237149492,0.1750581007993123,0.2031335053810753,0.13989140172403658,0.18888757185858362,0.08504025878391412,0.16544021739130432,0.17519270833333334,91.323,33.637,0.160730546503342,0.14836014391531904,0.1679569892473118,124.96,0.15759080624258606,124.96,124.96,26.341,35.414,21.009,23.145,19.051
AJVG,0.0916747311827957,0.14668946739677566,0.005,1.606,0.005,0.057,0.104,68.206,0.09167473118279572,2.2001935483870962,0.04961290322580645,0.0635483870967742,0.04751612903225807,0.05780645161290323,0.04825806451612903,0.1793225806451613,0.2580967741935484,0.061838709677419355,0.056129032258064517,0.045064516129032256,0.06516129032258064,0.07951612903225806,0.07048387096774193,0.0837741935483871,0.12496774193548388,0.07041935483870967,0.11912903225806452,0.08838709677419355,0.10541935483870966,0.1317741935483871,0.1271935483870968,0.11809677419354839,0.07535483870967742,0.0733225806451613,1.538,1.97,1.473,1.792,1.496,5.559,8.001,1.917,1.74,1.397,2.02,2.465,2.185,2.597,3.874,2.183,3.693,2.74,3.268,4.085,3.943,3.661,2.336,2.273,1.538,1.97,1.473,1.792,1.496,5.559,8.001,1.917,1.74,1.397,2.02,2.465,2.185,2.597,3.874,2.183,3.693,2.74,3.268,4.085,3.943,3.661,2.336,2.273,0.10528225806451613,0.08238709677419355,0.11117741935483871,0.09849193548387097,0.07434408602150538,13.055,15.324,13.786000000000001,12.213,13.828,0.1373487220437941,0.0818318802404227,0.021595533344158497,0.04022073131512215,0.060706949645197364,0.12357291666666666,0.10881666666666666,0.09726666666666667,0.09951666666666667,0.06425,0.043145833333333335,0.09751041666666667,11.863,13.058,11.672,11.942,6.168,4.142,9.361,0.14193317514288317,0.17145099911647999,0.15595532291364103,0.15066513502853027,0.098498089749043,0.05281905142069911,0.18772662065055448,0.09909963768115942,0.070328125,54.703,13.503,0.14828102470181354,0.14020968456078026,0.0916747311827957,68.206,0.14668946739677566,68.206,68.206,0.752,5.081,24.202,24.161,14.01
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.4542115053763433,0.6098178427586838,0.065,3.745,0.146,0.219,0.41525,337.9333599999994,0.45421150537634347,10.901076129032239,0.1748709677419355,0.1830967741935484,0.17774193548387096,0.18570967741935482,0.1723548387096774,0.22793548387096774,0.2470967741935484,0.24238709677419357,0.2634516129032258,0.3219070967741878,0.4399393548387039,0.597455483870962,0.5702258064516129,0.5103548387096775,0.7212258064516129,0.8655806451612903,0.8379032258064517,0.9206774193548387,0.9795483870967742,0.8499354838709677,0.5428387096774193,0.3705483870967742,0.28661290322580646,0.21167741935483872,5.421,5.676,5.51,5.757,5.343,7.066,7.66,7.514,8.167,9.97911999999982,13.638119999999821,18.521119999999822,17.677,15.821,22.358,26.833,25.975,28.541,30.366,26.348,16.828,11.487,8.885,6.562,5.421,5.676,5.51,5.757,5.343,7.066,7.66,7.514,8.167,9.97911999999982,13.638119999999821,18.521119999999822,17.677,15.821,22.358,26.833,25.975,28.541,30.366,26.348,16.828,11.487,8.885,6.562,0.26871064516128884,0.6174636559139766,0.897016129032258,0.3529193548387097,0.18695161290322582,33.32011999999982,114.84823999999965,111.23,43.76199999999999,34.772999999999996,0.09856480259030118,0.23660571163522542,0.056377448806197654,0.12949888465287362,0.03488611307800349,0.3981145833333333,0.46139166666666664,0.5710446666666622,0.6268916666666667,0.25563541666666667,0.41213541666666664,0.38009374999999995,38.219,55.367,68.52535999999947,75.227,24.541,39.565,36.489,0.5781234228048662,0.6314741495981004,0.6550753449755532,0.8545473792946672,0.1671378957811194,0.4220500499078196,0.5577444628638307,0.4744191304347816,0.3961145833333333,261.87935999999945,76.054,0.6445471156047861,0.4935381793193905,0.4542115053763434,337.9333599999995,0.609817842758684,337.9333599999995,337.9333599999995,66.72,108.035,99.435,31.580000000000002,32.163359999999464
FMB,0.22924193548387095,0.23148119944243145,0.04,1.071,0.059,0.1185,0.31575,170.55599999999998,0.22924193548387095,5.501806451612902,0.17738709677419354,0.17287096774193547,0.1501290322580645,0.14100000000000001,0.16496774193548386,0.17751612903225808,0.16216129032258064,0.16948387096774195,0.18270967741935482,0.22138709677419352,0.2609677419354839,0.24719354838709678,0.3433225806451613,0.23987096774193548,0.17483870967741935,0.1853548387096774,0.20967741935483872,0.19893548387096774,0.2843225806451613,0.3215806451612903,0.3493225806451613,0.3230967741935484,0.3574193548387097,0.2862903225806452,5.499,5.359,4.654,4.371,5.114,5.503,5.027,5.2540000000000004,5.664,6.8629999999999995,8.09,7.663,10.643,7.436,5.42,5.7459999999999996,6.5,6.167,8.814,9.969,10.829,10.016,11.08,8.875,5.499,5.359,4.654,4.371,5.114,5.503,5.027,5.2540000000000004,5.664,6.8629999999999995,8.09,7.663,10.643,7.436,5.42,5.7459999999999996,6.5,6.167,8.814,9.969,10.829,10.016,11.08,8.875,0.18393548387096775,0.24192473118279567,0.25362903225806455,0.32903225806451614,0.1639784946236559,22.808,44.998000000000005,31.450000000000003,40.8,30.500000000000004,0.011991869598898884,0.036371486295808685,0.05663020973895575,0.0382357813242595,0.008249236011243796,0.1954479166666667,0.23719166666666666,0.22434166666666666,0.21883333333333335,0.2969479166666667,0.17126041666666666,0.2625104166666667,18.763,28.463,26.921,26.26,28.507,16.441,25.201,0.19294738141683604,0.24083744983057837,0.23684340448764818,0.2095962638921196,0.2582427405528481,0.21246766910912976,0.2480305581679155,0.23353985507246375,0.2168854166666667,128.914,41.642,0.23036516865918863,0.23482792496035632,0.22924193548387098,170.556,0.23148119944243156,170.556,170.556,22.839,41.919,42.63,49.031,14.137
GPC,0.12038440860215054,0.10838359708591057,0.028,1.36,0.072,0.095,0.12,89.566,0.12038440860215054,2.889225806451613,0.08909677419354839,0.0863225806451613,0.08525806451612904,0.08541935483870969,0.08641935483870967,0.08712903225806452,0.10696774193548386,0.12451612903225807,0.15519354838709679,0.11393548387096775,0.11512903225806452,0.1053225806451613,0.12180645161290322,0.1842258064516129,0.16625806451612904,0.1470322580645161,0.15396774193548385,0.13448387096774195,0.10922580645161291,0.16225806451612904,0.1636774193548387,0.12290322580645162,0.09829032258064517,0.08438709677419355,2.762,2.676,2.6430000000000002,2.648,2.679,2.701,3.316,3.8600000000000003,4.811,3.532,3.569,3.265,3.776,5.711,5.154,4.558,4.773,4.1690000000000005,3.386,5.03,5.074,3.81,3.047,2.616,2.762,2.676,2.6430000000000002,2.648,2.679,2.701,3.316,3.8600000000000003,4.811,3.532,3.569,3.265,3.776,5.711,5.154,4.558,4.773,4.1690000000000005,3.386,5.03,5.074,3.81,3.047,2.616,0.1251532258064516,0.13996236559139785,0.13998387096774192,0.11731451612903226,0.08660752688172045,15.519,26.032999999999998,17.358,14.547,16.109,0.03993775156390298,0.07249389816901076,0.05393559252251125,0.04759296690942266,0.002186451518652192,0.16505208333333335,0.116775,0.0988,0.125675,0.13536458333333334,0.08789583333333334,0.11810416666666666,15.845,14.013,11.856,15.081,12.995000000000001,8.438,11.338,0.14925085698716614,0.08767678060434732,0.04935561235146653,0.14297658987435963,0.12507901669211616,0.028344303861684603,0.10443900049579852,0.12643115942028987,0.103,69.79,19.776,0.11661808378862133,0.0778082621220283,0.12038440860215054,89.566,0.10838359708591058,89.566,89.566,11.557,18.632,24.708,20.487,14.182
JACL,0.30940860215053767,0.3648643690276297,0.028,1.399,0.07875,0.13,0.3885,230.20000000000002,0.30940860215053756,7.425806451612903,0.12964516129032258,0.09664516129032258,0.08993548387096775,0.09280645161290323,0.096,0.09167741935483871,0.0893225806451613,0.0855483870967742,0.10483870967741936,0.13870967741935483,0.18196774193548387,0.17861290322580645,0.4097096774193549,0.7432580645161291,0.6044193548387097,0.5105483870967742,0.5946774193548386,0.6224516129032258,0.5396451612903226,0.3769677419354839,0.26670967741935486,0.4805483870967742,0.5211290322580645,0.3800322580645161,4.019,2.996,2.7880000000000003,2.8770000000000002,2.976,2.842,2.769,2.652,3.25,4.3,5.641,5.537,12.701,23.041,18.737,15.827,18.435,19.296,16.729,11.686,8.268,14.897,16.155,11.781,4.019,2.996,2.7880000000000003,2.8770000000000002,2.976,2.842,2.769,2.652,3.25,4.3,5.641,5.537,12.701,23.041,18.737,15.827,18.435,19.296,16.729,11.686,8.268,14.897,16.155,11.781,0.10460483870967743,0.43808602150537634,0.5334354838709677,0.41210483870967746,0.09945161290322581,12.971,81.484,66.14599999999999,51.101,18.498,0.05509178249859443,0.09412902530136266,0.04831239745706827,0.07792479273327388,0.005336943678427566,0.29628125,0.3251916666666667,0.3373416666666667,0.33785000000000004,0.33661458333333333,0.26040625,0.25413541666666667,28.443,39.023,40.481,40.542,32.315,24.999,24.397,0.38075215597067313,0.33651846493305,0.39860453002762464,0.40479619625708163,0.38326405271154407,0.2766211385203882,0.3433798148679854,0.32754347826086955,0.25727083333333334,180.804,49.396,0.3804108127944906,0.3109909673328999,0.3094086021505376,230.2,0.36486436902763,230.2,230.2,23.856,48.323,73.107,73.844,11.07
JALG,0.3011841397849462,0.3129177794667351,0.065,1.579,0.12175,0.17,0.30474999999999997,224.08099999999996,0.30118413978494624,7.228419354838709,0.13638709677419353,0.13019354838709676,0.12583870967741934,0.12738709677419355,0.12925806451612903,0.1445483870967742,0.21493548387096775,0.28803225806451616,0.3111935483870968,0.22561290322580643,0.18509677419354836,0.3172258064516129,0.4269032258064516,0.4372258064516129,0.46774193548387094,0.41619354838709677,0.5032903225806452,0.39061290322580644,0.20283870967741938,0.2513870967741936,0.5933225806451613,0.5859032258064516,0.4172258064516129,0.20006451612903225,4.228,4.036,3.901,3.949,4.007,4.481,6.663,8.929,9.647,6.994,5.7379999999999995,9.834,13.234,13.554,14.5,12.902,15.602,12.109,6.288,7.793,18.393,18.163,12.934,6.202,4.228,4.036,3.901,3.949,4.007,4.481,6.663,8.929,9.647,6.994,5.7379999999999995,9.834,13.234,13.554,14.5,12.902,15.602,12.109,6.288,7.793,18.393,18.163,12.934,6.202,0.25994354838709677,0.37506451612903224,0.33703225806451614,0.44912903225806444,0.1322688172043011,32.233000000000004,69.762,41.791999999999994,55.69199999999999,24.601999999999997,0.038704342841517206,0.10902886073903002,0.12285565225696315,0.12866442366294786,0.003647665251785187,0.2985,0.2556833333333333,0.30355000000000004,0.30896666666666667,0.2987083333333333,0.34469791666666666,0.30702083333333335,28.656,30.682,36.426,37.076,28.676,33.091,29.474,0.3036808227485943,0.24460281587711538,0.2924281955965121,0.336071869397842,0.3242543159365945,0.3848632872727027,0.3035366267387345,0.2926014492753623,0.325859375,161.516,62.565,0.3003412285604715,0.34620070445487583,0.30118413978494624,224.081,0.312917779466735,224.081,224.081,24.751,47.765,62.656,62.565,26.344
JLG,0.2788991935483871,0.2731752365757522,0.052,1.491,0.07575,0.125,0.47024999999999995,207.501,0.27889919354838705,6.693580645161291,0.10774193548387097,0.08606451612903226,0.08187096774193547,0.0853225806451613,0.10064516129032258,0.09035483870967742,0.08651612903225807,0.1275483870967742,0.20058064516129032,0.24364516129032257,0.289,0.3648064516129032,0.41638709677419355,0.4094516129032258,0.4808387096774194,0.43080645161290326,0.4093225806451613,0.416258064516129,0.40693548387096773,0.43090322580645163,0.45270967741935486,0.415483870967742,0.35803225806451616,0.2023548387096774,3.34,2.668,2.538,2.645,3.12,2.801,2.682,3.954,6.218,7.553,8.959,11.309,12.908,12.693,14.906,13.355,12.689,12.904,12.615,13.358,14.034,12.88,11.099,6.273,3.34,2.668,2.538,2.645,3.12,2.801,2.682,3.954,6.218,7.553,8.959,11.309,12.908,12.693,14.906,13.355,12.689,12.904,12.615,13.358,14.034,12.88,11.099,6.273,0.16457258064516128,0.39854838709677415,0.41585483870967743,0.3571451612903226,0.09200000000000001,20.407,74.13,51.566,44.286,17.112000000000002,0.0766105936705165,0.036530291554966156,0.03163930489975837,0.03429196162578366,0.017998775042986,0.27118749999999997,0.22823333333333334,0.312675,0.2982333333333333,0.3801979166666667,0.2531875,0.20796875,26.034,27.388,37.521,35.788,36.499,24.306,19.965,0.27582841014316356,0.21463397544975715,0.31298288842263905,0.27696918292712014,0.35634845807799065,0.21977147520956736,0.18557469502658633,0.2957065217391304,0.230578125,163.23,44.271,0.29169917893589037,0.20412252285265572,0.2788991935483871,207.501,0.2731752365757523,207.501,207.501,26.371,42.486,55.84,71.583,11.221
JMM,0.5314771505376343,0.813428842190647,0.081,4.533,0.19,0.313,0.494,395.419,0.5314771505376343,12.755451612903226,0.21135483870967742,0.1934193548387097,0.18687096774193548,0.17903225806451611,0.18961290322580646,0.17051612903225805,0.1947741935483871,0.2234516129032258,0.2366451612903226,0.2738709677419355,0.4018387096774193,0.6662258064516129,0.7310967741935485,0.6395806451612903,0.6806774193548387,0.6971935483870968,0.8941935483870967,1.036258064516129,1.1584193548387096,1.0735483870967741,0.9675483870967742,0.891483870967742,0.5643548387096774,0.293483870967742,6.552,5.996,5.793,5.55,5.878,5.286,6.038,6.927,7.336,8.49,12.456999999999999,20.653,22.664,19.826999999999998,21.101,21.613,27.72,32.124,35.911,33.28,29.994,27.636,17.495,9.098,6.552,5.996,5.793,5.55,5.878,5.286,6.038,6.927,7.336,8.49,12.456999999999999,20.653,22.664,19.826999999999998,21.101,21.613,27.72,32.124,35.911,33.28,29.994,27.636,17.495,9.098,0.23218548387096777,0.6361021505376344,1.0406048387096773,0.6792177419354839,0.18846774193548388,28.791000000000004,118.315,129.035,84.223,35.055,0.022012753410527452,0.22450322356513108,0.15686604437871698,0.5183894748450691,0.009166958947105954,0.6890729166666666,0.5421083333333333,0.6591666666666666,0.3686333333333333,0.70646875,0.349,0.41202083333333334,66.151,65.053,79.1,44.236,67.821,33.504,39.554,1.1109063368997565,0.8719025444330321,1.0666496934924095,0.2959829921678965,1.090609129201369,0.21083717838529728,0.24781542278867522,0.5839873188405796,0.3805104166666667,322.361,73.058,0.9289383700233786,0.23163197451706366,0.5314771505376343,395.419,0.813428842190647,395.419,395.419,49.045,77.439,82.683,164.941,21.311
