archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,verano,s_verano,std_verano,2025-06,Junio,2025-05-26/2025-06-01,2025-06-02/2025-06-08,2025-06-09/2025-06-15,2025-06-16/2025-06-22,2025-06-23/2025-06-29,2025-06-30/2025-07-06
ABLD,0.2262517385257302,0.23462836564583633,0.062,1.39,0.078,0.121,0.2865,162.675,0.22610760869565213,5.4225,0.1024,0.1006,0.09356666666666666,0.09369999999999999,0.10056666666666667,0.1313,0.165,0.25966666666666666,0.22573333333333334,0.18163333333333334,0.18703333333333333,0.1933,0.2351,0.5195666666666666,0.3623,0.31189999999999996,0.28826666666666667,0.26,0.32,0.33613333333333334,0.3544333333333334,0.28126666666666666,0.19913333333333333,0.1240344827586207,3.072,3.018,2.807,2.811,3.017,3.939,4.95,7.79,6.772,5.449,5.611,5.799,7.053,15.587,10.869,9.357,8.648,7.8,9.6,10.084,10.633000000000001,8.438,5.974,3.597,3.072,3.018,2.807,2.811,3.017,3.939,4.95,7.79,6.772,5.449,5.611,5.799,7.053,15.587,10.869,9.357,8.648,7.8,9.6,10.084,10.633000000000001,8.438,5.974,3.597,0.20800833333333332,0.30153333333333326,0.30110000000000003,0.2397169540229885,0.10368888888888889,24.961,54.275999999999996,36.132000000000005,28.642000000000003,18.664,0.059702727115190105,0.05984315116190287,0.052103312766095096,0.0907064617915208,0.012707629124894402,0.266,0.2862708333333333,0.24592708333333332,0.2675,0.23281249999999998,0.15653124999999998,0.14060833333333334,31.654,27.482,23.608999999999998,25.68,22.349999999999998,15.027,16.873,0.2668683418174715,0.2555875987093956,0.23622198501862682,0.23742158816399953,0.23033176586919366,0.16183955362772431,0.19760916760932243,0.2599900596421471,0.14768518518518517,130.775,31.9,0.24637507016700616,0.18234445544261338,0.2262517385257302,162.675,0.23462836564583628,162.675,162.675,1.972,32.009,37.582,46.205,42.09,2.817
AJVG,0.20189847009735742,0.21440295929181552,0.041,1.766,0.084,0.127,0.2295,145.165,0.2021387077294686,4.838833333333334,0.1597,0.16246666666666665,0.1525,0.11673333333333334,0.12453333333333334,0.23206666666666667,0.35686666666666667,0.1528,0.13206666666666667,0.15683333333333332,0.26959999999999995,0.14656666666666668,0.13993333333333335,0.1724,0.1671,0.1627333333333333,0.14963333333333334,0.2823,0.33676666666666666,0.3389333333333333,0.2894333333333333,0.26913333333333334,0.18883333333333333,0.1850689655172414,4.791,4.874,4.575,3.5020000000000002,3.736,6.962,10.706,4.584,3.9619999999999997,4.705,8.088,4.397,4.198,5.172,5.013,4.882,4.489,8.469,10.103,10.168,8.683,8.074,5.665,5.367,4.791,4.874,4.575,3.5020000000000002,3.736,6.962,10.706,4.584,3.9619999999999997,4.705,8.088,4.397,4.198,5.172,5.013,4.882,4.489,8.469,10.103,10.168,8.683,8.074,5.665,5.367,0.19964166666666666,0.1763888888888889,0.2769083333333333,0.23311724137931034,0.158,23.957,31.75,33.229,27.788999999999998,28.439999999999998,0.06664967750557606,0.11552431157411551,0.12165548692941691,0.0607153872027613,0.03780913490094233,0.21845378151260503,0.17547916666666666,0.16195833333333334,0.15646875000000002,0.21943749999999998,0.22290625,0.24407500000000001,25.996,16.846,15.548,15.021,21.066,21.399,29.289,0.2576816044781359,0.19187808515149274,0.1506103314179494,0.14972796055197116,0.24955247575989847,0.23601137698380026,0.21388433073222807,0.18782703777335985,0.2346666666666667,94.477,50.688,0.20893671220192392,0.22370416511181038,0.20189847009735742,145.165,0.21440295929181555,145.165,145.165,5.355,26.939,29.228,40.063,34.958,8.622
ATF,0.21149235048678722,0.2434510346629293,0.053,1.358,0.0985,0.125,0.198,152.06300000000002,0.21183568840579706,5.068766666666667,0.11486666666666667,0.1088,0.10886666666666667,0.10616666666666667,0.1024,0.0961,0.14773333333333333,0.14723333333333333,0.1474666666666667,0.21973333333333336,0.2792,0.4206333333333333,0.4419666666666667,0.38170000000000004,0.3500333333333333,0.2266,0.2249,0.2316,0.19956666666666667,0.24043333333333333,0.23516666666666666,0.23950000000000002,0.16296666666666668,0.13979310344827586,3.446,3.264,3.266,3.185,3.072,2.883,4.4319999999999995,4.417,4.424,6.5920000000000005,8.376,12.619,13.259,11.451,10.501,6.798,6.747,6.948,5.987,7.213,7.055,7.1850000000000005,4.889,4.054,3.446,3.264,3.266,3.185,3.072,2.883,4.4319999999999995,4.417,4.424,6.5920000000000005,8.376,12.619,13.259,11.451,10.501,6.798,6.747,6.948,5.987,7.213,7.055,7.1850000000000005,4.889,4.054,0.16554166666666667,0.3500222222222222,0.22412500000000002,0.19435660919540232,0.1062,19.865000000000002,63.004,26.895000000000003,23.183,19.116,0.07623982709264522,0.10259570175061429,0.030148505222317,0.02992059624455433,0.0011577473488930735,0.23640336134453782,0.17527083333333335,0.21155208333333334,0.24010416666666667,0.21021875,0.24217708333333332,0.16929999999999998,28.132,16.826,20.309,23.05,20.181,23.249,20.316,0.2782247694966912,0.16231745887654955,0.23834428304193062,0.2532428199913928,0.24415147166957865,0.27900307467808405,0.22053485785565005,0.21570178926441352,0.2016898148148148,108.498,43.565,0.2405964255280444,0.25026455042235823,0.2114923504867872,152.063,0.24345103466292928,152.063,152.063,2.052,21.415,22.214,45.432,50.4,10.55
FJAG,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMB,0.2631682892906815,0.2830603561655795,0.034,1.439,0.067,0.142,0.2925,189.218,0.26356775362318846,6.307266666666666,0.17486666666666667,0.09709999999999999,0.08423333333333334,0.07566666666666667,0.07753333333333333,0.10253333333333334,0.0845,0.21763333333333332,0.22190000000000001,0.27253333333333335,0.28103333333333336,0.38143333333333335,0.4333,0.3027666666666667,0.4007,0.5693,0.5478000000000001,0.49306666666666665,0.40886666666666666,0.24053333333333332,0.2354,0.18276666666666666,0.20736666666666667,0.22182758620689655,5.246,2.913,2.527,2.27,2.326,3.076,2.535,6.529,6.657,8.176,8.431000000000001,11.443,12.999,9.083,12.021,17.079,16.434,14.792,12.266,7.215999999999999,7.062,5.483,6.221,6.433,5.246,2.913,2.527,2.27,2.326,3.076,2.535,6.529,6.657,8.176,8.431000000000001,11.443,12.999,9.083,12.021,17.079,16.434,14.792,12.266,7.215999999999999,7.062,5.483,6.221,6.433,0.19914166666666666,0.3947555555555556,0.42256666666666665,0.2118402298850575,0.10198888888888889,23.897,71.05600000000001,50.708,25.198999999999998,18.358,0.08257819027479339,0.06490426837143984,0.054621788371910125,0.029904870265991337,0.05800951127543904,0.312344537815126,0.29284375,0.2703541666666667,0.19790624999999998,0.240125,0.24826041666666668,0.26748333333333335,37.169,28.113,25.954,18.999,23.052,23.833000000000002,32.098,0.3108334459725432,0.2837234505316382,0.2665691567883973,0.24579234188425675,0.2344396791456061,0.32090865218663955,0.29168919752912015,0.2649840954274354,0.2589398148148148,133.287,55.931,0.2736613629638098,0.3044465830688384,0.2631682892906815,189.218,0.28306035616557945,189.218,189.218,6.895,26.255,39.868,51.269,52.263,12.668
GPC,0.16276634214186372,0.13389225049646497,0.031,1.257,0.08549999999999999,0.126,0.186,117.02900000000001,0.1627690217391304,3.9009666666666667,0.1024,0.12746666666666667,0.1168,0.09243333333333334,0.08186666666666667,0.12773333333333334,0.3544,0.19603333333333334,0.1306,0.13920000000000002,0.1054,0.1231,0.2283,0.31310000000000004,0.17466666666666666,0.2026,0.16756666666666667,0.14686666666666665,0.15353333333333333,0.21176666666666666,0.232,0.1545,0.11403333333333335,0.10820689655172414,3.072,3.824,3.504,2.773,2.456,3.832,10.632,5.881,3.918,4.176,3.162,3.693,6.849,9.393,5.24,6.078,5.027,4.406,4.606,6.353,6.96,4.635,3.4210000000000003,3.138,3.072,3.824,3.504,2.773,2.456,3.832,10.632,5.881,3.918,4.176,3.162,3.693,6.849,9.393,5.24,6.078,5.027,4.406,4.606,6.353,6.96,4.635,3.4210000000000003,3.138,0.20505833333333334,0.19119444444444444,0.16993333333333333,0.15218505747126437,0.10811666666666668,24.607,34.415000000000006,20.392,18.153999999999996,19.461,0.08869293313696615,0.06812965317806695,0.018042187550412734,0.04164692148900391,0.030967163208326112,0.1530252100840336,0.16296875,0.170125,0.16476041666666666,0.15582291666666667,0.15634375,0.175475,18.21,15.645,16.332,15.817,14.959,15.009,21.057,0.12315351190550307,0.12048729595622149,0.12123715341602612,0.1624951979722327,0.12929533673291238,0.12440966522996345,0.1504809076641571,0.16096023856858846,0.16697222222222224,80.963,36.066,0.13150687501737462,0.13951083701064532,0.1627663421418637,117.029,0.133892250496465,117.029,117.029,4.829,25.864,25.815,28.3,28.433,3.7880000000000003
JACL,0.2935368567454798,0.3478456553743458,0.036,1.34,0.075,0.133,0.3855,211.053,0.2937190821256039,7.035100000000001,0.26026666666666665,0.08976666666666668,0.0903,0.09133333333333332,0.07766666666666668,0.07973333333333334,0.08933333333333333,0.0979,0.08566666666666665,0.12956666666666666,0.17503333333333335,0.1679,0.24303333333333335,0.7011333333333333,0.6712,0.5539333333333334,0.5743666666666667,0.4918666666666667,0.3228666666666667,0.21159999999999998,0.28386666666666666,0.5143333333333333,0.5809,0.46710344827586203,7.808,2.693,2.709,2.7399999999999998,2.33,2.392,2.68,2.937,2.57,3.887,5.251,5.037,7.291,21.034,20.136,16.618000000000002,17.231,14.756,9.686,6.348,8.516,15.43,17.427,13.546,7.808,2.693,2.709,2.7399999999999998,2.33,2.392,2.68,2.937,2.57,3.887,5.251,5.037,7.291,21.034,20.136,16.618000000000002,17.231,14.756,9.686,6.348,8.516,15.43,17.427,13.546,0.10061666666666666,0.4187055555555556,0.400175,0.4615508620689655,0.11484444444444443,12.074,75.36699999999999,48.021,54.919,20.672,0.033502848977912045,0.11307523535511209,0.08998102537153674,0.04715800538548625,0.07812846106673654,0.28389915966386553,0.3018645833333333,0.3116875,0.2552291666666667,0.3189895833333333,0.2790416666666667,0.3037916666666666,33.784,28.979,29.922,24.502,30.623,26.788,36.455,0.3623517907414356,0.33782133614309906,0.3559390933262245,0.3154292807276313,0.344910255140199,0.34848372057927174,0.36586636895179636,0.2938568588469185,0.2927916666666667,147.81,63.243,0.34391901696004973,0.3576322759028355,0.2935368567454798,211.053,0.3478456553743458,211.053,211.053,6.418,22.365,41.182,58.937,72.382,9.769
JALG,0.2999248956884562,0.26756949984709066,0.075,1.649,0.142,0.196,0.335,215.64600000000002,0.30016407004830914,7.1882,0.16403333333333334,0.1474666666666667,0.14109999999999998,0.14889999999999998,0.1241,0.14809999999999998,0.25020000000000003,0.4348,0.40663333333333335,0.2647,0.22303333333333333,0.3102,0.3672666666666667,0.4375666666666667,0.4155,0.45766666666666667,0.4356,0.32553333333333334,0.2932666666666667,0.3393333333333333,0.4063666666666667,0.40853333333333336,0.361,0.18341379310344827,4.921,4.424,4.233,4.467,3.723,4.443,7.506,13.044,12.199,7.941,6.691,9.306,11.018,13.127,12.465,13.73,13.068,9.766,8.798,10.18,12.191,12.256,10.83,5.319,4.921,4.424,4.233,4.467,3.723,4.443,7.506,13.044,12.199,7.941,6.691,9.306,11.018,13.127,12.465,13.73,13.068,9.766,8.798,10.18,12.191,12.256,10.83,5.319,0.33908333333333335,0.3685388888888889,0.3484333333333333,0.33982844827586206,0.14561666666666664,40.690000000000005,66.337,41.812,40.596000000000004,26.211,0.043489229197876046,0.07912930726879813,0.04985228226043241,0.12175870202723944,0.0027496662952797807,0.3306470588235294,0.32777083333333334,0.2831354166666667,0.28367708333333336,0.23877083333333335,0.2743229166666667,0.34301666666666664,39.347,31.466,27.181,27.233,22.922,26.335,41.162,0.3352573660570539,0.29298832307131345,0.22918875786664608,0.18064390646512954,0.1605781973249804,0.2771547352270424,0.30767575378600626,0.2945308151093439,0.31248611111111113,148.149,67.497,0.2546039783693993,0.295816819170033,0.29992489568845615,215.646,0.2675694998470906,215.646,215.646,7.027,45.128,41.737,50.704,60.191,10.859
JLG,0.2870806675938804,0.304120805331969,0.046,1.637,0.065,0.132,0.5005,206.411,0.28760543478260875,6.880366666666668,0.09726666666666667,0.07973333333333334,0.07830000000000001,0.0765,0.08466666666666667,0.09036666666666666,0.09186666666666668,0.10776666666666666,0.14046666666666666,0.25906666666666667,0.33336666666666664,0.41640000000000005,0.4922666666666667,0.49483333333333335,0.4671333333333333,0.46376666666666666,0.49756666666666666,0.4289,0.3550666666666667,0.3784666666666666,0.43413333333333337,0.4375,0.3638,0.21844827586206897,2.918,2.392,2.349,2.295,2.54,2.711,2.7560000000000002,3.233,4.2139999999999995,7.772,10.001,12.492,14.768,14.845,14.014,13.913,14.927,12.867,10.652000000000001,11.354,13.024000000000001,13.125,10.914,6.335,2.918,2.392,2.349,2.295,2.54,2.711,2.7560000000000002,3.233,4.2139999999999995,7.772,10.001,12.492,14.768,14.845,14.014,13.913,14.927,12.867,10.652000000000001,11.354,13.024000000000001,13.125,10.914,6.335,0.14979166666666666,0.44462777777777784,0.41500000000000004,0.3634704022988506,0.08447222222222223,17.975,80.033,49.8,43.398,15.205,0.1083312818907921,0.012022853151102601,0.05773190176492565,0.05091797299540384,0.020001959817988954,0.29180672268907565,0.31140625,0.27615625,0.26788541666666665,0.28057291666666667,0.31696875,0.268325,34.725,29.895,26.511,25.717,26.935,30.429000000000002,32.199,0.3373048029956199,0.32560636803953136,0.274468340734937,0.29119672748998604,0.2853598188360449,0.2878240124990488,0.3156124674689653,0.28585089463220675,0.28994444444444445,143.783,62.628,0.3045305832419399,0.30385115185007966,0.2870806675938804,206.411,0.3041208053319689,206.411,206.411,2.5,14.244,42.289,55.154,76.931,15.293
JMM,0.33495271210013905,0.5377615531175843,0.087,4.885,0.1555,0.214,0.3015,240.83099999999996,0.3348289251207729,8.0277,0.1873,0.19363333333333335,0.16476666666666664,0.14983333333333335,0.14283333333333334,0.15316666666666665,0.2653333333333333,0.22363333333333332,0.24836666666666665,0.3669333333333333,0.36356666666666665,0.47303333333333336,0.6547999999999999,0.5663,0.4066666666666666,0.392,0.41059999999999997,0.4328,0.42223333333333335,0.43853333333333333,0.4488333333333333,0.3733,0.29823333333333335,0.2596551724137931,5.619,5.809,4.943,4.495,4.285,4.595,7.96,6.709,7.451,11.008,10.907,14.191,19.644,16.989,12.2,11.76,12.318,12.984,12.667,13.156,13.465,11.199,8.947000000000001,7.53,5.619,5.809,4.943,4.495,4.285,4.595,7.96,6.709,7.451,11.008,10.907,14.191,19.644,16.989,12.2,11.76,12.318,12.984,12.667,13.156,13.465,11.199,8.947000000000001,7.53,0.2760666666666666,0.4760611111111111,0.42604166666666665,0.345005459770115,0.16525555555555557,33.128,85.691,51.125,41.141000000000005,29.746000000000002,0.2168090956674067,0.11120492049657413,0.03756966894747388,0.24736562105479637,0.06126923435697202,0.2294705882352941,0.2256145833333333,0.23960416666666665,0.26329166666666665,0.32035416666666666,0.785375,0.311975,27.307,21.659,23.002,25.276,30.754,75.396,37.437,0.12432562654478255,0.17160035393115675,0.1706330923150092,0.2404022907617746,0.2786431401657028,1.2839343338676672,0.2490122153697713,0.25446918489065606,0.522375,127.998,112.833,0.20381511264907462,0.9046071911878862,0.33495271210013905,240.831,0.5377615531175847,240.831,240.831,9.179,48.242,94.771,42.806,40.179,5.654
