archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,otoño,s_otoño,std_otoño,2023-09,Septiembre,2023-08-28/2023-09-03,2023-09-04/2023-09-10,2023-09-11/2023-09-17,2023-09-18/2023-09-24,2023-09-25/2023-10-01
ABLD,0.18137083333333331,0.19890917402104846,0.06,1.626,0.077,0.108,0.188,130.587,0.18137083333333331,4.352900000000001,0.0942,0.08633333333333333,0.09106666666666666,0.09856666666666666,0.09003333333333334,0.09143333333333332,0.19643333333333332,0.1575,0.11296666666666666,0.16616666666666668,0.13903333333333334,0.15516666666666667,0.2062,0.37923333333333337,0.3137333333333333,0.24653333333333333,0.19773333333333334,0.15180000000000002,0.15573333333333333,0.2859666666666667,0.39740000000000003,0.2648,0.1638666666666667,0.111,2.826,2.59,2.7319999999999998,2.957,2.701,2.743,5.893,4.725,3.389,4.985,4.171,4.655,6.186,11.377,9.411999999999999,7.396,5.932,4.554,4.672,8.579,11.922,7.944,4.916,3.33,2.826,2.59,2.7319999999999998,2.957,2.701,2.743,5.893,4.725,3.389,4.985,4.171,4.655,6.186,11.377,9.411999999999999,7.396,5.932,4.554,4.672,8.579,11.922,7.944,4.916,3.33,0.15826666666666667,0.2399833333333333,0.19780833333333336,0.23426666666666668,0.09193888888888889,18.991999999999997,43.197,23.737000000000002,28.112000000000002,16.549,0.06275649825245806,0.08237803512871877,0.10035917430873566,0.12474728200955118,0.006351297399788042,0.14389583333333333,0.1935,0.19563541666666664,0.22159375,0.16884166666666667,0.17385833333333334,0.17728125000000003,13.814,18.576,18.781,21.273,20.261,20.863,17.019000000000002,0.11274773697499409,0.24663811119682383,0.20751264361183375,0.25813242534241587,0.13260860434669655,0.1900350386017235,0.21271615399647634,0.18393849206349205,0.1753796296296296,92.705,37.882,0.19860033641653121,0.19996144826546022,0.18137083333333331,130.587,0.19890917402104846,130.587,130.587,9.183,31.204,35.61,28.438,26.152
AJVG,0.16164305555555558,0.1892757856655978,0.026,1.455,0.059,0.087,0.18825,116.38300000000001,0.16164305555555555,3.879433333333333,0.0773,0.07926666666666667,0.0999,0.07909999999999999,0.07559999999999999,0.15773333333333334,0.5091333333333333,0.20286666666666667,0.11549999999999999,0.16763333333333333,0.13713333333333333,0.22126666666666667,0.2452,0.16449999999999998,0.12396666666666666,0.10136666666666666,0.09753333333333333,0.24116666666666667,0.17096666666666666,0.24533333333333335,0.17779999999999999,0.1562,0.143,0.08996666666666667,2.319,2.378,2.997,2.3729999999999998,2.268,4.732,15.274000000000001,6.086,3.465,5.029,4.114,6.638,7.356,4.935,3.719,3.041,2.926,7.235,5.129,7.36,5.334,4.686,4.29,2.699,2.319,2.378,2.997,2.3729999999999998,2.268,4.732,15.274000000000001,6.086,3.465,5.029,4.114,6.638,7.356,4.935,3.719,3.041,2.926,7.235,5.129,7.36,5.334,4.686,4.29,2.699,0.2487833333333333,0.16557222222222223,0.18875000000000003,0.14174166666666665,0.09481666666666666,29.854,29.802999999999997,22.650000000000002,17.009,17.067,0.09266220229149619,0.11825646370328832,0.08543008297919136,0.014574369611227496,0.021240819632689235,0.16951041666666666,0.1796458333333333,0.16161458333333334,0.17018750000000002,0.132975,0.16245,0.16208333333333333,16.273,17.246,15.515,16.338,15.957,19.494,15.56,0.18076987375879844,0.20586679286254198,0.18167480315353915,0.18473151570518997,0.15855616731391217,0.23403658587796,0.1653663025984669,0.1613670634920635,0.16228703703703704,81.32900000000001,35.054,0.1818963454923903,0.2059112498333304,0.16164305555555555,116.383,0.18927578566559772,116.383,116.383,13.633,29.564,22.586,28.103,22.497
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.38070288888888665,0.26886811501298863,0.118,3.13,0.211,0.2965,0.454,274.10607999999837,0.3807028888888866,9.136869333333282,0.19343333333333332,0.1893,0.18000000000000002,0.1741,0.19240000000000002,0.23303333333333331,0.2944333333333333,0.27776666666666666,0.25266666666666665,0.3257373333333274,0.4837706666666607,0.6671706666666607,0.621203999999994,0.4095706666666607,0.3782373333333274,0.422503999999994,0.4733706666666607,0.5695039999999941,0.7592666666666666,0.5696666666666667,0.46226666666666666,0.5171,0.2824666666666667,0.2079,5.803,5.679,5.4,5.223,5.772,6.991,8.833,8.333,7.58,9.772119999999822,14.513119999999821,20.015119999999822,18.63611999999982,12.28711999999982,11.347119999999821,12.67511999999982,14.201119999999822,17.085119999999822,22.778,17.09,13.868,15.513,8.474,6.237,5.803,5.679,5.4,5.223,5.772,6.991,8.833,8.333,7.58,9.772119999999822,14.513119999999821,20.015119999999822,18.63611999999982,12.28711999999982,11.347119999999821,12.67511999999982,14.201119999999822,17.085119999999822,22.778,17.09,13.868,15.513,8.474,6.237,0.2876509999999985,0.4970762222222162,0.592951999999997,0.36743333333333333,0.19371111111111108,34.518119999999826,89.47371999999892,71.15423999999965,44.092000000000006,34.867999999999995,0.021734507768781084,0.09097939113431182,0.15084266229029283,0.093056567732308,0.013388389655848907,0.3413854166666667,0.35375,0.44246958333331654,0.35928125,0.36477499999999996,0.3840833333333333,0.42231250000000004,32.773,33.96,42.47707999999839,34.491,43.772999999999996,46.089999999999996,40.542,0.17105064622666996,0.20134333076142671,0.4196829269414168,0.20997411886255232,0.1981685668373088,0.29141929085294355,0.3046797563793309,0.3719723809523778,0.4010740740740741,187.4740799999984,86.632,0.25553760468049574,0.2972968981511605,0.38070288888888665,274.10607999999837,0.2688681150129884,274.10607999999837,274.10607999999837,26.848,65.567,73.57507999999838,57.982,50.134
FMB,0.17466944444444443,0.15904387183409557,0.032,1.628,0.057,0.1255,0.23625,125.76199999999999,0.17466944444444443,4.192066666666666,0.10536666666666666,0.08226666666666667,0.1037,0.07160000000000001,0.08833333333333333,0.08836666666666668,0.08149999999999999,0.15436666666666668,0.17606666666666668,0.21610000000000001,0.20853333333333335,0.30539999999999995,0.34376666666666666,0.22606666666666667,0.19003333333333333,0.182,0.19506666666666667,0.21533333333333332,0.24630000000000002,0.2399333333333333,0.21276666666666666,0.18076666666666666,0.1459,0.13253333333333334,3.161,2.468,3.111,2.148,2.65,2.6510000000000002,2.445,4.631,5.282,6.4830000000000005,6.256,9.161999999999999,10.313,6.782,5.701,5.46,5.852,6.46,7.389,7.1979999999999995,6.383,5.423,4.377,3.976,3.161,2.468,3.111,2.148,2.65,2.6510000000000002,2.445,4.631,5.282,6.4830000000000005,6.256,9.161999999999999,10.313,6.782,5.701,5.46,5.852,6.46,7.389,7.1979999999999995,6.383,5.423,4.377,3.976,0.15700833333333336,0.24263333333333334,0.22415833333333335,0.16799166666666665,0.08993888888888889,18.841,43.67400000000001,26.899,20.159,16.189,0.04051578247654445,0.07727716297379732,0.03350398637220633,0.042140739786790504,0.012108004587097796,0.19013541666666667,0.2031666666666667,0.19046875,0.17884375,0.13640833333333333,0.14495833333333333,0.19569791666666667,18.253,19.504,18.285,17.169,16.369,17.395,18.787,0.1423070527372833,0.1629007231845061,0.16032499579390544,0.1370654340951219,0.11857689033521089,0.17776055067238666,0.19551557320079407,0.17773809523809522,0.16750925925925927,89.58,36.182,0.1454559119568663,0.18713343058924542,0.17466944444444443,125.762,0.1590438718340955,125.762,125.762,12.257,28.693,27.579,31.4,25.833
GPC,0.16590972222222225,0.1587792491948742,0.029,1.143,0.076,0.1125,0.18525,119.45500000000001,0.16590972222222222,3.9818333333333333,0.08076666666666667,0.07813333333333333,0.07723333333333333,0.08693333333333333,0.07543333333333332,0.11389999999999999,0.30239999999999995,0.24333333333333332,0.22610000000000002,0.20933333333333334,0.17356666666666667,0.1364,0.18526666666666666,0.22136666666666666,0.15813333333333332,0.17193333333333335,0.206,0.17296666666666666,0.19683333333333333,0.2753333333333333,0.2075,0.14956666666666668,0.12886666666666666,0.10453333333333334,2.423,2.344,2.317,2.608,2.263,3.417,9.072,7.3,6.783,6.28,5.207,4.092,5.558,6.641,4.744,5.158,6.18,5.189,5.905,8.26,6.225,4.487,3.866,3.136,2.423,2.344,2.317,2.608,2.263,3.417,9.072,7.3,6.783,6.28,5.207,4.092,5.558,6.641,4.744,5.158,6.18,5.189,5.905,8.26,6.225,4.487,3.866,3.136,0.24529166666666669,0.17444444444444443,0.21278333333333332,0.14761666666666667,0.08539999999999999,29.435000000000002,31.4,25.534,17.714,15.372,0.026315377422973726,0.05530600287118623,0.03308117768657711,0.03355337087357506,0.010826773847763472,0.16896875,0.16788541666666668,0.17009375000000002,0.19073958333333332,0.13154166666666667,0.17895,0.15852083333333333,16.221,16.117,16.329,18.311,15.785,21.474,15.218,0.16700277042297046,0.14689279082247036,0.17017118799516034,0.16688976789244145,0.09820890919839387,0.20002675661357047,0.14111033228361766,0.1642123015873016,0.16987037037037037,82.763,36.692,0.1508529512144844,0.1762026366559631,0.16590972222222222,119.455,0.15877924919487416,119.455,119.455,13.823,25.583,28.071,29.117,22.861
JACL,0.1291986111111111,0.13324492281377281,0.028,0.974,0.06,0.104,0.13725,93.023,0.1291986111111111,3.100766666666667,0.07963333333333335,0.09203333333333334,0.08133333333333333,0.07353333333333333,0.08226666666666667,0.07926666666666667,0.06503333333333333,0.09263333333333333,0.10123333333333333,0.07529999999999999,0.08476666666666667,0.0984,0.1648,0.2831,0.2651,0.22793333333333335,0.1819,0.13486666666666666,0.13036666666666666,0.12196666666666668,0.11776666666666666,0.1704,0.1851,0.11203333333333333,2.3890000000000002,2.761,2.44,2.206,2.468,2.378,1.951,2.779,3.037,2.259,2.543,2.952,4.944,8.493,7.953,6.838,5.457,4.046,3.911,3.6590000000000003,3.533,5.112,5.553,3.3609999999999998,2.3890000000000002,2.761,2.44,2.206,2.468,2.378,1.951,2.779,3.037,2.259,2.543,2.952,4.944,8.493,7.953,6.838,5.457,4.046,3.911,3.6590000000000003,3.533,5.112,5.553,3.3609999999999998,0.08355,0.18735000000000002,0.14227499999999998,0.146325,0.08134444444444444,10.026,33.723,17.073,17.559,14.642,0.01823115231604518,0.08221725997186047,0.03383870636108185,0.033317356459422985,0.002777433294538206,0.12613541666666667,0.13546875,0.11426041666666666,0.1493125,0.11067500000000001,0.14055,0.12978125,12.109,13.005,10.969,14.334,13.281,16.866,12.459,0.14788420931267507,0.11575363612567768,0.0659877572044784,0.17310832097121642,0.08646854603716611,0.16360255437590002,0.14355620231701663,0.12638492063492063,0.13576388888888888,63.698,29.325,0.12294324059639714,0.15475578598092432,0.1291986111111111,93.023,0.1332449228137727,93.023,93.023,7.406000000000001,32.076,23.162,16.565,13.814
JALG,0.2602055555555556,0.20946252026573822,0.072,1.463,0.11075,0.184,0.329,187.348,0.2602055555555556,6.244933333333334,0.12303333333333333,0.12126666666666666,0.1106,0.10653333333333334,0.10826666666666666,0.12926666666666667,0.18566666666666667,0.20706666666666665,0.20603333333333335,0.2378,0.19756666666666664,0.3314333333333333,0.4498,0.4103,0.3796666666666667,0.29606666666666664,0.29003333333333337,0.26796666666666663,0.27773333333333333,0.5408333333333334,0.4852666666666667,0.3529333333333333,0.261,0.1688,3.691,3.638,3.318,3.196,3.2479999999999998,3.878,5.57,6.212,6.181,7.134,5.927,9.943,13.494,12.309,11.39,8.882,8.701,8.039,8.332,16.225,14.558,10.588,7.83,5.064,3.691,3.638,3.318,3.196,3.2479999999999998,3.878,5.57,6.212,6.181,7.134,5.927,9.943,13.494,12.309,11.39,8.882,8.701,8.039,8.332,16.225,14.558,10.588,7.83,5.064,0.20914166666666667,0.3441388888888888,0.3441416666666667,0.31700000000000006,0.11649444444444444,25.097,61.94499999999999,41.297000000000004,38.04,20.969,0.053278943733029924,0.10404580211756073,0.13128093563662116,0.07441872351465184,0.0038015651825254316,0.25404166666666667,0.25334375000000003,0.28992708333333334,0.2689270833333333,0.24694166666666667,0.22958333333333333,0.2896458333333333,24.388,24.321,27.833,25.817,29.633,27.55,27.806,0.17835115667614634,0.21739669431104144,0.22088431098138067,0.25539909923559023,0.1924275830536983,0.16798062029745636,0.23217429837206655,0.2618888888888889,0.25627777777777777,131.992,55.356,0.21322941368020776,0.20082674858129937,0.2602055555555556,187.348,0.20946252026573822,187.348,187.348,18.603,40.848,46.245,42.688,38.964
JLG,0.13266527777777776,0.11742382096535413,0.041,1.124,0.064,0.103,0.152,95.51899999999999,0.13266527777777778,3.183966666666667,0.09559999999999999,0.07336666666666666,0.06893333333333333,0.06926666666666666,0.06496666666666667,0.06816666666666667,0.0672,0.08413333333333334,0.13226666666666667,0.15243333333333334,0.12240000000000001,0.14773333333333336,0.217,0.17523333333333332,0.19003333333333333,0.19766666666666666,0.14566666666666667,0.15346666666666667,0.1414,0.17543333333333333,0.17470000000000002,0.17443333333333333,0.16206666666666666,0.1304,2.868,2.201,2.068,2.078,1.949,2.045,2.016,2.524,3.968,4.573,3.672,4.432,6.51,5.257,5.701,5.93,4.37,4.604,4.242,5.263,5.2410000000000005,5.233,4.862,3.912,2.868,2.201,2.068,2.078,1.949,2.045,2.016,2.524,3.968,4.573,3.672,4.432,6.51,5.257,5.701,5.93,4.37,4.604,4.242,5.263,5.2410000000000005,5.233,4.862,3.912,0.10900833333333332,0.17501111111111112,0.15399166666666667,0.1604,0.07338333333333333,13.081,31.502000000000002,18.479,19.248,13.209,0.05911494176483856,0.04701900056733038,0.03352244164989497,0.024260827125870466,0.03045422397319516,0.135,0.15480208333333334,0.13329166666666667,0.10516666666666667,0.12970833333333334,0.14020000000000002,0.12934375,12.96,14.861,12.796,10.096,15.565,16.824,12.417,0.10714623553570927,0.11855228646969648,0.11265148086177508,0.04343795736853745,0.13121304735245734,0.14963836518799065,0.1151950134268886,0.13150396825396826,0.135375,66.278,29.241,0.10903544202880311,0.13522643585293656,0.13266527777777778,95.519,0.11742382096535413,95.519,95.519,7.882,19.891000000000002,24.669,20.978,22.099
JMM,0.24169583333333336,0.25189553541393755,0.078,2.104,0.13,0.174,0.255,174.02100000000002,0.24169583333333336,5.8007,0.15116666666666667,0.13103333333333333,0.12813333333333332,0.12726666666666667,0.12063333333333334,0.12316666666666666,0.1188,0.1614,0.14446666666666666,0.21846666666666667,0.29653333333333337,0.47633333333333333,0.4661666666666667,0.47200000000000003,0.21623333333333333,0.23803333333333335,0.2589,0.2891333333333333,0.30716666666666664,0.32563333333333333,0.32813333333333333,0.2703666666666667,0.24086666666666667,0.19066666666666665,4.535,3.931,3.844,3.818,3.619,3.695,3.564,4.842,4.334,6.554,8.896,14.29,13.985,14.16,6.487,7.141,7.767,8.674,9.215,9.769,9.844,8.111,7.226,5.72,4.535,3.931,3.844,3.818,3.619,3.695,3.564,4.842,4.334,6.554,8.896,14.29,13.985,14.16,6.487,7.141,7.767,8.674,9.215,9.769,9.844,8.111,7.226,5.72,0.16078333333333333,0.3608833333333334,0.2952083333333333,0.25750833333333334,0.13023333333333334,19.293999999999997,64.959,35.425,30.900999999999996,23.442,0.06007895168432722,0.20179768597513034,0.07206029379843838,0.08060993424617532,0.008492452208411196,0.23294791666666667,0.21912500000000001,0.22748958333333333,0.21669791666666668,0.24565,0.281075,0.25805208333333335,22.363,21.036,21.839,20.803,29.478,33.729,24.773,0.21620829965040492,0.2001907117041936,0.21128334653239905,0.1517151152856575,0.3200429501113349,0.3106719516702816,0.26993603023062085,0.2292043650793651,0.2708425925925926,115.519,58.502,0.23135596470883457,0.29282917194991875,0.2416958333333333,174.021,0.2518955354139375,174.021,174.021,17.139,35.601,40.328,37.923,43.03
