archivo,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,sum_consumo,promedio_por_dia,consumo_medio_diario,consumo_00,consumo_01,consumo_02,consumo_03,consumo_04,consumo_05,consumo_06,consumo_07,consumo_08,consumo_09,consumo_10,consumo_11,consumo_12,consumo_13,consumo_14,consumo_15,consumo_16,consumo_17,consumo_18,consumo_19,consumo_20,consumo_21,consumo_22,consumo_23,consumo_00_suma,consumo_01_suma,consumo_02_suma,consumo_03_suma,consumo_04_suma,consumo_05_suma,consumo_06_suma,consumo_07_suma,consumo_08_suma,consumo_09_suma,consumo_10_suma,consumo_11_suma,consumo_12_suma,consumo_13_suma,consumo_14_suma,consumo_15_suma,consumo_16_suma,consumo_17_suma,consumo_18_suma,consumo_19_suma,consumo_20_suma,consumo_21_suma,consumo_22_suma,consumo_23_suma,consumo_00_std,consumo_01_std,consumo_02_std,consumo_03_std,consumo_04_std,consumo_05_std,consumo_06_std,consumo_07_std,consumo_08_std,consumo_09_std,consumo_10_std,consumo_11_std,consumo_12_std,consumo_13_std,consumo_14_std,consumo_15_std,consumo_16_std,consumo_17_std,consumo_18_std,consumo_19_std,consumo_20_std,consumo_21_std,consumo_22_std,consumo_23_std,Mañana,Mediodia,Tarde,Noche,Madrugada,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,Entre semana,Fin de semana,s_Entre semana,s_Fin de semana,std_Entre semana,std_Fin de semana,invierno,s_invierno,std_invierno,2023-12,Diciembre,2023-11-27/2023-12-03,2023-12-04/2023-12-10,2023-12-11/2023-12-17,2023-12-18/2023-12-24,2023-12-25/2023-12-31
ABLD,0.21787096774193548,0.27474779726779186,0.028,1.843,0.06,0.088,0.22625,162.096,0.21787096774193546,5.2289032258064525,0.08774193548387098,0.07009677419354839,0.06261290322580645,0.0703225806451613,0.07583870967741936,0.06858064516129032,0.084,0.19254838709677422,0.21541935483870966,0.14835483870967742,0.2144193548387097,0.29719354838709683,0.397741935483871,0.3407741935483871,0.37190322580645163,0.36416129032258066,0.30151612903225805,0.26148387096774195,0.25996774193548383,0.22519354838709676,0.3279032258064516,0.3175806451612903,0.2975483870967742,0.17600000000000002,2.72,2.173,1.941,2.18,2.351,2.126,2.604,5.969,6.678,4.599,6.647,9.213000000000001,12.33,10.564,11.529,11.289,9.347,8.106,8.059,6.981,10.165,9.844999999999999,9.224,5.456,2.72,2.173,1.941,2.18,2.351,2.126,2.604,5.969,6.678,4.599,6.647,9.213000000000001,12.33,10.564,11.529,11.289,9.347,8.106,8.059,6.981,10.165,9.844999999999999,9.224,5.456,0.16008064516129034,0.33103225806451614,0.26204032258064514,0.27975806451612906,0.07253225806451613,19.85,61.572,32.493,34.69,13.491000000000001,0.06996274238923184,0.07660475615499295,0.02185098184801503,0.09703105288718068,0.008064861800375267,0.16121875,0.2389375,0.18437499999999998,0.14151041666666667,0.21759166666666668,0.29880833333333334,0.25356666666666666,15.477,22.938,17.7,13.584999999999999,26.111,35.857,30.428,0.19845430088429347,0.3069313934141601,0.22308036078602048,0.1630864797901741,0.25627232416250617,0.3768163696027022,0.2821190741314659,0.19010119047619045,0.2761875,95.81099999999999,66.285,0.23757581959918,0.3329281561617641,0.21787096774193548,162.096,0.2747477972677917,162.096,162.096,24.005,36.685,28.964,33.66,38.782
AJVG,0.3454193548387096,0.5409403197743641,0.019,3.569,0.041,0.073,0.3245,256.99199999999996,0.34541935483870967,8.290064516129032,0.08741935483870968,0.10296774193548386,0.10158064516129033,0.07719354838709677,0.07203225806451613,0.07383870967741936,0.3023548387096774,0.8708709677419355,0.5025806451612903,0.29119354838709677,0.36700000000000005,0.3331290322580645,0.28632258064516125,0.32325806451612904,0.3974838709677419,0.35538709677419356,0.35054838709677416,0.4248387096774194,0.4035161290322581,0.4865161290322581,0.6014193548387097,0.6636451612903226,0.5621935483870968,0.2527741935483871,2.71,3.1919999999999997,3.149,2.393,2.233,2.289,9.373,26.997,15.58,9.027,11.377,10.327,8.876,10.021,12.322,11.017,10.866999999999999,13.17,12.509,15.082,18.644,20.573,17.428,7.836,2.71,3.1919999999999997,3.149,2.393,2.233,2.289,9.373,26.997,15.58,9.027,11.377,10.327,8.876,10.021,12.322,11.017,10.866999999999999,13.17,12.509,15.082,18.644,20.573,17.428,7.836,0.49175,0.34376344086021504,0.4163548387096775,0.520008064516129,0.08583870967741936,60.977,63.94,51.628,64.481,15.966,0.19384947539527494,0.04260590977733303,0.07673141517917524,0.20146045095160311,0.035717769590828174,0.36646874999999995,0.27988541666666666,0.6071875,0.41565625,0.2794083333333333,0.2996666666666667,0.22716666666666668,35.181,26.869,58.29,39.903,33.528999999999996,35.96,27.26,0.5078596356666611,0.5103827020206796,0.8206620987124712,0.5728991980430946,0.41345530066049185,0.48854082741979965,0.3466551657217423,0.38446825396825396,0.2634166666666667,193.772,63.22,0.5847873778735359,0.4242520681084321,0.3454193548387097,256.992,0.540940319774364,256.992,256.992,8.385,16.485,53.622,73.991,104.509
ATF,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FJAG,0.3624638172042989,0.2909350152346359,0.074,1.863,0.16775,0.259,0.42925,269.6730799999984,0.3624638172042989,8.699131612903173,0.18061290322580645,0.14622580645161293,0.14490322580645162,0.1373548387096774,0.13264516129032258,0.14367741935483871,0.22741935483870968,0.3423225806451613,0.308,0.24158451612902646,0.28722967741934907,0.5808748387096716,0.7396167741935427,0.5634554838709619,0.370713548387091,0.3569393548387039,0.3723587096774136,0.48881032258063933,0.49783870967741933,0.676741935483871,0.5301290322580645,0.5001935483870967,0.3945483870967742,0.3349354838709678,5.599,4.533,4.492,4.258,4.112,4.454,7.05,10.612,9.548,7.48911999999982,8.904119999999821,18.00711999999982,22.928119999999822,17.46711999999982,11.49211999999982,11.06511999999982,11.54311999999982,15.15311999999982,15.433,20.979,16.434,15.506,12.231,10.383000000000001,5.599,4.533,4.492,4.258,4.112,4.454,7.05,10.612,9.548,7.48911999999982,8.904119999999821,18.00711999999982,22.928119999999822,17.46711999999982,11.49211999999982,11.06511999999982,11.54311999999982,15.15311999999982,15.433,20.979,16.434,15.506,12.231,10.383000000000001,0.27983161290322434,0.4831382795698867,0.5089374193548358,0.43995161290322576,0.14756989247311827,34.69911999999982,89.86371999999892,63.10823999999964,54.554,27.448,0.09218073236204805,0.10627832896484062,0.04583585899925277,0.008854293597857246,0.03880225134259891,0.329,0.3686041666666667,0.40641749999998317,0.3060104166666667,0.3638166666666667,0.36755,0.3878833333333333,31.584,35.386,39.01607999999838,29.377,43.658,44.106,46.546,0.22792570349960417,0.2947519734916002,0.37236024317428656,0.20499419733978438,0.2793125710112776,0.31029570743150825,0.3055793006137448,0.35520055555555236,0.37771666666666665,179.0210799999984,90.652,0.2827473140689475,0.30747045123417605,0.3624638172042989,269.6730799999984,0.29093501523463605,269.6730799999984,269.6730799999984,22.983,70.95407999999838,53.72,61.696,60.32
FMB,0.19258736559139786,0.21529788535047986,0.01,2.377,0.049,0.151,0.252,143.285,0.19258736559139783,4.622096774193549,0.1444516129032258,0.09190322580645162,0.08754838709677419,0.09309677419354839,0.06561290322580644,0.07832258064516129,0.10629032258064516,0.11970967741935483,0.15096774193548387,0.17361290322580644,0.2858064516129032,0.24016129032258066,0.27754838709677415,0.3229354838709677,0.2409032258064516,0.22141935483870967,0.22193548387096773,0.2485483870967742,0.2489032258064516,0.3927741935483871,0.2336774193548387,0.23864516129032257,0.18445161290322581,0.15287096774193548,4.478,2.849,2.714,2.886,2.034,2.428,3.295,3.711,4.68,5.382,8.86,7.445,8.604,10.011,7.468,6.864,6.88,7.705,7.716,12.176,7.244,7.398,5.718,4.739,4.478,2.849,2.714,2.886,2.034,2.428,3.295,3.711,4.68,5.382,8.86,7.445,8.604,10.011,7.468,6.864,6.88,7.705,7.716,12.176,7.244,7.398,5.718,4.739,0.1376451612903226,0.26479569892473115,0.27804032258064515,0.20241129032258065,0.09348924731182795,17.067999999999998,49.252,34.477000000000004,25.099,17.389,0.052809587016455495,0.05980156094877089,0.12940600251960177,0.0638721515707608,0.017766591326913335,0.19809374999999999,0.23567708333333334,0.17219791666666664,0.18705208333333334,0.168425,0.18991666666666665,0.20128333333333334,19.017,22.625,16.531,17.957,20.211,22.79,24.154,0.17826344066105032,0.24616004613138073,0.12145812531955345,0.18562119716702427,0.19806838911019067,0.19912225809654682,0.3081458833639899,0.19115277777777775,0.19560000000000002,96.341,46.944,0.19132072743886325,0.2589452018733341,0.19258736559139786,143.285,0.2152978853504799,143.285,143.285,15.672,33.023,33.177,32.824,28.589
GPC,0.1940456989247312,0.24066538104645407,0.027,1.787,0.06,0.1,0.207,144.37,0.19404569892473117,4.657096774193548,0.07803225806451614,0.099,0.09783870967741935,0.07558064516129032,0.06667741935483872,0.05993548387096775,0.14429032258064517,0.24438709677419354,0.2316774193548387,0.25261290322580643,0.21841935483870967,0.10774193548387097,0.1317741935483871,0.3139354838709677,0.34900000000000003,0.25112903225806454,0.21951612903225806,0.24238709677419357,0.2703548387096774,0.26938709677419354,0.46503225806451615,0.24425806451612903,0.13138709677419355,0.09274193548387097,2.419,3.069,3.033,2.343,2.067,1.858,4.473,7.576,7.182,7.8309999999999995,6.771,3.34,4.085,9.732,10.819,7.785,6.805,7.514,8.381,8.350999999999999,14.416,7.572,4.073,2.875,2.419,3.069,3.033,2.343,2.067,1.858,4.473,7.576,7.182,7.8309999999999995,6.771,3.34,4.085,9.732,10.819,7.785,6.805,7.514,8.381,8.350999999999999,14.416,7.572,4.073,2.875,0.21824193548387094,0.22866666666666668,0.25041129032258064,0.23335483870967744,0.07951075268817205,27.062,42.532,31.051,28.936,14.789,0.07456786866653212,0.10780124278351282,0.03672122885775416,0.119415892608742,0.05785004899055733,0.21736458333333333,0.19553125000000002,0.15621875,0.21123958333333334,0.17296666666666666,0.18416666666666667,0.22166666666666668,20.867,18.771,14.997,20.279,20.756,22.1,26.6,0.26886236431115174,0.24843365960288913,0.21254642604307467,0.24519245909206513,0.18263716766859264,0.21660723597763568,0.29524683686344744,0.18982142857142859,0.2029166666666667,95.67,48.7,0.23153707984056518,0.25906988712627455,0.1940456989247312,144.37,0.24066538104645402,144.37,144.37,13.325,28.277,32.006,29.713,41.049
JACL,0.10342338709677419,0.09440783518668329,0.03,1.122,0.05975,0.089,0.121,76.947,0.10342338709677419,2.4821612903225807,0.11029032258064517,0.08174193548387096,0.06716129032258064,0.06874193548387098,0.06735483870967743,0.07083870967741936,0.065,0.059774193548387096,0.081,0.07990322580645161,0.14429032258064517,0.10893548387096773,0.11406451612903226,0.15761290322580646,0.2603548387096774,0.11377419354838708,0.07658064516129033,0.0877741935483871,0.09990322580645161,0.10364516129032258,0.1132258064516129,0.11951612903225807,0.12087096774193548,0.10980645161290323,3.419,2.534,2.082,2.1310000000000002,2.088,2.196,2.015,1.853,2.511,2.477,4.473,3.377,3.536,4.886,8.071,3.5269999999999997,2.374,2.721,3.097,3.213,3.51,3.705,3.747,3.404,3.419,2.534,2.082,2.1310000000000002,2.088,2.196,2.015,1.853,2.511,2.477,4.473,3.377,3.536,4.886,8.071,3.5269999999999997,2.374,2.721,3.097,3.213,3.51,3.705,3.747,3.404,0.07141935483870968,0.14983870967741938,0.09197580645161291,0.11585483870967742,0.07768817204301075,8.856,27.869999999999997,11.405000000000001,14.366,14.450000000000001,0.008284732334595715,0.06810511192288031,0.002107419411285045,0.011525568473405075,0.0042284558766730275,0.09720833333333334,0.088375,0.09499999999999999,0.09449999999999999,0.09465833333333333,0.12970833333333334,0.11679166666666667,9.332,8.484,9.12,9.072,11.359,15.565,14.015,0.05131285191771966,0.04770683499524107,0.03932696945247358,0.04907416514022961,0.045663271715389614,0.16401974649686651,0.1352611477151976,0.09398214285714285,0.12325,47.367,29.58,0.04664473486714732,0.15015443932343644,0.10342338709677419,76.947,0.09440783518668332,76.947,76.947,8.293,15.215,17.455,17.26,18.724
JALG,0.32019354838709674,0.3090083521218582,0.039,1.841,0.088,0.1965,0.432,238.224,0.32019354838709674,7.684645161290323,0.1797741935483871,0.10703225806451613,0.09806451612903226,0.0795483870967742,0.08441935483870967,0.08851612903225806,0.11503225806451613,0.13596774193548386,0.22151612903225806,0.49922580645161285,0.3975806451612903,0.2809032258064516,0.3660322580645161,0.6258387096774194,0.5375161290322581,0.5922580645161291,0.3914838709677419,0.4485806451612903,0.3990322580645161,0.3738064516129032,0.45319354838709675,0.5512258064516129,0.39899999999999997,0.2590967741935484,5.573,3.318,3.04,2.466,2.617,2.7439999999999998,3.566,4.215,6.867,15.475999999999999,12.325,8.708,11.347,19.401,16.663,18.36,12.136,13.906,12.37,11.588,14.049,17.088,12.369,8.032,5.573,3.318,3.04,2.466,2.617,2.7439999999999998,3.566,4.215,6.867,15.475999999999999,12.325,8.708,11.347,19.401,16.663,18.36,12.136,13.906,12.37,11.588,14.049,17.088,12.369,8.032,0.24293548387096772,0.4666881720430107,0.4032258064516129,0.4156290322580645,0.1062258064516129,30.124,86.804,50.0,51.538,19.758000000000003,0.19169454850707915,0.08065803583380657,0.013323913606210042,0.11028636149041442,0.03685318909787743,0.32154166666666667,0.3021041666666667,0.33888541666666666,0.33228125000000003,0.31002500000000005,0.29875,0.340575,30.868,29.002,32.533,31.899,37.203,35.85,40.869,0.31703577472603994,0.3077260736491284,0.3191586924133235,0.32158088785593364,0.3099163200287589,0.27631823846348436,0.3200328413425958,0.3204464285714286,0.31966249999999996,161.505,76.719,0.3139158076639895,0.29908452830800475,0.32019354838709674,238.224,0.3090083521218581,238.224,238.224,21.724,53.236,51.49,55.838,55.936
JLG,0.12656720430107526,0.13329415067947775,0.037,1.219,0.051,0.096,0.155,94.166,0.12656720430107526,3.037612903225806,0.12632258064516128,0.07735483870967742,0.05190322580645161,0.055,0.051741935483870974,0.04806451612903226,0.04864516129032258,0.047580645161290326,0.06393548387096774,0.13945161290322583,0.1978709677419355,0.19148387096774194,0.08748387096774193,0.1147741935483871,0.19012903225806452,0.21503225806451615,0.1704516129032258,0.12416129032258065,0.1405483870967742,0.1606451612903226,0.1569032258064516,0.2182258064516129,0.21693548387096773,0.1429677419354839,3.916,2.398,1.609,1.705,1.604,1.49,1.508,1.475,1.982,4.323,6.134,5.936,2.7119999999999997,3.558,5.894,6.666,5.284,3.849,4.357,4.98,4.864,6.765000000000001,6.725,4.432,3.916,2.398,1.609,1.705,1.604,1.49,1.508,1.475,1.982,4.323,6.134,5.936,2.7119999999999997,3.558,5.894,6.666,5.284,3.849,4.357,4.98,4.864,6.765000000000001,6.725,4.432,0.07490322580645162,0.16612903225806452,0.1489516129032258,0.18375806451612903,0.06839784946236559,9.288,30.900000000000002,18.47,22.786,12.722,0.07460787554452825,0.0902950318707958,0.020204751558813485,0.09436801941045356,0.0533821885079123,0.12682291666666667,0.09922916666666666,0.12889583333333335,0.12909375,0.14184999999999998,0.130375,0.12525833333333333,12.175,9.526,12.374,12.393,17.022,15.645,15.031,0.10752253078863509,0.05376253423825275,0.15685309782801743,0.12177244335450575,0.17534607557195966,0.14720831078680946,0.12098409478305897,0.12597222222222224,0.12781666666666666,63.49,30.676,0.13285680127248314,0.13447800730637502,0.12656720430107526,94.166,0.13329415067947778,94.166,94.166,6.26,20.83,20.25,22.947,23.879
JMM,0.24528897849462367,0.1242552558234969,0.069,2.194,0.173,0.239,0.293,182.495,0.24528897849462367,5.8869354838709675,0.23919354838709678,0.1932258064516129,0.16109677419354837,0.1464516129032258,0.1433225806451613,0.15016129032258066,0.15487096774193548,0.18248387096774193,0.19319354838709676,0.22648387096774195,0.275258064516129,0.24903225806451612,0.252,0.3723548387096774,0.32229032258064516,0.25661290322580643,0.23380645161290323,0.24393548387096775,0.3071935483870968,0.3181935483870968,0.33706451612903227,0.33980645161290324,0.3223870967741935,0.2665161290322581,7.415,5.99,4.994,4.54,4.443,4.655,4.801,5.657,5.989,7.021,8.533,7.72,7.812,11.543,9.991,7.955,7.248,7.562,9.523,9.864,10.449,10.534,9.994,8.262,7.415,5.99,4.994,4.54,4.443,4.655,4.801,5.657,5.989,7.021,8.533,7.72,7.812,11.543,9.991,7.955,7.248,7.562,9.523,9.864,10.449,10.534,9.994,8.262,0.18925806451612903,0.28792473118279566,0.2757822580645162,0.31644354838709676,0.17224193548387098,23.468,53.554,34.197,39.239000000000004,32.037,0.005909424138024551,0.12493700999501772,0.0032687613814316075,0.028159861409045386,0.006968861843740028,0.22934374999999999,0.23994791666666668,0.24211458333333333,0.23920833333333333,0.24819166666666667,0.26411666666666667,0.24799166666666667,22.017,23.035,23.243,22.964,29.783,31.694,29.759,0.08930171544589133,0.08696803645038263,0.05861684144405252,0.070573129919727,0.12028322988744883,0.21343923163804934,0.12888542862358254,0.2401626984126984,0.2560541666666667,121.042,61.453,0.08936298372535756,0.17612239344304292,0.24528897849462367,182.495,0.12425525582349689,182.495,182.495,14.635,40.527,42.144,41.81,43.379
