,0,1
media_consumo,0.13424126984126977,0.2718331944444444
std_consumo,0.14819424360500438,0.24509100051122773
min_consumo,0.0,0.0214
max_consumo,1.3627142857142858,1.7615000000000003
percentil_25_consumo,0.06414285714285714,0.119025
percentil_50_consumo,0.08742857142857142,0.18225
percentil_75_consumo,0.13989285714285715,0.326725
promedio_por_dia,0.13424126984126977,0.2718331944444444
consumo_medio_diario,3.2217904761904763,6.523996666666666
Mañana,0.1314035714285714,0.2770825
Mediodia,0.161931746031746,0.34324111111111105
Tarde,0.14843095238095236,0.2875041666666666
Noche,0.14975952380952376,0.31567
Madrugada,0.08863730158730153,0.15725388888888883
sum_consumo,96.65371428571429,195.7199
Lunes,0.13612946428571424,0.25897916666666665
Martes,0.14065357142857138,0.2693083333333333
Miércoles,0.13487380952380948,0.2769908333333333
Jueves,0.1337723214285714,0.25607916666666664
Viernes,0.12793005952380948,0.2635770833333333
Sábado,0.12829761904761902,0.2881583333333333
Domingo,0.1362708333333333,0.28908124999999996
Entre semana,0.13495292207792203,0.26572897727272726
Fin de semana,0.13228422619047617,0.2886197916666666
s_Mañana,15.768428571428572,33.249900000000004
s_Mediodia,29.14771428571429,61.78340000000001
s_Tarde,17.811714285714285,34.5005
s_Noche,17.97114285714286,37.880399999999995
s_Madrugada,15.954714285714287,28.3057
s_Lunes,13.068428571428571,24.862000000000002
s_Martes,16.87842857142857,32.317
s_Miércoles,16.184857142857144,33.2389
s_Jueves,12.842142857142857,24.5836
s_Viernes,12.281285714285714,25.3034
s_Sábado,12.31657142857143,27.6632
s_Domingo,13.081999999999999,27.751800000000003
s_Entre semana,71.25514285714286,140.3049
s_Fin de semana,25.398571428571426,55.415
s_primavera,96.65371428571429,195.7199
std_Mañana,0.04646037114589019,0.08495789749851385
std_Mediodia,0.08776450190127287,0.09599076176293672
std_Tarde,0.05716294420163443,0.05555436783322985
std_Noche,0.06508791572726359,0.07783405675996562
std_Madrugada,0.03504749080170307,0.03693542902064449
std_Lunes,0.14935310203869864,0.23577251575511834
std_Martes,0.14303508492823733,0.21696263229168408
std_Miércoles,0.1414667135337055,0.24992854502804335
std_Jueves,0.13527283455879163,0.2248933919310593
std_Viernes,0.12400885528550575,0.2292367856414265
std_Sábado,0.13869105422046285,0.2603598239658358
std_Domingo,0.15367549685998286,0.2590826427150209
std_Entre semana,0.14266492382435195,0.23419989530467328
std_Fin de semana,0.1507409401943233,0.2610868608752933
std_primavera,0.1481942436050044,0.24509100051122773
Abril,96.65371428571429,195.7199
total_mean_consumption,588.8188859400972,1190.648215265234
