hogar,cv,skewness,kurtosis
ABLD_Consumos_2023-02_2025-06,1.1439560290203894,2.67305980219993,8.629001527657898
AJVG_Consumos_2023-01_2024-06,1.5493377180739,3.047410422141525,11.461674452522193
ATF_Consumos_2024-03_2024-06,1.0273278796853464,5.049758971677843,36.75718764991342
FJAG_Consumos_2023-01_2024-12,1.6067561464408249,5.07703734867431,28.187434867296563
FMB_Consumos_2023-03_2025-06,1.1647572374195798,3.2955033450123463,16.138156743537596
GPC_Consumos_2023-01_2024-06,1.1833339492853698,3.188662893233439,13.52725009876455
JACL_Consumos_2023-01_2024-06,1.2327304744488115,4.263968615881856,20.038061170147998
JALG_Consumos_2023-01_2024-06,0.9375248764537375,2.061292794251165,4.840691540787557
JLG_Consumos_2023-01_2024-06,1.1558481981464517,3.554866084874582,15.571031154146098
JMM_Consumos_2023-01_2024-06,1.148664205608879,7.1285630912684725,76.037238275041
LFZA_Consumos_2023-01_2024-06,1.297612618010838,4.026495660507091,19.783677980995808
MANA_Consumos_2023-01_2024-06,1.0541391976279548,3.3240826883213943,13.801788020226162
MBGV_Consumos_2023-01_2024-06,1.0416530256521308,2.845172094337953,10.447965144155951
MJS_Consumos_2024-12_2024-06,0.8879134827823129,1.3826689699066352,1.458894279349689
MTTA_Consumos_2023-02_2025-06,1.0533694363385062,3.7038394355718807,20.112848751400552
PAA_Consumos_2023-01_2024-06,1.2768500694706941,2.8289519674921113,11.148004527328682
RFM_Consumos_2023-01_2024-06,0.7092316227297865,5.608333090028545,47.90775634357951
RTF_Consumos_2023-01_2024-06,1.014286460966864,2.316664895856496,6.99739760965598
