hogar,date_only,consumo_medio,consumo_std,consumo_min,consumo_max,consumo_total,z
ABLD_Consumos_2023-02_2025-06,2023-12-02,0.5183913043478261,0.5678280580926873,0.06,1.843,11.923,4.29812642764957
ABLD_Consumos_2023-02_2025-06,2025-02-23,0.5012608695652174,0.49762985672917615,0.069,2.005,11.529,4.063279378458439
ABLD_Consumos_2023-02_2025-06,2025-05-29,0.4354782608695652,0.42558952370535036,0.07,1.838,10.016,3.161442867224478
AJVG_Consumos_2023-01_2024-06,2023-01-16,0.7524347826086957,0.5787366983420915,0.02,1.787,17.306,3.045600559595042
AJVG_Consumos_2023-01_2024-06,2023-01-23,0.7946521739130435,0.6692217059387754,0.029,2.304,18.277,3.2983396921984416
AJVG_Consumos_2023-01_2024-06,2023-02-27,0.7476086956521739,0.5947112927624045,0.02,1.999,17.195,3.0167086505126757
AJVG_Consumos_2023-01_2024-06,2023-02-28,0.8389130434782608,0.8086092950831456,0.02,2.903,19.294999999999998,3.563312335854734
AJVG_Consumos_2023-01_2024-06,2023-03-02,0.7538260869565218,0.6384339968856974,0.023,2.139,17.338,3.0539297586097782
AJVG_Consumos_2023-01_2024-06,2023-12-20,1.4102173913043479,1.017089517671145,0.045,3.569,32.435,6.983489681280761
AJVG_Consumos_2023-01_2024-06,2023-12-28,0.9417391304347826,0.6960739392146175,0.031,2.692,21.66,4.178892200537577
AJVG_Consumos_2023-01_2024-06,2023-12-30,0.7852608695652173,0.7390021046464865,0.03,2.953,18.061,3.2421175988489725
AJVG_Consumos_2023-01_2024-06,2024-01-06,1.0196956521739131,1.170164224480036,0.029,3.677,23.453,4.645587632832012
AJVG_Consumos_2023-01_2024-06,2024-01-13,1.0818695652173913,0.7516170025864736,0.019,3.101,24.883,5.017798713803033
AJVG_Consumos_2023-01_2024-06,2024-01-21,0.9401304347826087,0.6967463542878705,0.027,2.521,21.623,4.1692615641767885
AJVG_Consumos_2023-01_2024-06,2025-02-01,0.8141739130434782,0.75917818319153,0.029,2.805,18.726,3.4152087658739574
AJVG_Consumos_2023-01_2024-06,2025-02-08,0.8953913043478261,0.7633455513920544,0.03,2.609,20.594,3.90142575835918
AJVG_Consumos_2023-01_2024-06,2025-02-09,0.8035652173913043,0.5827285213924824,0.031,1.79,18.482,3.3516986233865946
ATF_Consumos_2024-03_2024-06,2024-03-16,0.3574782608695652,0.45249961020226476,0.079,1.718,8.222,3.170138641938573
ATF_Consumos_2024-03_2024-06,2024-06-27,0.38169565217391305,0.2823534913386874,0.084,1.023,8.779,3.5368179606061956
ATF_Consumos_2024-03_2024-06,2024-07-31,0.46478260869565213,0.5020647329253777,0.068,1.794,10.69,4.79485059610678
ATF_Consumos_2024-03_2024-06,2024-11-04,0.34952173913043477,0.4067708612927405,0.063,1.77,8.039,3.0496676988215627
ATF_Consumos_2024-03_2024-06,2024-12-24,0.3966086956521739,0.5357343930726761,0.057,2.105,9.122,3.7626186900550183
ATF_Consumos_2024-03_2024-06,2024-12-25,0.547304347826087,0.6377797735313434,0.059,2.233,12.588,6.044325186467906
ATF_Consumos_2024-03_2024-06,2025-06-22,0.423304347826087,0.4115034999058727,0.085,1.304,9.736,4.166821745103349
ATF_Consumos_2024-03_2024-06,2025-06-25,0.38156521739130433,0.4051813091452176,0.096,1.176,8.776,3.534843027112474
ATF_Consumos_2024-03_2024-06,2025-06-26,0.433,0.3864318121668368,0.12,1.162,9.959,4.3136251348033126
ATF_Consumos_2024-03_2024-06,2025-06-28,0.4730434782608695,0.4031765323100212,0.117,1.342,10.879999999999999,4.919929717375807
ATF_Consumos_2024-03_2024-06,2025-06-30,0.4593478260869565,0.47261195005624684,0.13,1.358,10.565,4.712561700535052
FJAG_Consumos_2023-01_2024-12,2023-05-28,2.2685652173913042,2.358786780338319,0.081,5.193,52.177,4.7530377193791224
FJAG_Consumos_2023-01_2024-12,2023-06-12,2.5720869565217392,2.3959708397270063,0.128,5.208,59.158,5.546421206376734
FJAG_Consumos_2023-01_2024-12,2023-09-13,2.2535652173913046,2.3660037044865905,0.141,5.182,51.832,4.713828823373654
FJAG_Consumos_2023-01_2024-12,2023-10-20,2.206086956521739,2.353306955851382,0.114,5.228,50.74,4.589724143843301
FJAG_Consumos_2023-01_2024-12,2023-11-23,1.6942173913043477,2.124724729903997,0.093,5.079,38.967,3.251734773778428
FJAG_Consumos_2023-01_2024-12,2023-12-06,2.2908695652173914,2.325179510261673,0.115,5.244,52.69,4.811339643004645
FJAG_Consumos_2023-01_2024-12,2024-01-14,2.383695652173913,2.4426368284886983,0.124,5.245,54.825,5.053980202342835
FJAG_Consumos_2023-01_2024-12,2024-01-24,2.0460434782608696,2.301726555085845,0.111,5.14,47.059,4.171382270811041
FJAG_Consumos_2023-01_2024-12,2024-01-26,1.7810869565217393,2.04290946520005,0.096,5.107,40.965,3.4788054236883594
FJAG_Consumos_2023-01_2024-12,2024-02-14,2.1434347826086957,2.2122809049421233,0.125,5.033,49.299,4.4259559724117645
FJAG_Consumos_2023-01_2024-12,2024-02-25,2.0173478260869566,2.2957125178094224,0.106,5.047,46.399,4.096373948017971
FJAG_Consumos_2023-01_2024-12,2024-04-11,1.671217391304348,2.03073280451175,0.121,4.947,38.438,3.191614466570043
FJAG_Consumos_2023-01_2024-12,2024-05-19,1.8708260869565219,2.2185998174969788,0.103,5.052,43.029,3.713376905877597
