,0,1
media_consumo,0.1658055377689759,0.29371982149451303
std_consumo,0.1849905884834255,0.3283262037908258
min_consumo,0.0,0.006
max_consumo,2.325222222222222,3.6891249999999998
percentil_25_consumo,0.06944444444444445,0.10943750000000001
percentil_50_consumo,0.10644444444444444,0.1765
percentil_75_consumo,0.1773888888888889,0.3370625
promedio_por_dia,0.16581680056813525,0.29371904282411965
consumo_medio_diario,3.9791328813128715,7.048421538044506
Mañana,0.14929095469498455,0.2568144336487312
Mediodia,0.20811449512367175,0.37539681543360376
Tarde,0.19725664925575506,0.35163791780105774
Noche,0.19506001526033745,0.36742282748086913
Madrugada,0.09404027167737199,0.14894130840227499
sum_consumo,3413.8725555555557,6190.096199999994
Lunes,0.16726257582214146,0.293857080925134
Martes,0.16762772682280386,0.296340768429487
Miércoles,0.16787526821429963,0.2983986348633999
Jueves,0.1669088643863491,0.2904532865048125
Viernes,0.1596124431292919,0.28791578448710947
Sábado,0.16385907222626253,0.2894280662738914
Domingo,0.16752057356413086,0.2996756702977273
Entre semana,0.16585255999471585,0.2933826316932364
Fin de semana,0.16569599019455847,0.29456967534957684
s_Mañana,513.4784444444444,907.0697549999991
s_Mediodia,1062.2155555555555,1973.5158899999951
s_Tarde,680.5483333333334,1223.8363049999991
s_Noche,674.509,1299.820375
s_Madrugada,483.1212222222222,785.853875
s_Lunes,492.7632222222223,891.2162199999996
s_Martes,491.1675555555555,892.7210499999995
s_Miércoles,491.41999999999996,898.1161449999985
s_Jueves,489.88855555555557,872.9087149999993
s_Viernes,467.6048888888888,861.6407699999979
s_Sábado,482.26011111111114,868.8188199999997
s_Domingo,498.7682222222222,904.6744799999988
s_Entre semana,2432.8442222222225,4416.602899999994
s_Fin de semana,981.0283333333334,1773.4932999999985
s_invierno,889.7848888888889,1787.2429699999977
s_otoño,644.3502222222222,1172.5338449999983
s_primavera,1008.9469999999999,1704.3680849999987
s_verano,870.7904444444443,1525.9512999999986
std_Mañana,0.038272102896762965,0.07530699051023572
std_Mediodia,0.043526056011544245,0.060249790833612725
std_Tarde,0.02969945147547519,0.04460503355050589
std_Noche,0.04762215360581279,0.08863929505775876
std_Madrugada,0.021178382013285955,0.0373637235766274
std_Lunes,0.18254360957359228,0.32194059594982427
std_Martes,0.18226050999769283,0.3182126402663473
std_Miércoles,0.1810412590934079,0.33258561338089143
std_Jueves,0.18096474533716173,0.31077232033543545
std_Viernes,0.1729184647462093,0.32211825944616124
std_Sábado,0.19066017215165376,0.3433107932020848
std_Domingo,0.19710183503273473,0.33103545636403997
std_Entre semana,0.18043609945728914,0.32243720161062406
std_Fin de semana,0.19440784911784043,0.33837116718740884
std_invierno,0.19775069358146502,0.3385577941605622
std_otoño,0.15618882121692715,0.26172373128155163
std_primavera,0.16807732155983968,0.26987491502788924
std_verano,0.18884765919993932,0.36958565852589453
Enero,334.06522222222225,667.2703999999992
Febrero,310.77288888888893,625.9929399999995
Marzo,360.8571111111111,634.0015099999998
Abril,312.92066666666665,537.2740599999994
Mayo,335.16922222222223,533.0925149999994
Junio,377.50600000000003,575.2480849999992
Julio,243.27066666666667,475.2454599999997
Agosto,250.01377777777776,475.4577549999996
Septiembre,207.93477777777778,364.19694999999933
Octubre,220.48611111111111,390.59848999999963
Noviembre,215.92933333333335,417.7384049999994
Diciembre,244.9467777777778,493.9796299999991
total_mean_consumption,20495.2990537879,37161.49043748797
