date;time;consumptionKWh;obtainMethod;surplusEnergyKWh;generationEnergyKWh;selfConsumptionEnergyKWh;cluster_k4_2023_12
2023-12-05;23:00;0.486;Real;;;;0
2023-12-05;24:00:00;0.111;Real;;;;0
2023-12-06;1:00;0.326;Real;;;;0
2023-12-06;2:00;0.138;Real;;;;0
2023-12-06;3:00;0.115;Real;;;;0
2023-12-06;4:00;0.08;Real;;;;0
2023-12-06;5:00;0.079;Real;;;;0
2023-12-06;6:00;0.075;Real;;;;0
2023-12-06;7:00;0.134;Real;;;;0
2023-12-06;8:00;0.064;Real;;;;0
2023-12-06;9:00;0.096;Real;;;;0
2023-12-06;10:00;1.07;Real;;;;0
2023-12-06;11:00;0.843;Real;;;;0
2023-12-06;12:00;0.572;Real;;;;0
2023-12-06;13:00;0.212;Real;;;;0
2023-12-06;14:00;0.309;Real;;;;0
2023-12-06;15:00;0.673;Real;;;;0
2023-12-06;16:00;0.49;Real;;;;0
2023-12-06;17:00;0.3;Real;;;;0
2023-12-06;18:00;0.255;Real;;;;0
2023-12-06;19:00;0.297;Real;;;;0
2023-12-06;20:00;0.385;Real;;;;0
2023-12-06;21:00;0.239;Real;;;;0
2023-12-06;22:00;0.623;Real;;;;0
2023-12-06;23:00;0.708;Real;;;;0
2023-12-06;24:00:00;0.182;Real;;;;0
2023-12-07;1:00;0.078;Real;;;;0
2023-12-07;2:00;0.074;Real;;;;0
2023-12-07;3:00;0.066;Real;;;;0
2023-12-07;4:00;0.065;Real;;;;0
2023-12-07;5:00;0.075;Real;;;;0
2023-12-07;6:00;0.073;Real;;;;0
2023-12-07;7:00;0.105;Real;;;;0
2023-12-07;8:00;0.162;Real;;;;0
2023-12-07;9:00;0.336;Real;;;;0
2023-12-07;10:00;0.777;Real;;;;0
2023-12-07;11:00;0.186;Real;;;;0
2023-12-07;12:00;0.073;Real;;;;0
2023-12-07;13:00;0.058;Real;;;;0
2023-12-07;14:00;0.06;Real;;;;0
2023-12-07;15:00;0.233;Real;;;;0
2023-12-07;16:00;0.17;Real;;;;0
2023-12-07;17:00;0.228;Real;;;;0
2023-12-07;18:00;0.551;Real;;;;0
2023-12-07;19:00;0.568;Real;;;;0
2023-12-07;20:00;1.087;Real;;;;0
2023-12-07;21:00;0.842;Real;;;;0
2023-12-07;22:00;0.977;Real;;;;0
2023-12-07;23:00;0.56;Real;;;;0
2023-12-07;24:00:00;0.16;Real;;;;0
2023-12-08;1:00;0.069;Real;;;;0
2023-12-08;2:00;0.131;Real;;;;0
2023-12-08;3:00;0.069;Real;;;;0
2023-12-08;4:00;0.076;Real;;;;0
2023-12-08;5:00;0.071;Real;;;;0
2023-12-08;6:00;0.068;Real;;;;0
2023-12-08;7:00;0.205;Real;;;;0
2023-12-08;8:00;0.079;Real;;;;0
2023-12-08;9:00;0.151;Real;;;;0
2023-12-08;10:00;0.123;Real;;;;0
2023-12-08;11:00;0.568;Real;;;;0
2023-12-08;12:00;0.946;Real;;;;0
2023-12-08;13:00;1.047;Real;;;;0
2023-12-08;14:00;0.736;Real;;;;0
2023-12-08;15:00;0.598;Real;;;;0
2023-12-08;16:00;0.607;Real;;;;0
2023-12-08;17:00;0.527;Real;;;;0
2023-12-08;18:00;0.351;Real;;;;0
2023-12-08;19:00;0.403;Real;;;;0
2023-12-08;20:00;0.127;Real;;;;0
2023-12-08;21:00;0.174;Real;;;;0
2023-12-08;22:00;0.149;Real;;;;0
2023-12-08;23:00;0.219;Real;;;;0
2023-12-08;24:00:00;0.103;Real;;;;0
2023-12-09;1:00;0.075;Real;;;;0
2023-12-09;2:00;0.17;Real;;;;0
2023-12-09;3:00;0.196;Real;;;;0
2023-12-09;4:00;0.102;Real;;;;0
2023-12-09;5:00;0.06;Real;;;;0
2023-12-09;6:00;0.075;Real;;;;0
2023-12-09;7:00;0.078;Real;;;;0
2023-12-09;8:00;0.059;Real;;;;0
2023-12-09;9:00;0.438;Real;;;;0
2023-12-09;10:00;1.162;Real;;;;0
2023-12-09;11:00;0.698;Real;;;;0
2023-12-09;12:00;0.327;Real;;;;0
2023-12-09;13:00;0.118;Real;;;;0
2023-12-09;14:00;0.243;Real;;;;0
2023-12-09;15:00;0.59;Real;;;;0
2023-12-09;16:00;0.296;Real;;;;0
2023-12-09;17:00;0.295;Real;;;;0
2023-12-09;18:00;0.293;Real;;;;0
2023-12-09;19:00;0.482;Real;;;;0
2023-12-09;20:00;0.718;Real;;;;0
2023-12-09;21:00;0.37;Real;;;;0
2023-12-09;22:00;0.331;Real;;;;0
2023-12-09;23:00;0.261;Real;;;;0
2023-12-09;24:00:00;0.177;Real;;;;0
2023-12-10;1:00;0.244;Real;;;;0
2023-12-10;2:00;0.075;Real;;;;0
2023-12-10;3:00;0.062;Real;;;;0
2023-12-10;4:00;0.071;Real;;;;0
2023-12-10;5:00;0.078;Real;;;;0
2023-12-10;6:00;0.058;Real;;;;0
2023-12-10;7:00;0.134;Real;;;;0
2023-12-10;8:00;0.076;Real;;;;0
2023-12-10;9:00;0.109;Real;;;;0
2023-12-10;10:00;0.994;Real;;;;0
2023-12-10;11:00;0.391;Real;;;;0
2023-12-10;12:00;0.111;Real;;;;0
2023-12-10;13:00;0.064;Real;;;;0
2023-12-10;14:00;0.065;Real;;;;0
2023-12-10;15:00;0.079;Real;;;;0
2023-12-10;16:00;0.175;Real;;;;0
2023-12-10;17:00;0.259;Real;;;;0
2023-12-10;18:00;0.207;Real;;;;0
2023-12-10;19:00;0.171;Real;;;;0
2023-12-10;20:00;0.452;Real;;;;0
2023-12-10;21:00;1.132;Real;;;;0
2023-12-10;22:00;0.915;Real;;;;0
2023-12-10;23:00;0.526;Real;;;;0
2023-12-10;24:00:00;0.175;Real;;;;0
2023-12-11;1:00;0.11;Real;;;;0
2023-12-11;2:00;0.073;Real;;;;0
2023-12-11;3:00;0.065;Real;;;;0
2023-12-11;4:00;0.065;Real;;;;0
2023-12-11;5:00;0.135;Real;;;;0
2023-12-11;6:00;0.074;Real;;;;0
2023-12-11;7:00;0.175;Real;;;;0
2023-12-11;8:00;0.197;Real;;;;0
2023-12-11;9:00;0.135;Real;;;;0
2023-12-11;10:00;0.307;Real;;;;0
2023-12-11;11:00;0.242;Real;;;;0
2023-12-11;12:00;0.124;Real;;;;0
2023-12-11;13:00;1.075;Real;;;;0
2023-12-11;14:00;1.019;Real;;;;0
2023-12-11;15:00;0.578;Real;;;;0
2023-12-11;16:00;0.378;Real;;;;0
2023-12-11;17:00;0.278;Real;;;;0
2023-12-11;18:00;0.371;Real;;;;0
2023-12-11;19:00;0.211;Real;;;;0
2023-12-11;20:00;0.171;Real;;;;0
2023-12-11;21:00;0.243;Real;;;;0
2023-12-11;22:00;0.216;Real;;;;0
2023-12-11;23:00;0.135;Real;;;;0
2023-12-11;24:00:00;0.301;Real;;;;0
2023-12-12;1:00;0.473;Real;;;;0
2023-12-12;2:00;0.2;Real;;;;0
2023-12-12;3:00;0.106;Real;;;;0
2023-12-12;4:00;0.066;Real;;;;0
2023-12-12;5:00;0.068;Real;;;;0
2023-12-12;6:00;0.076;Real;;;;0
2023-12-12;7:00;0.109;Real;;;;0
2023-12-12;8:00;0.066;Real;;;;0
2023-12-12;9:00;0.059;Real;;;;0
2023-12-12;10:00;0.16;Real;;;;0
2023-12-12;11:00;0.548;Real;;;;0
2023-12-12;12:00;0.23;Real;;;;0
2023-12-12;13:00;0.541;Real;;;;0
2023-12-12;14:00;1.075;Real;;;;0
2023-12-12;15:00;0.678;Real;;;;0
2023-12-12;16:00;0.549;Real;;;;0
2023-12-12;17:00;0.188;Real;;;;0
2023-12-12;18:00;0.243;Real;;;;0
2023-12-12;19:00;0.185;Real;;;;0
2023-12-12;20:00;0.127;Real;;;;0
2023-12-12;21:00;0.208;Real;;;;0
2023-12-12;22:00;0.259;Real;;;;0
2023-12-12;23:00;0.237;Real;;;;0
2023-12-12;24:00:00;0.455;Real;;;;0
2023-12-13;1:00;0.396;Real;;;;0
2023-12-13;2:00;0.078;Real;;;;0
2023-12-13;3:00;0.078;Real;;;;0
2023-12-13;4:00;0.075;Real;;;;0
2023-12-13;5:00;0.064;Real;;;;0
2023-12-13;6:00;0.063;Real;;;;0
2023-12-13;7:00;0.105;Real;;;;0
2023-12-13;8:00;0.135;Real;;;;0
2023-12-13;9:00;0.113;Real;;;;0
2023-12-13;10:00;0.146;Real;;;;0
2023-12-13;11:00;0.062;Real;;;;0
2023-12-13;12:00;0.069;Real;;;;0
2023-12-13;13:00;0.959;Real;;;;0
2023-12-13;14:00;1.042;Real;;;;0
2023-12-13;15:00;0.576;Real;;;;0
2023-12-13;16:00;1.138;Real;;;;0
2023-12-13;17:00;0.307;Real;;;;0
2023-12-13;18:00;0.261;Real;;;;0
2023-12-13;19:00;0.247;Real;;;;0
2023-12-13;20:00;0.184;Real;;;;0
2023-12-13;21:00;0.215;Real;;;;0
2023-12-13;22:00;0.139;Real;;;;0
2023-12-13;23:00;0.144;Real;;;;0
2023-12-13;24:00:00;0.36;Real;;;;0
2023-12-14;1:00;0.402;Real;;;;0
2023-12-14;2:00;0.077;Real;;;;0
2023-12-14;3:00;0.079;Real;;;;0
2023-12-14;4:00;0.145;Real;;;;0
2023-12-14;5:00;0.089;Real;;;;0
2023-12-14;6:00;0.073;Real;;;;0
2023-12-14;7:00;0.112;Real;;;;0
2023-12-14;8:00;0.077;Real;;;;0
2023-12-14;9:00;0.122;Real;;;;0
2023-12-14;10:00;0.13;Real;;;;0
2023-12-14;11:00;0.07;Real;;;;0
2023-12-14;12:00;0.4;Real;;;;0
2023-12-14;13:00;1.31;Real;;;;0
2023-12-14;14:00;1.204;Real;;;;0
2023-12-14;15:00;0.394;Real;;;;0
2023-12-14;16:00;0.857;Real;;;;0
2023-12-14;17:00;0.206;Real;;;;0
2023-12-14;18:00;0.175;Real;;;;0
2023-12-14;19:00;0.281;Real;;;;0
2023-12-14;20:00;0.276;Real;;;;0
2023-12-14;21:00;0.218;Real;;;;0
2023-12-14;22:00;0.963;Real;;;;0
2023-12-14;23:00;0.281;Real;;;;0
2023-12-14;24:00:00;0.371;Real;;;;0
2023-12-15;1:00;0.29;Real;;;;0
2023-12-15;2:00;0.161;Real;;;;0
2023-12-15;3:00;0.074;Real;;;;0
2023-12-15;4:00;0.066;Real;;;;0
2023-12-15;5:00;0.074;Real;;;;0
2023-12-15;6:00;0.079;Real;;;;0
2023-12-15;7:00;0.086;Real;;;;0
2023-12-15;8:00;0.117;Real;;;;0
2023-12-15;9:00;0.137;Real;;;;0
2023-12-15;10:00;0.133;Real;;;;0
2023-12-15;11:00;1.198;Real;;;;0
2023-12-15;12:00;0.7;Real;;;;0
2023-12-15;13:00;0.076;Real;;;;0
2023-12-15;14:00;0.417;Real;;;;0
2023-12-15;15:00;0.691;Real;;;;0
2023-12-15;16:00;1.329;Real;;;;0
2023-12-15;17:00;0.437;Real;;;;0
2023-12-15;18:00;0.507;Real;;;;0
2023-12-15;19:00;0.371;Real;;;;0
2023-12-15;20:00;0.321;Real;;;;0
2023-12-15;21:00;0.287;Real;;;;0
2023-12-15;22:00;0.192;Real;;;;0
2023-12-15;23:00;0.511;Real;;;;0
2023-12-15;24:00:00;0.491;Real;;;;0
2023-12-16;1:00;0.337;Real;;;;0
2023-12-16;2:00;0.13;Real;;;;0
2023-12-16;3:00;0.077;Real;;;;0
2023-12-16;4:00;0.074;Real;;;;0
2023-12-16;5:00;0.072;Real;;;;0
2023-12-16;6:00;0.119;Real;;;;0
2023-12-16;7:00;0.112;Real;;;;0
2023-12-16;8:00;0.077;Real;;;;0
2023-12-16;9:00;0.101;Real;;;;0
2023-12-16;10:00;0.082;Real;;;;0
2023-12-16;11:00;0.52;Real;;;;0
2023-12-16;12:00;0.453;Real;;;;0
2023-12-16;13:00;0.147;Real;;;;0
2023-12-16;14:00;0.467;Real;;;;0
2023-12-16;15:00;0.91;Real;;;;0
