hour,0,1,2
0,0.11226140767087489,0.16721672677342328,0.4928946488294314
1,0.09889477983134218,0.14156670808937222,0.35939130434782607
2,0.09084253370535407,0.13161179199226777,0.2892073578595318
3,0.0868718129495265,0.1228991159868631,0.18742976588628762
4,0.08401764895443244,0.11528739741579301,0.14970903010033443
5,0.09651294366292504,0.13322298949200204,0.20441304347826086
6,0.16343117897605888,0.22761435241955721,0.24033779264214047
7,0.20942474445782472,0.2961714796343842,0.24456020066889633
8,0.1815919689097281,0.2542070342986571,0.236376254180602
9,0.15961317501929667,0.25905666674337435,0.26009030100334446
10,0.1607039089344938,0.2667332745087065,0.30394816053511703
11,0.1672474857940805,0.321733591315695,0.3284665551839465
12,0.19568754323247067,0.41770358727204987,0.39481270903010035
13,0.22877013572614832,0.4738773724635424,0.39227591973244147
14,0.23870483563478045,0.4337660016678652,0.33168896321070235
15,0.21413350126196035,0.36603423201257845,0.29231103678929765
16,0.19650317269581913,0.349752564247846,0.3148695652173913
17,0.1863115208418601,0.36079281429945537,0.3185652173913044
18,0.1959814844343709,0.37368799993850815,0.30091304347826087
19,0.24313025117843517,0.41082517255010464,0.27450334448160535
20,0.26866620925961454,0.4979946535162272,0.2548327759197324
21,0.240260798504382,0.46668110294149945,0.36037290969899666
22,0.20099614025169305,0.34061845442806127,0.37975250836120406
23,0.15357110506140342,0.23297728592545666,0.38209380234505863
total_mean_consumption,4.174130286948876,7.16203236993329,7.293816210371812
