hogar,cluster,estrategia,algoritmo,hour,0,1,2,3,4
,,dia_domingo,Agglomerative_k3_profile,11,0.2227272727272727,0.4536490384615385,0.5330326923076902,,
,,dia_domingo,Agglomerative_k3_profile,12,0.239305944055944,0.5067692307692307,0.5313884615384595,,
,,dia_domingo,Agglomerative_k3_profile,13,0.2833461538461538,0.6193173076923078,0.5238307692307671,,
,,dia_domingo,Agglomerative_k3_profile,14,0.2531923076923077,0.5132548076923077,0.5285317307692292,,
,,dia_domingo,Agglomerative_k3_profile,15,0.2122534965034964,0.3882355769230769,0.5550788461538452,,
,,dia_domingo,Agglomerative_k3_profile,16,0.2053566433566433,0.3714086538461538,0.4366557692307682,,
,,dia_domingo,Agglomerative_k3_profile,17,0.2000506993006993,0.4132884615384615,0.5007211538461538,,
,,dia_domingo,Agglomerative_k3_profile,18,0.223055944055944,0.4498317307692308,0.5968653846153846,,
,,dia_domingo,Agglomerative_k3_profile,19,0.2914527972027972,0.4595576923076923,0.5687788461538461,,
,,dia_domingo,Agglomerative_k3_profile,20,0.3337010489510489,0.4687836538461538,0.472,,
,,dia_domingo,Agglomerative_k3_profile,21,0.2748863636363636,0.4513846153846154,0.5374134615384616,,
,,dia_domingo,Agglomerative_k3_profile,22,0.1938706293706293,0.3613173076923077,0.4297307692307692,,
,,dia_domingo,Agglomerative_k3_profile,23,0.1407045454545454,0.2521057692307692,0.4128365384615384,,
,,dia_domingo,Agglomerative_k3_profile,total_mean_consumption,4.488272647718541,7.798998644668318,9.559022735066437,,
ABLD,0.0,dia_domingo,Agglomerative_k4,,,,,,
AJVG,0.0,dia_domingo,Agglomerative_k4,,,,,,
ATF,0.0,dia_domingo,Agglomerative_k4,,,,,,
FJAG,3.0,dia_domingo,Agglomerative_k4,,,,,,
FMB,0.0,dia_domingo,Agglomerative_k4,,,,,,
GPC,0.0,dia_domingo,Agglomerative_k4,,,,,,
JACL,0.0,dia_domingo,Agglomerative_k4,,,,,,
JALG,1.0,dia_domingo,Agglomerative_k4,,,,,,
JLG,0.0,dia_domingo,Agglomerative_k4,,,,,,
JMM,1.0,dia_domingo,Agglomerative_k4,,,,,,
LFZA,0.0,dia_domingo,Agglomerative_k4,,,,,,
MANA,1.0,dia_domingo,Agglomerative_k4,,,,,,
MBGV,0.0,dia_domingo,Agglomerative_k4,,,,,,
MTTA,2.0,dia_domingo,Agglomerative_k4,,,,,,
PAA,1.0,dia_domingo,Agglomerative_k4,,,,,,
RFM,0.0,dia_domingo,Agglomerative_k4,,,,,,
RTF,0.0,dia_domingo,Agglomerative_k4,,,,,,
,,dia_domingo,Agglomerative_k4_profile,0,0.1238449197860962,0.1991323529411764,0.3770980392156862,0.2395098039215686,
,,dia_domingo,Agglomerative_k4_profile,1,0.1054073426573426,0.1533461538461538,0.4161538461538461,0.1945576923076923,
,,dia_domingo,Agglomerative_k4_profile,2,0.0943945111492281,0.1267028301886792,0.3270943396226415,0.1848490566037736,
,,dia_domingo,Agglomerative_k4_profile,3,0.0905332167832167,0.1159086538461538,0.2554423076923077,0.1849807692307692,
,,dia_domingo,Agglomerative_k4_profile,4,0.0860192307692307,0.104764423076923,0.1757115384615384,0.184576923076923,
,,dia_domingo,Agglomerative_k4_profile,5,0.085576923076923,0.1059567307692307,0.1327499999999999,0.1989230769230769,
,,dia_domingo,Agglomerative_k4_profile,6,0.0974895104895105,0.1116875,0.14825,0.2142884615384615,
,,dia_domingo,Agglomerative_k4_profile,7,0.1230681818181818,0.1553125,0.1773846153846154,0.2796923076923077,
,,dia_domingo,Agglomerative_k4_profile,8,0.1701101398601398,0.2291875,0.2606730769230769,0.2951192307692287,
,,dia_domingo,Agglomerative_k4_profile,9,0.2088671328671328,0.3611201923076923,0.3328846153846153,0.3265057692307662,
,,dia_domingo,Agglomerative_k4_profile,10,0.2290576923076923,0.4269759615384615,0.3866538461538462,0.5712173076923046,
,,dia_domingo,Agglomerative_k4_profile,11,0.2227272727272727,0.4536490384615385,0.3345384615384615,0.731526923076919,
,,dia_domingo,Agglomerative_k4_profile,12,0.239305944055944,0.5067692307692307,0.2565961538461538,0.8061807692307652,
,,dia_domingo,Agglomerative_k4_profile,13,0.2833461538461538,0.6193173076923078,0.3365961538461538,0.7110653846153805,
,,dia_domingo,Agglomerative_k4_profile,14,0.2531923076923077,0.5132548076923077,0.4145961538461539,0.6424673076923046,
,,dia_domingo,Agglomerative_k4_profile,15,0.2122534965034964,0.3882355769230769,0.4218076923076923,0.688349999999998,
,,dia_domingo,Agglomerative_k4_profile,16,0.2053566433566433,0.3714086538461538,0.2337499999999999,0.6395615384615365,
,,dia_domingo,Agglomerative_k4_profile,17,0.2000506993006993,0.4132884615384615,0.3099423076923077,0.6915,
,,dia_domingo,Agglomerative_k4_profile,18,0.223055944055944,0.4498317307692308,0.3638653846153846,0.8298653846153846,
,,dia_domingo,Agglomerative_k4_profile,19,0.2914527972027972,0.4595576923076923,0.3531346153846154,0.7844230769230769,
,,dia_domingo,Agglomerative_k4_profile,20,0.3337010489510489,0.4687836538461538,0.3666730769230769,0.5773269230769231,
,,dia_domingo,Agglomerative_k4_profile,21,0.2748863636363636,0.4513846153846154,0.5603076923076923,0.5145192307692308,
,,dia_domingo,Agglomerative_k4_profile,22,0.1938706293706293,0.3613173076923077,0.4545384615384615,0.4049230769230769,
,,dia_domingo,Agglomerative_k4_profile,23,0.1407045454545454,0.2521057692307692,0.5144038461538462,0.3112692307692307,
,,dia_domingo,Agglomerative_k4_profile,total_mean_consumption,4.488272647718541,7.798998644668318,7.910846224992172,11.207199245140696,
ABLD,1.0,dia_domingo,Agglomerative_k5,,,,,,
AJVG,1.0,dia_domingo,Agglomerative_k5,,,,,,
ATF,0.0,dia_domingo,Agglomerative_k5,,,,,,
FJAG,4.0,dia_domingo,Agglomerative_k5,,,,,,
FMB,1.0,dia_domingo,Agglomerative_k5,,,,,,
GPC,1.0,dia_domingo,Agglomerative_k5,,,,,,
