hogar,cluster,estrategia,algoritmo,Unnamed: 0,0,1,2
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_Domingo,215.1278888888889,380.5761428571428,582.7196999999986
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_Entre semana,1063.7572222222225,1796.3872857142856,2533.082699999992
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_Fin de semana,425.0832222222222,755.6137142857143,1183.005499999997
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_invierno,377.2486666666666,722.4427142857143,796.8919999999958
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_otoño,342.36744444444446,564.4915714285714,737.2223999999977
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_primavera,350.0504444444444,611.347,929.829599999998
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,s_verano,419.1738888888889,653.7197142857143,1252.144199999998
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Mañana,0.040550976112093,0.0847876700877526,0.1497517847744676
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Mediodia,0.0494024488137213,0.0721488756759567,0.1286847765744234
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Tarde,0.0344375470030813,0.0588113094757552,0.0395185058128005
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Noche,0.0562361044806293,0.0905316086298038,0.1024855874900087
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Madrugada,0.0207815609511391,0.0448272408660303,0.0695830378688805
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Lunes,0.1893126746773232,0.3180823896875105,0.4189462042102544
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Martes,0.1860146878912095,0.315447140297408,0.4463680339037256
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Miércoles,0.1925808913922658,0.3241877667645128,0.4328892904670676
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Jueves,0.1892309554236907,0.2976825319263584,0.4713169990896374
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Viernes,0.1813663815684346,0.3140518929666863,0.5825112230250251
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Sábado,0.200834526347345,0.3732297888497836,0.5089039120708619
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Domingo,0.2061815315801475,0.3414798050339429,0.4806179537983976
,,resumen_consumos_2024-07-01_a_2025-06-30,KMeans_k3_profile,std_Entre semana,0.1887265044761445,0.3148430869144592,0.475013422948519
