estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
resumen_consumos_2023-01-01_a_2025-06-30,KMeans,2,0.5633852872467839,0.6223505335923414,32.64947330904091
resumen_consumos_dia_domingo,KMeans,2,0.455113726249515,0.7650254597269657,21.523409315292813
resumen_consumos_dia_jueves,Agglomerative,2,0.4019021054285814,0.8444108284513355,15.156220291450564
resumen_consumos_dia_lunes,KMeans,2,0.4802619917518801,0.7448536400370837,22.257926191824183
resumen_consumos_dia_martes,KMeans,2,0.470481745261002,0.7752925274538194,21.24265614734463
resumen_consumos_dia_miercoles,KMeans,2,0.4836049883565231,0.7756263754783544,21.817328455767782
resumen_consumos_dia_sabado,KMeans,2,0.4665995921689695,0.7782116692655706,22.19078348211616
resumen_consumos_dia_viernes,KMeans,2,0.4754723550881319,0.7486648965063358,21.725355494389195
resumen_consumos_estacion_invierno,KMeans,2,0.4628040409575181,0.7692917610228063,21.671688767176764
resumen_consumos_estacion_otoño,KMeans,2,0.4508053332140358,0.6348196765064739,21.387105890996043
resumen_consumos_estacion_primavera,Agglomerative,2,0.4289237556696634,0.8317823952076444,19.703625337044706
resumen_consumos_estacion_verano,KMeans,2,0.6726036993196022,0.4497615016851579,50.40347570908062
resumen_consumos_meses_01,KMeans,2,0.436482142407898,0.8159377051267085,19.39827598504638
resumen_consumos_meses_02,Agglomerative,3,0.3924279959689609,0.6800799528137119,16.81158615809297
resumen_consumos_meses_03,Agglomerative,2,0.4517449386295628,0.7985701705567417,20.678807924800303
resumen_consumos_meses_04,Agglomerative,3,0.4403150290599955,0.7674160517961024,19.979496361031384
resumen_consumos_meses_05,KMeans,2,0.44853408939293,0.6998723367592821,20.26956534047364
resumen_consumos_meses_06,KMeans,2,0.5093285411001595,0.7445701122491187,23.374390263473263
resumen_consumos_meses_07,KMeans,2,0.6573166913243769,0.5211952490399557,44.734216662802055
resumen_consumos_meses_08,KMeans,2,0.6803656956505809,0.4622489769197678,50.39088463596544
resumen_consumos_meses_09,KMeans,2,0.4606736831322593,0.7496154311330604,21.999460322727018
resumen_consumos_meses_10,Agglomerative,2,0.4863349424994264,0.571535370177311,21.44340146968004
resumen_consumos_meses_11,KMeans,2,0.4285899904402607,0.8240764050613849,20.378766891406244
resumen_consumos_meses_12,Agglomerative,2,0.4594288074765649,0.7463559691301948,19.676811048918196
resumen_consumos_tipo_dia_festivo,KMeans,2,0.4671586309110968,0.7553266298686024,23.228199348016805
resumen_consumos_tipo_dia_laborable,KMeans,2,0.5250303357281073,0.6789486868215244,27.142600642453758
resumen_consumos_todo,KMeans,2,0.5638274672462656,0.6217632932968935,32.702474033231155
