estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
global,KMeans,2,0.4222581105576137,0.868906906670574,15.942438716319108
global,KMeans,3,0.3907095396056253,0.7264776767862738,12.970690422360832
global,KMeans,4,0.28361851352103906,0.8353882189153256,11.898269803646249
global,KMeans,5,0.3229668435242897,0.661581430520189,15.527823563923961
global,Agglomerative,2,0.4292197946647425,0.8737310346267825,16.360074984705157
global,Agglomerative,3,0.38395581340085616,0.8581642403409173,13.781442481331785
global,Agglomerative,4,0.3132102591356228,0.9850234648084186,13.406292297316158
global,Agglomerative,5,0.31901620157726784,0.6987809569045078,15.383120441459006
global,GMM,2,0.4222581105576137,0.868906906670574,15.942438716319108
global,GMM,3,0.3907095396056253,0.7264776767862738,12.970690422360832
global,GMM,4,0.28361851352103906,0.8353882189153256,11.898269803646249
global,GMM,5,0.3229668435242897,0.661581430520189,15.527823563923961
laborable,KMeans,2,0.3632562174288721,1.0092956828944242,12.271785737826184
laborable,KMeans,3,0.24082560110278384,1.6600547774199257,6.64976446243611
laborable,KMeans,4,0.24395753938814177,0.9120976343389431,6.626159297308355
laborable,KMeans,5,0.2679715786340892,0.6624790954790537,7.4021028797181545
laborable,Agglomerative,2,0.33609701086890714,1.0481482180638924,11.063119963989422
laborable,Agglomerative,3,0.29544924645409787,1.0096271337920584,9.743478778249074
laborable,Agglomerative,4,0.3226023530636424,0.8080565857089443,10.384399444448437
laborable,Agglomerative,5,0.3198470505417046,0.5475010414302591,10.814295176520398
laborable,GMM,2,0.3632562174288721,1.0092956828944242,12.271785737826184
laborable,GMM,3,0.24082560110278384,1.6600547774199257,6.64976446243611
laborable,GMM,4,0.24395753938814177,0.9120976343389431,6.626159297308355
laborable,GMM,5,0.2679715786340892,0.6624790954790537,7.4021028797181545
festivo,KMeans,2,0.3991994572051665,0.9126838178968764,15.192613052036092
festivo,KMeans,3,0.2100734906362235,1.032795424683085,9.793121284008242
festivo,KMeans,4,0.16958077865662927,0.9465198903976011,9.925956543783231
festivo,KMeans,5,0.20122748967002602,0.7901259866965095,12.858705230228184
festivo,Agglomerative,2,0.3991994572051665,0.9126838178968764,15.192613052036092
festivo,Agglomerative,3,0.35289992306087137,0.9790869080539929,13.664959257694143
festivo,Agglomerative,4,0.36127669209392516,0.5758196108407266,13.989715707813826
festivo,Agglomerative,5,0.2354798855185109,0.7370575652673852,14.50138125862546
festivo,GMM,2,0.391598867993666,1.100284859876121,10.703029499037735
festivo,GMM,3,0.2100734906362235,1.032795424683085,9.793121284008242
festivo,GMM,4,0.16958077865662927,0.9465198903976011,9.925956543783231
festivo,GMM,5,0.20122748967002602,0.7901259866965095,12.858705230228184
dia_lunes,KMeans,2,0.3417690852150048,1.0132195165862528,10.711980487926114
dia_lunes,KMeans,3,0.35797038805581677,0.7665234666200956,8.887288443438718
dia_lunes,KMeans,4,0.3694128939111372,0.7441056624638234,11.784873700844136
dia_lunes,KMeans,5,0.3472376985537085,0.5311902505853668,11.554479758209316
dia_lunes,Agglomerative,2,0.3360737341413249,0.9575513141247874,10.32018928893342
dia_lunes,Agglomerative,3,0.3439496831582399,0.9670190437766794,10.696544804628443
