estrategia,pc,media_consumo,std_consumo,min_consumo,max_consumo,percentil_25_consumo,percentil_50_consumo,percentil_75_consumo,promedio_por_dia,consumo_medio_diario,Mañana,Mediodia,Tarde,Noche,Madrugada,sum_consumo,Lunes,Martes,Miércoles,Jueves,Viernes,Sábado,Domingo,Entre semana,Fin de semana,s_Mañana,s_Mediodia,s_Tarde,s_Noche,s_Madrugada,s_Lunes,s_Martes,s_Miércoles,s_Jueves,s_Viernes,s_Sábado,s_Domingo,s_Entre semana,s_Fin de semana,s_invierno,s_otoño,s_primavera,s_verano,std_Mañana,std_Mediodia,std_Tarde,std_Noche,std_Madrugada,std_Lunes,std_Martes,std_Miércoles,std_Jueves,std_Viernes,std_Sábado,std_Domingo,std_Entre semana,std_Fin de semana,std_invierno,std_otoño,std_primavera,std_verano,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
resumen_consumos_2024-07-01_a_2025-06-30_loadings,PC1,0.1336386256238605,0.1263874736578409,0.0798689592599716,0.098564627718114,0.0998657450368421,0.1152938586596555,0.1291699087193213,0.1336386256238608,0.1336386256238608,0.1090231850337026,0.1240809082448228,0.1255890325896016,0.1210770121378172,0.0874090780039508,0.1336386256238607,0.1288276494808904,0.130830683524599,0.1326835442612477,0.1290902318070782,0.1287239669007744,0.1288402783792793,0.1271546216503528,0.1318766489640436,0.1292201360891081,0.1090231850337026,0.1240809082448228,0.1255890325896015,0.1210770121378173,0.0874098381088124,0.1288276494808903,0.130830683524599,0.1326835442612477,0.1290902318070782,0.1287239669007745,0.1288402783792794,0.1271546216503529,0.1318766489640436,0.1292201360891081,0.1189875344975459,0.1266798310884655,0.1297890207224966,0.1049496576436542,0.0986269410648251,0.0760743314438535,0.0333300665968578,0.0691012285830107,0.0890058380592726,0.1202265828651606,0.1195962055290625,0.1206194851573232,0.1240846887877577,0.1237828478573743,0.1102104023525937,0.118175011438346,0.1252991173248114,0.1168177298849054,0.096157679669817,0.1172980747981895,0.0954871240308817,0.1018934023107935,0.121541795464543,0.1100450357811474,0.1253670046481558,0.1274639671902631,0.1209544876809458,0.1052858143741905,0.1006873531410489,0.1011787716498976,0.1215342658646036,0.1210465201580058,0.124532943963114,0.1173482824086742
resumen_consumos_2024-07-01_a_2025-06-30_loadings,PC2,-0.0260669145908125,0.0536438629259083,-0.1582038094910541,0.0078387602694471,-0.2079002974894646,-0.1781164459196817,-0.0113682118306549,-0.0260669145908125,-0.0260669145908125,0.1810007425245972,-0.0805515479805907,-0.0675360510008683,0.0680196689489079,-0.1325457195791808,-0.0260669145908124,0.0183368239458229,0.0115610765818165,0.0020584280355972,-0.0260617558639049,-0.0934823297296993,-0.0543342414158342,-0.0203062869593153,-0.0197842457889658,-0.0376318364770361,0.1810007425245972,-0.0805515479805906,-0.0675360510008683,0.0680196689489079,-0.1325359240713866,0.0183368239458229,0.0115610765818165,0.0020584280355972,-0.0260617558639049,-0.0934823297296993,-0.0543342414158343,-0.0203062869593153,-0.0197842457889658,-0.0376318364770361,0.1726591254783422,0.0222001326936246,0.0005730805299693,-0.229836044640224,0.0850924257948258,-0.1472747098324929,0.2637020582803772,0.2081714243674115,0.0322073164006769,0.1103604528927865,0.1125929369518089,0.0873370442730693,0.0565160769111657,-0.0314742942694071,-0.0037476659582333,0.0700012808172671,0.0641417231464455,0.0283289207695901,0.2490902702186141,0.1413047297213413,0.2546999894679659,-0.2113365122298771,0.15257197476203,0.1986470524964768,0.1062810443884869,-0.0433958759720169,-0.0641860572893362,-0.2139103941949323,-0.23538051102972,-0.2207072051552001,-0.0630427433224809,0.0238165794594101,0.0913105741467091,0.1590277548885229
resumen_consumos_2024-07-01_a_2025-06-30_loadings,PC3,-0.0387832987814365,0.1725498814514669,0.1325849874890025,0.228326284148135,-0.1412444566142271,-0.1142032118794131,-0.1019395081333742,-0.0387832987814364,-0.0387832987814364,-0.1201017914707603,-0.0360298341236249,0.1029910238315704,-0.0439141466744847,-0.1652819667804657,-0.0387832987814364,-0.1165499039709092,-0.1016569847813912,-0.0751701032128932,-0.1320697856455396,-0.0550766598322114,0.0953686063938379,0.0716611123700964,-0.096474491443986,0.0842823427555921,-0.1201017914707603,-0.0360298341236247,0.1029910238315704,-0.0439141466744845,-0.1653570240089408,-0.1165499039709091,-0.1016569847813912,-0.0751701032128932,-0.1320697856455396,-0.0550766598322113,0.0953686063938377,0.0716611123700964,-0.0964744914439859,0.0842823427555922,-0.0302471168891928,-0.1224871176997523,-0.1148161109746107,0.0756191922241688,0.2716392994163684,0.090079393742223,-0.026559746895061,-0.0472783165277511,0.0979441823979543,0.1136022646471487,0.0865834696279353,0.1507922398329653,0.0804103219038403,0.1466098970675658,0.2617832473143678,0.2161186501949296,0.123062354863598,0.2500822470179708,0.1094502999367945,0.016061214941983,0.0064904170708785,0.1935246454474538,-0.0450682438530307,-0.0395125570737295,-0.0650789432276134,-0.0784199174450375,-0.1935291361996732,0.1080821547755134,0.0088309579878602,0.1110107850245427,-0.1805982288952351,-0.1636307282130131,-0.0247630864978788,-0.0060998084291405
resumen_consumos_2024-07-01_a_2025-06-30_loadings,PC4,-0.0113179616922523,0.0401574797142011,0.0257346882153304,-0.0194002477199701,0.0070189066785368,-0.0075905062444682,-0.0906745181260151,-0.0113179616922524,-0.0113179616922523,0.0291791337592338,-0.190636192876276,-0.0790748413677036,0.0616814104810352,0.3708003168962742,-0.0113179616922524,0.0143780500602414,0.0520724712113735,0.0047512672548283,-0.0348630970120648,0.0164542488863744,-0.052104736855566,-0.0621243740939308,0.0111647888199527,-0.0576745683222707,0.0291791337592338,-0.190636192876276,-0.0790748413677036,0.0616814104810352,0.3707764316111723,0.0143780500602413,0.0520724712113735,0.0047512672548281,-0.0348630970120649,0.0164542488863744,-0.052104736855566,-0.0621243740939308,0.0111647888199526,-0.0576745683222707,-0.0043933011944788,-0.130192843292644,-0.0545310797844629,0.0916059947030165,-0.0992969415012295,-0.029306340970329,0.3905995794485457,-0.0945218175209994,0.4281467771251811,0.0637392921502753,0.1679994224248182,0.082198798036818,0.0946086368698951,0.1003860476700024,-0.063769794352106,-0.0383047531708954,0.1034891322911815,-0.0615232190279685,0.0810994133695044,-0.1221116067636841,-0.0883261224030086,0.0133793687789154,-0.05226760695014,0.085146474516822,-0.0099556051481136,-0.0670258094202848,-0.0816660881951027,0.1092976809579337,0.1165524298113998,0.0431480023614464,-0.1025840343070726,-0.154011555540035,-0.1203552942232108,-0.0365336610925755
resumen_consumos_dia_domingo_loadings,PC1,0.1662845200909426,0.1567033824557956,-0.0149030493751954,0.1252157880849409,0.1190226284913795,0.1477310656455774,0.1624774034039232,0.1662845200909425,0.1662845200909425,0.1359533167819585,0.1576178533886641,0.1510063978808867,0.1517810867610667,0.0958790704316408,0.1662845200909424,,,,,,,0.1662845200909424,,0.1662845200909424,0.1359533167819584,0.1576178533886641,0.1510063978808867,0.1517810867610667,0.0957554784142892,,,,,,,0.1662845200909425,,0.1662845200909425,0.1501225596157939,0.161002872227275,0.1641051433482477,0.1371500489954875,0.0825306816341397,0.075895177804418,0.050295037430799,0.0539471536287301,0.0773848197777666,,,,,,,0.1567033824557956,,0.1567033824557956,0.1276427256242259,0.1391015581749082,0.1087381242356086,0.1314420986996839,0.1542324586516472,0.1233513751577306,0.1472976093486939,0.1492382787340552,0.1540438921248323,0.1343937822358388,0.1388464959157313,0.1216533202850402,0.1482559459812895,0.149290503005409,0.1542458003286904,0.1424733901127211
resumen_consumos_dia_domingo_loadings,PC2,-0.0214595633908514,0.064419147692429,0.0989078816063414,-0.0219906794081128,-0.2146166160935911,-0.1701968066782228,-0.0260606023711708,-0.0214595633908514,-0.0214595633908514,0.0710033250113079,0.0183569607732737,-0.049056272817462,0.036521753435621,-0.2244443296106961,-0.0214595633908515,,,,,,,-0.0214595633908515,,-0.0214595633908515,0.0710033250113079,0.0183569607732737,-0.0490562728174621,0.0365217534356209,-0.2245756858499476,,,,,,,-0.0214595633908515,,-0.0214595633908515,0.1675875975069092,0.0194269144518714,0.0030104837677869,-0.229546695061049,0.2385329945793178,0.0022565010272183,0.1943237338882212,0.3316973908122492,-0.0398429633232386,,,,,,,0.064419147692429,,0.064419147692429,0.2359341523432988,0.1343708888601646,0.2887609392729504,-0.2148564302045189,0.1273883862370599,0.1730866475663003,0.1410071766077038,-0.1087737059226041,-0.060926905052041,-0.1921750563529637,-0.220064855873848,-0.2533546818591868,-0.1065477330917901,0.0835609656731116,0.1030156493286731,0.1674266007108402
resumen_consumos_dia_domingo_loadings,PC3,-0.0137343947983063,-0.0498234684301587,-0.264651901409231,-0.1190295208590491,-0.044348291688248,-0.0321426407013178,0.0026607425560346,-0.0137343947983064,-0.0137343947983063,0.0283787716447776,-0.1792951235370737,-0.1264126431399539,0.2259353728868501,0.3510517940905112,-0.0137343947983064,,,,,,,-0.0137343947983064,,-0.0137343947983064,0.0283787716447776,-0.1792951235370738,-0.1264126431399539,0.2259353728868501,0.3511589140834651,,,,,,,-0.0137343947983064,,-0.0137343947983064,-0.012298238321215,0.0369849859964197,-0.0313318266815008,-0.0295974121008374,0.0237888227732453,-0.2423848554731186,0.4266966912632915,0.0655922255549166,0.3881902427347648,,,,,,,-0.0498234684301591,,-0.0498234684301591,-0.0145261290500018,0.1156055182253993,-0.0198322378091121,-0.1069028530859005,0.0123688628887453,-0.0038064994570588,0.0464869531002618,-0.0633414092206801,-0.0943839515878025,-0.0763624881683374,-0.0021042642391122,-0.0010145548383106,0.0976311387701179,0.0062472009348937,-0.0127452225096415,-0.036697784798557
resumen_consumos_dia_domingo_loadings,PC4,0.0001366664103844,-0.1807726023543059,0.4345622738460832,0.0322345082421249,0.3192982361758669,0.1374405842083223,0.0130249055517009,0.0001366664103845,0.0001366664103845,0.3257736643227987,-0.0496037020003433,-0.1379367911486984,0.0598452720343923,0.0822796033903294,0.0001366664103845,,,,,,,0.0001366664103845,,0.0001366664103845,0.3257736643227985,-0.0496037020003434,-0.1379367911486984,0.0598452720343922,0.0828878424385248,,,,,,,0.0001366664103845,,0.0001366664103845,0.0083920466842546,0.0044398451502062,0.0653751762547836,-0.0617426149098498,-0.0356808229832884,0.1925782143633307,0.2057572124200584,0.1439209864802608,-0.222588365447323,,,,,,,-0.1807726023543056,,-0.1807726023543056,-0.1457101888837625,-0.1989488109203649,-0.0630636303815025,-0.1363468650824185,0.05772619089639,0.065394557687876,-0.0418812527317204,0.1363721102480352,0.1127479082727686,-0.1270798459997455,-0.0445201162436076,0.0023586469033989,0.0316584358773808,0.0467550397102698,-0.0675682169303541,-0.0772133178235683
resumen_consumos_dia_domingo_loadings,PC5,-0.024437093529176,0.0796122202277182,0.1484379093025538,0.3939405443569798,0.0168604328788839,0.0194647918866578,-0.1092456398956407,-0.024437093529176,-0.024437093529176,-0.1475046875340212,0.0321659909470981,-0.1477832986582458,-0.0201398743057674,0.1642171576105619,-0.0244370935291761,,,,,,,-0.0244370935291761,,-0.0244370935291761,-0.147504687534021,0.0321659909470979,-0.1477832986582458,-0.0201398743057673,0.1637093054301178,,,,,,,-0.0244370935291761,,-0.0244370935291761,0.0358699679712281,-0.101471212488879,-0.0224860300724884,-0.0232196292413201,-0.175380897583095,0.5654281746835074,0.040252891816163,-0.1388324600777096,0.2416850755933732,,,,,,,0.0796122202277184,,0.0796122202277184,0.0657277154558407,0.067374947923325,0.1986498565119266,0.0072562099041013,-0.0077775372911505,0.137280131646565,0.0946898250258448,-0.057207887839114,-0.1415582360267839,-0.1060952292647623,-0.073320823658258,0.124835660698594,-0.1402720147052677,-0.2102533445457278,0.0654358995584559,-0.0142718448546735
resumen_consumos_dia_jueves_loadings,PC1,0.1715277572694057,0.1546796629088301,0.1176596678059893,0.1392567138306333,0.1318667678169258,0.1490874376810365,0.1653600183200126,0.1715277572694057,0.1715277572694057,0.1336252316651315,0.1472046729612447,0.1552271121107751,0.1450301773612348,0.1099257147841997,0.1715277572694057,,,,0.1715277572694058,,,,0.1715277572694058,,0.1336252316651316,0.1472046729612447,0.1552271121107751,0.1450301773612348,0.1099257147841998,,,,0.1715277572694057,,,,0.1715277572694057,,0.1491596636459674,0.1596628826353349,0.162116447031474,0.1183663153613898,0.0220391493526207,0.0876582533836716,0.0662311103581475,0.0721186280887514,0.0578173311787982,,,,0.1546796629088301,,,,0.1546796629088301,,0.1181086480503059,0.1166093884463812,0.101121116891115,0.1109562606010225,0.1536543003899991,0.1228906511580922,0.1478919597961349,0.1625935651302772,0.1498999692464152,0.1140172832676371,0.1151349043617898,0.1132232740584452,0.149790957446336,0.155742776635944,0.1541082042536321,0.1447439417426623
