estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,2,0.5140484537583583,0.6818473108988217,25.663195190755534
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,3,0.48916639834514797,0.5559655220553855,23.65078545832408
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,4,0.3939926176439335,0.7487653757900838,23.21646226582441
resumen_consumos_2024-07-01_a_2025-06-30,KMeans,5,0.31078225338359244,0.8881360221290656,19.65046795365473
resumen_consumos_2024-07-01_a_2025-06-30,Agglomerative,2,0.5140484537583583,0.6818473108988217,25.663195190755534
resumen_consumos_2024-07-01_a_2025-06-30,Agglomerative,3,0.48916639834514797,0.5559655220553855,23.65078545832408
resumen_consumos_2024-07-01_a_2025-06-30,Agglomerative,4,0.41099383940589707,0.580716402742562,23.393209261524635
resumen_consumos_2024-07-01_a_2025-06-30,Agglomerative,5,0.4127963011168854,0.4902828837726691,27.393453695355312
resumen_consumos_2024-07-01_a_2025-06-30,GMM,2,0.5140484537583583,0.6818473108988217,25.663195190755534
resumen_consumos_2024-07-01_a_2025-06-30,GMM,3,0.48916639834514797,0.5559655220553855,23.65078545832408
resumen_consumos_2024-07-01_a_2025-06-30,GMM,4,0.3939926176439335,0.7487653757900838,23.21646226582441
resumen_consumos_2024-07-01_a_2025-06-30,GMM,5,0.31078225338359244,0.8881360221290656,19.65046795365473
resumen_consumos_dia_domingo,KMeans,2,0.3813945905976298,0.8914515149228376,16.249740519407403
resumen_consumos_dia_domingo,KMeans,3,0.2908683482729332,0.9512443615419889,14.50976050978809
resumen_consumos_dia_domingo,KMeans,4,0.30440461633192123,0.9822054009875549,15.888804955416441
resumen_consumos_dia_domingo,KMeans,5,0.2939611488763436,0.7452797628768609,12.454682411692378
resumen_consumos_dia_domingo,Agglomerative,2,0.4023869772430746,0.8993537062795558,16.179069677923707
resumen_consumos_dia_domingo,Agglomerative,3,0.3251455755396233,0.8994809653169401,14.745660170745875
resumen_consumos_dia_domingo,Agglomerative,4,0.3300166695109762,0.9399028762807133,16.227542847813034
resumen_consumos_dia_domingo,Agglomerative,5,0.320424638263226,0.7100140728678718,15.765842239077317
resumen_consumos_dia_domingo,GMM,2,0.3813945905976298,0.8914515149228376,16.249740519407403
resumen_consumos_dia_domingo,GMM,3,0.2908683482729332,0.9512443615419889,14.50976050978809
resumen_consumos_dia_domingo,GMM,4,0.30440461633192123,0.9822054009875549,15.888804955416441
resumen_consumos_dia_domingo,GMM,5,0.2939611488763436,0.7452797628768609,12.454682411692378
resumen_consumos_dia_jueves,KMeans,2,0.4165292725191125,0.7654759754101693,16.459361633700762
resumen_consumos_dia_jueves,KMeans,3,0.38604115014245505,0.6309881409053447,14.425182165447904
resumen_consumos_dia_jueves,KMeans,4,0.33382554132718073,0.6099732479286233,12.279795108805269
resumen_consumos_dia_jueves,KMeans,5,0.27136594962567073,0.7621941487144486,12.373065139380163
resumen_consumos_dia_jueves,Agglomerative,2,0.40116130848347087,0.8777442547395786,16.28858993243476
resumen_consumos_dia_jueves,Agglomerative,3,0.32114370431037886,0.9440848572629389,13.671502978426304
resumen_consumos_dia_jueves,Agglomerative,4,0.31870434753938093,0.8231467715402846,14.409713097588607
resumen_consumos_dia_jueves,Agglomerative,5,0.31592396583178156,0.637622957532212,14.64183140202968
resumen_consumos_dia_jueves,GMM,2,0.4165292725191125,0.7654759754101693,16.459361633700762
resumen_consumos_dia_jueves,GMM,3,0.38604115014245505,0.6309881409053447,14.425182165447904
resumen_consumos_dia_jueves,GMM,4,0.33382554132718073,0.6099732479286233,12.279795108805269
resumen_consumos_dia_jueves,GMM,5,0.27136594962567073,0.7621941487144486,12.373065139380163
resumen_consumos_dia_lunes,KMeans,2,0.4833059098602883,0.6602467737930057,21.321495735419425
resumen_consumos_dia_lunes,KMeans,3,0.42636690869805166,0.5822625310436415,16.49431676706248
resumen_consumos_dia_lunes,KMeans,4,0.2982431380681965,1.1303748211648985,12.265614860486345
resumen_consumos_dia_lunes,KMeans,5,0.3463279563941054,0.8081714108407662,13.689071527549299
resumen_consumos_dia_lunes,Agglomerative,2,0.4833059098602883,0.6602467737930057,21.321495735419425
resumen_consumos_dia_lunes,Agglomerative,3,0.4107168259742708,1.0393023220029465,18.128669064402597
resumen_consumos_dia_lunes,Agglomerative,4,0.40969705736078155,0.8311146999694201,17.01412632997402
resumen_consumos_dia_lunes,Agglomerative,5,0.39315836184364683,0.7214199297989288,17.600041004703357
resumen_consumos_dia_lunes,GMM,2,0.4833059098602883,0.6602467737930057,21.321495735419425
resumen_consumos_dia_lunes,GMM,3,0.42636690869805166,0.5822625310436415,16.49431676706248
resumen_consumos_dia_lunes,GMM,4,0.2982431380681965,1.1303748211648985,12.265614860486345
resumen_consumos_dia_lunes,GMM,5,0.3463279563941054,0.8081714108407662,13.689071527549299
resumen_consumos_dia_martes,KMeans,2,0.444021398892305,0.7017510751742931,19.20098492654018
resumen_consumos_dia_martes,KMeans,3,0.4094040729406925,0.5843820624362378,16.689126579564128
resumen_consumos_dia_martes,KMeans,4,0.36162265269195537,1.010211822942349,15.527552548883154
resumen_consumos_dia_martes,KMeans,5,0.34829895922251847,0.7758460119113285,15.752453993848038
resumen_consumos_dia_martes,Agglomerative,2,0.460279562829527,0.76898585427936,20.789855176787665
resumen_consumos_dia_martes,Agglomerative,3,0.4164426490888939,0.6465512194099828,16.191074447312722
resumen_consumos_dia_martes,Agglomerative,4,0.414712377205319,0.5063788965195722,16.295161890506098
