estrategia,algoritmo,k,silhouette,davies_bouldin,calinski_harabasz,score
resumen_consumos_2023-01-01_a_2025-06-30,KMeans,2,0.5633852872467839,0.6223505335923414,32.64947330904091,2.453263213976681
resumen_consumos_dia_domingo,KMeans,2,0.455113726249515,0.7650254597269657,21.523409315292813,2.5
resumen_consumos_dia_jueves,KMeans,2,0.400790451596762,0.7796615675654933,17.603585697848157,2.159214273022404
resumen_consumos_dia_lunes,KMeans,2,0.4802619917518801,0.7448536400370837,22.257926191824183,2.4013779186815762
resumen_consumos_dia_martes,KMeans,2,0.470481745261002,0.7752925274538194,21.24265614734463,2.2608052083192036
resumen_consumos_dia_miercoles,KMeans,2,0.4836049883565231,0.7756263754783544,21.817328455767782,2.5
resumen_consumos_dia_sabado,KMeans,2,0.4665995921689695,0.7782116692655706,22.19078348211616,2.5
resumen_consumos_dia_viernes,KMeans,2,0.4754723550881319,0.7486648965063358,21.725355494389195,2.3990036528694083
resumen_consumos_estacion_invierno,KMeans,2,0.4628040409575181,0.7692917610228063,21.671688767176764,2.058037905562132
resumen_consumos_estacion_otoño,KMeans,3,0.4473515262424311,0.728251138010609,24.904415531743176,2.123930705013101
resumen_consumos_estacion_primavera,Agglomerative,2,0.4289237556696634,0.8317823952076444,19.703625337044706,2.0805259622395686
resumen_consumos_estacion_verano,KMeans,2,0.6726036993196022,0.4497615016851579,50.40347570908062,2.5
resumen_consumos_meses_01,KMeans,2,0.436482142407898,0.8159377051267085,19.39827598504638,1.856250454259905
resumen_consumos_meses_02,Agglomerative,5,0.3893109642292949,0.7871048137058214,20.428542002126356,1.9685926784399703
resumen_consumos_meses_03,Agglomerative,5,0.4460034843428246,0.638123514447561,22.814332524119617,2.2499291512086064
resumen_consumos_meses_04,Agglomerative,3,0.4403150290599955,0.7674160517961024,19.979496361031384,2.3831996147987935
resumen_consumos_meses_05,KMeans,5,0.4172454116580028,0.5119794656120985,24.870286978285403,2.3101491283042184
resumen_consumos_meses_06,KMeans,2,0.5093285411001595,0.7445701122491187,23.374390263473263,2.1385930861208413
resumen_consumos_meses_07,KMeans,2,0.6573166913243769,0.5211952490399557,44.734216662802055,2.5
resumen_consumos_meses_08,KMeans,2,0.6803656956505809,0.4622489769197678,50.39088463596544,2.374504054836189
resumen_consumos_meses_09,KMeans,5,0.4255236237199071,0.5418216190752521,30.63974094352541,2.093020206532036
resumen_consumos_meses_10,KMeans,2,0.4787680569605884,0.6728644147239329,25.106479533439007,2.3349512672078254
resumen_consumos_meses_11,KMeans,2,0.4285899904402607,0.8240764050613849,20.378766891406244,2.1517301027578144
resumen_consumos_meses_12,KMeans,2,0.4483365436740315,0.7574441233139537,22.598524211845515,2.014899545020782
resumen_consumos_tipo_dia_festivo,KMeans,2,0.4671586309110968,0.7553266298686024,23.228199348016805,2.339473760161197
resumen_consumos_tipo_dia_laborable,KMeans,2,0.5250303357281073,0.6789486868215244,27.142600642453758,2.1579412070038773
resumen_consumos_todo,KMeans,2,0.5638274672462656,0.6217632932968935,32.702474033231155,2.455237182354621
