hour,0,1,2,3,4
0,0.14590368403238824,0.3375423728813559,0.31558888888888886,0.23649259259259256,0.2232888888888889
1,0.11786508370434012,0.5450338983050846,0.23937037037037037,0.16541111111111112,0.14232777777777778
2,0.09679432945403421,0.34540677966101696,0.17556666666666665,0.10948518518518519,0.15318888888888887
3,0.0931239534325935,0.3257931034482759,0.15412359550561797,0.07983895131086143,0.2093314606741573
4,0.08355046820623638,0.20089830508474577,0.14165925925925926,0.07296666666666667,0.20142222222222222
5,0.07959186735747699,0.11615254237288135,0.1259888888888889,0.06330740740740741,0.13067222222222225
6,0.08035551216294792,0.13955932203389831,0.12200740740740741,0.06718148148148148,0.1519333333333333
7,0.08052706136582573,0.211,0.12548518518518517,0.11931481481481482,0.32572222222222225
8,0.1493781405399776,0.23916949152542374,0.1258222222222222,0.37658148148148146,0.5482111111111111
9,0.18738416430176955,0.17984745762711865,0.1487037037037037,0.4187074074074075,0.3174277777777778
10,0.17855281227490086,0.2100677966101695,0.19711851851851855,0.4700037037037037,0.23623333333333335
11,0.20469749711439159,0.21461016949152545,0.25516666666666665,0.376037037037037,0.2820111111111111
12,0.18797626771503206,0.2218135593220339,0.3069444444444444,0.33235555555555557,0.48839444444444446
13,0.18435394655766443,0.21513559322033898,0.34319259259259255,0.3144814814814815,0.63515
14,0.22007470471330506,0.3338135593220339,0.4277,0.4158555555555556,0.5059388888888888
15,0.2703654594843223,0.2546779661016949,0.5326074074074074,0.5959666666666666,0.4549333333333333
16,0.2106979041370512,0.23720338983050848,0.3365592592592592,0.5240259259259259,0.37715
17,0.19364159788938357,0.16657627118644067,0.30915185185185184,0.3531814814814815,0.33261666666666667
18,0.1700396799361261,0.18386440677966104,0.2702555555555555,0.3444481481481481,0.3345944444444444
19,0.1817014588594687,0.16738983050847456,0.2761518518518518,0.3098222222222222,0.3430388888888889
20,0.21651560051029706,0.15962711864406778,0.2924518518518518,0.3522148148148148,0.4650333333333333
21,0.2643532644258724,0.15649152542372882,0.36986666666666673,0.45921111111111107,0.5984
22,0.24139692606767513,0.2764915254237288,0.4496518518518518,0.5368259259259259,0.5888833333333333
23,0.1812322641394812,0.4686271186440678,0.4170962962962963,0.41660370370370375,0.41413888888888895
total_mean_consumption,4.020073648382562,5.906793103448274,6.458231002913025,7.510320432792343,8.46004257178527
