hour,0,1,2,3
0,0.10570190181335692,0.1894156862745098,0.5329764705882353,0.17653849329205365
1,0.08937892630736506,0.1348078431372549,0.4376823529411765,0.1558987272101823
2,0.08243601861797352,0.11214117647058824,0.3486941176470588,0.16131152390780876
3,0.07507614519492008,0.10298627450980392,0.25577647058823527,0.14964499484004126
4,0.0745891072218361,0.09700196078431372,0.12628235294117646,0.1258310973512212
5,0.07698514774330785,0.09600980392156862,0.1612470588235294,0.11412583419332645
6,0.08960682694130284,0.1133450980392157,0.20088235294117646,0.30533560371517027
7,0.14997113898190856,0.2113686274509804,0.222,0.6423047127622978
8,0.18276372864935447,0.21711176470588237,0.19856470588235295,0.4251611283109735
9,0.18252717297445292,0.22656666666666667,0.19588235294117645,0.3495747093223233
10,0.17275294117647058,0.27554509803921573,0.23718823529411767,0.3270933333333302
11,0.155303297108317,0.25670196078431373,0.24874117647058824,0.4389699759201895
12,0.17595685537372843,0.3080450980392157,0.2525058823529412,0.5243497488820058
13,0.19186619489901222,0.4026941176470588,0.32525882352941177,0.485243109735119
14,0.22098031107179714,0.4652901960784314,0.35794117647058826,0.49105693842448944
15,0.18763173269307723,0.37551960784313726,0.27431764705882355,0.407232156862743
16,0.16613851224700407,0.30769411764705884,0.19002352941176473,0.34882706570347227
17,0.15554942187401277,0.2930333333333333,0.17925882352941178,0.37466136910904707
18,0.1798063446431204,0.29319803921568627,0.17481176470588236,0.4269928448572411
19,0.22999327309871317,0.33610980392156864,0.16811764705882354,0.5943316821465429
20,0.2612347317874518,0.4356235294117647,0.16994117647058823,0.7010281389748881
21,0.21611184052568394,0.42870784313725485,0.2691529411764706,0.7058754729962161
22,0.15267564499484004,0.34946470588235296,0.5062941176470588,0.533359133126935
23,0.129803160211453,0.2645019607843137,0.29002352941176474,0.30206315789473687
total_mean_consumption,3.70484037615046,6.29288431372549,6.323564705882354,9.266810952872355
